cohort,source,budget_percent,subjects,registration_windows,query_windows,minimum_windows,median_windows,maximum_windows,mean_actual_fraction,zero_adapter_fallbacks
test,MIMIC,20,343,109168,54664,1,207.0,2968,0.19925551901615995,32
test,MIMIC,30,343,163793,54664,1,311.0,4452,0.2930204293630763,24
test,MIMIC,40,343,218452,54664,1,415.0,5936,0.39056072089603505,16
test,MIMIC,50,343,273149,54664,1,519.0,7420,0.49195217722828605,10
test,MIMIC,60,343,327736,54664,1,622.0,8904,0.5840853400800327,10
test,MIMIC,70,343,382366,54664,2,726.0,10388,0.6881941815631712,0
test,MIMIC,80,343,437036,54664,2,830.0,11872,0.7894818927859524,0
test,MIMIC,90,343,491796,54664,2,934.0,13356,0.8876508581232622,0
test,VitalDB,20,419,46959,23573,1,100.0,471,0.19792438865094406,18
test,VitalDB,30,419,70504,23573,1,150.0,707,0.2950726477853939,13
test,VitalDB,40,419,94093,23573,1,201.0,942,0.39469895630418766,7
test,VitalDB,50,419,117708,23573,1,251.0,1178,0.49560670682917646,4
test,VitalDB,60,419,141212,23573,1,301.0,1414,0.5928684458412976,4
test,VitalDB,70,419,164760,23573,2,352.0,1649,0.6936888597091128,0
test,VitalDB,80,419,188353,23573,2,402.0,1885,0.7946151694213511,0
test,VitalDB,90,419,212073,23573,2,453.0,2121,0.8951949236239637,0
validation,MIMIC,20,344,110968,55567,1,199.0,3215,0.1985652682571456,25
validation,MIMIC,30,344,166491,55567,1,299.0,4822,0.2940057792666845,18
validation,MIMIC,40,344,222062,55567,1,398.5,6430,0.3918232796966979,11
validation,MIMIC,50,344,277659,55567,1,498.5,8038,0.4934146734154261,6
validation,MIMIC,60,344,333145,55567,1,598.5,9645,0.5890195607647666,6
validation,MIMIC,70,344,388691,55567,2,698.0,11253,0.6900284969415513,0
validation,MIMIC,80,344,444250,55567,2,798.0,12860,0.7917252466229235,0
validation,MIMIC,90,344,499913,55567,2,898.0,14468,0.8911133301592802,0
validation,VitalDB,20,419,42511,21342,1,88.0,659,0.19909919407934246,18
validation,VitalDB,30,419,63814,21342,1,132.0,989,0.2953739365432555,14
validation,VitalDB,40,419,85177,21342,1,177.0,1318,0.3945794599877782,9
validation,VitalDB,50,419,106567,21342,1,221.0,1648,0.49524822030929566,6
validation,VitalDB,60,419,127837,21342,1,265.0,1978,0.592121297766747,6
validation,VitalDB,70,419,149160,21342,2,310.0,2307,0.6945056418691237,0
validation,VitalDB,80,419,170512,21342,2,354.0,2637,0.7941648094985718,0
validation,VitalDB,90,419,192016,21342,2,399.0,2967,0.8946225052041102,0
