Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,lora_continue,SBP,4.777301552538637,0.8804092361721448,0.2060147503072142,7.105433762220466,67.206240858118,88.13383715260848,95.17308629936616,PASS*,PASS (Grade A)*
Overall,lora_continue,DBP,2.64746613746617,0.8762196704472955,0.0648715308443736,4.375717509513464,85.86055582642614,96.76133593369087,98.89566065333985,PASS*,PASS (Grade A)*
MIMIC,lora_continue,SBP,4.511091243430721,0.9076828389639852,0.1629088781943543,6.883518285447561,70.42284866468843,89.36449060336301,95.50197823936696,PASS*,PASS (Grade A)*
MIMIC,lora_continue,DBP,2.443512012460937,0.8925116507288202,0.0169001497689387,4.237959939266516,87.97725024727993,96.92383778437193,98.80563798219583,PASS*,PASS (Grade A)*
VitalDB,lora_continue,SBP,5.036088689565658,0.8305056596178584,0.2479186317553887,7.314549825371473,64.07932692307692,86.9375,94.8533653846154,PASS*,PASS (Grade B)*
VitalDB,lora_continue,DBP,2.845733080139527,0.8529923861847304,0.1115052484090511,4.505159566445046,83.80288461538463,96.6033653846154,98.98317307692308,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,SBP,4.777903683623821,0.8804724813862963,0.2146915894726437,7.103296140565646,67.12213554363726,88.14480741101902,95.17308629936616,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,DBP,2.649088449259609,0.8762336536367725,0.0706561826020551,4.375380700487141,85.86299366162848,96.76743052169672,98.89931740614335,PASS*,PASS (Grade A)*
MIMIC,lora_prs_bias,SBP,4.513371387315669,0.907677387369969,0.1695771666356057,6.88356059592592,70.32640949554896,89.4114737883284,95.4747774480712,PASS*,PASS (Grade A)*
MIMIC,lora_prs_bias,DBP,2.4459910049872398,0.892368485406845,0.0182312132932547,4.240775832217124,87.96983184965381,96.95598417408506,98.80811078140457,PASS*,PASS (Grade A)*
VitalDB,lora_prs_bias,SBP,5.035059598592611,0.8306810328068878,0.258548013980572,7.310392167004752,64.00721153846153,86.91346153846153,94.8798076923077,PASS*,PASS (Grade B)*
VitalDB,lora_prs_bias,DBP,2.846522599412845,0.8531916031479944,0.1216193018051294,4.501842209939007,83.81490384615384,96.5841346153846,98.98798076923076,PASS*,PASS (Grade A)*
