candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,run_id
lora_prs_dynamic,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.505527973175049,2.4471583366394043,3.4763431549072266,0.0273455753922462,0.0135553264990448,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_seed20260907_job1509
lora_continue,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.511090755462647,2.443511962890625,3.477301597595215,0.1629088670015335,0.0169001501053571,lora-prs-continuation-v1_chronological_blocked_lora_continue_seed20260907_job1507
lora_prs_dynamic_shrink,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.51051664352417,2.4458041191101074,3.4781606197357178,0.027647390961647,0.0143773276358842,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_shrink_seed20260907_job1510
lora_prs_bias,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.513371467590332,2.445991039276123,3.4796810150146484,0.1695771813392639,0.0182312130928039,lora-prs-continuation-v1_chronological_blocked_lora_prs_bias_seed20260907_job1508
lora_prs_dynamic_frozen,resnet_small,chronological_blocked,20260907,MIMIC,1011,40440,4.548004150390625,2.4726321697235107,3.5103182792663574,0.0111552011221647,0.0522518679499626,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_frozen_seed20260907_job1511
lora_continue,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.77730131149292,2.64746618270874,3.712383985519409,0.2060147523880005,0.064871534705162,lora-prs-continuation-v1_chronological_blocked_lora_continue_seed20260907_job1507
lora_prs_dynamic_shrink,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.776055812835693,2.6496102809906006,3.7128329277038574,0.0920992568135261,0.0648960098624229,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_shrink_seed20260907_job1510
lora_prs_dynamic,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.774322986602783,2.651656150817871,3.712989568710327,0.0946498587727546,0.06422720849514,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_seed20260907_job1509
lora_prs_bias,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.7779035568237305,2.6490883827209477,3.713495969772339,0.214691624045372,0.0706561803817749,lora-prs-continuation-v1_chronological_blocked_lora_prs_bias_seed20260907_job1508
lora_prs_dynamic_frozen,resnet_small,chronological_blocked,20260907,Overall,2051,82040,4.8101019859313965,2.668332099914551,3.7392168045043945,0.0946495980024337,0.1075056195259094,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_frozen_seed20260907_job1511
lora_prs_bias,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.035059452056885,2.846522569656372,3.940791130065918,0.2585479915142059,0.1216192990541458,lora-prs-continuation-v1_chronological_blocked_lora_prs_bias_seed20260907_job1508
lora_continue,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.036088466644287,2.845733165740967,3.940910816192627,0.2479186356067657,0.1115052103996276,lora-prs-continuation-v1_chronological_blocked_lora_continue_seed20260907_job1507
lora_prs_dynamic_shrink,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.034190654754639,2.8477330207824707,3.940962076187134,0.1547539681196212,0.1140060275793075,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_shrink_seed20260907_job1510
lora_prs_dynamic,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.035623073577881,2.850451707839966,3.943037271499634,0.1600773930549621,0.113486111164093,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_seed20260907_job1509
lora_prs_dynamic_frozen,resnet_small,chronological_blocked,20260907,VitalDB,1040,41600,5.064890384674072,2.8585753440856934,3.961732864379883,0.1758157908916473,0.1612186282873153,lora-prs-continuation-v1_chronological_blocked_lora_prs_dynamic_frozen_seed20260907_job1511
