Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,lora_continue,SBP,3.691312936757728,0.930294301024011,0.0225152586216696,5.587610475356061,76.18235007313505,93.49098000975134,97.73768893222818,PASS*,PASS (Grade A)*
Overall,lora_continue,DBP,2.068883102385373,0.9257244925522422,-0.1182625804512399,3.4938012448986067,91.86860068259386,98.31911262798634,99.41491955143832,PASS*,PASS (Grade A)*
MIMIC,lora_continue,SBP,4.043434273430195,0.9271022277424574,0.0468497086703246,6.144750858896404,73.21216617210683,91.88674579624134,96.98071216617213,PASS*,PASS (Grade A)*
MIMIC,lora_continue,DBP,2.245703064628925,0.9104765475747688,-0.1874385731864046,3.9738278047032103,90.37833827893176,97.6706231454006,99.0652818991098,PASS*,PASS (Grade A)*
VitalDB,lora_continue,SBP,3.349010368127089,0.930707974230392,-0.0011406346467825,4.986652982427745,79.06971153846155,95.05048076923076,98.4735576923077,PASS*,PASS (Grade A)*
VitalDB,lora_continue,DBP,1.8969936967813048,0.9419379534345292,-0.0510155336673443,2.9517901858744064,93.3173076923077,98.94951923076924,99.7548076923077,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,SBP,3.6973682051109487,0.9302077377316113,0.0197021617359326,5.5910895337380095,76.07630424183324,93.5129205265724,97.74256460263288,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,DBP,2.0726377999358268,0.9256340884189208,-0.1121001017378458,3.4961322995147297,91.86128717698683,98.30570453437348,99.40882496343248,PASS*,PASS (Grade A)*
MIMIC,lora_prs_bias,SBP,4.049209253158343,0.92702678046076,0.049816046411984,6.147906728345961,73.11819980217606,91.89910979228486,97.00049455984174,PASS*,PASS (Grade A)*
MIMIC,lora_prs_bias,DBP,2.2497951052898704,0.9103516662659632,-0.1830896930336127,3.976807267073548,90.3461918892186,97.65578635014836,99.05539070227498,PASS*,PASS (Grade A)*
VitalDB,lora_prs_bias,SBP,3.3553381093648764,0.9306007651787712,-0.0095720088481903,4.990500132184963,78.95192307692308,95.08173076923076,98.4639423076923,PASS*,PASS (Grade A)*
VitalDB,lora_prs_bias,DBP,1.9004204579041557,0.9418855076975826,-0.0430900278916725,2.953249694783454,93.3341346153846,98.9375,99.75240384615384,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic,SBP,3.705751782588875,0.9299662988988388,0.0297828277223346,5.600707656801868,76.06899073622623,93.45319356411508,97.74012676743052,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic,DBP,2.0816097913516085,0.9253276568418604,-0.0138281207268322,3.5051011336063103,91.81496830814235,98.31179912237933,99.40882496343248,PASS*,PASS (Grade A)*
MIMIC,lora_prs_dynamic,SBP,4.063167156498698,0.9266104165302496,0.0462112312618749,6.1654500852650775,73.10089020771512,91.83728981206724,96.96092977250248,PASS*,PASS (Grade A)*
MIMIC,lora_prs_dynamic,DBP,2.258777306082223,0.9100244406499106,-0.075206105527491,3.987569601304594,90.37586547972305,97.69535113748763,99.05044510385756,PASS*,PASS (Grade A)*
VitalDB,lora_prs_dynamic,SBP,3.358302798913076,0.9305906905084024,0.0138125238968775,4.990852420578729,78.95432692307692,95.02403846153848,98.49759615384616,PASS*,PASS (Grade A)*
VitalDB,lora_prs_dynamic,DBP,1.9093825246279057,0.9415977526494445,0.0458383625745773,2.960512477763133,93.2139423076923,98.9110576923077,99.75721153846156,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_shrink,SBP,3.703444321919278,0.9300217040309204,0.022280987526137,5.598526619478875,76.10555826426133,93.4592881521209,97.72915650902,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_shrink,DBP,2.079051614656267,0.9254283340018512,-0.012164737677237,3.502743591283679,91.83081423695758,98.32276938078984,99.41004388103364,PASS*,PASS (Grade A)*
MIMIC,lora_prs_dynamic_shrink,SBP,4.061087708987303,0.9266737912192284,0.0402618018621035,6.1628290512469786,73.10830860534125,91.82492581602374,96.95103857566764,PASS*,PASS (Grade A)*
MIMIC,lora_prs_dynamic_shrink,DBP,2.256305183123882,0.9101065972933502,-0.0751639215222216,3.985748809390478,90.4055390702275,97.70524233432243,99.05539070227498,PASS*,PASS (Grade A)*
VitalDB,lora_prs_dynamic_shrink,SBP,3.355773683144496,0.9306381444589964,0.0048015612822312,4.98916284578874,79.01923076923076,95.04807692307692,98.48557692307692,PASS*,PASS (Grade A)*
VitalDB,lora_prs_dynamic_shrink,DBP,1.906740693770922,0.941721318784093,0.0490777381566854,2.957326190542075,93.21634615384616,98.92307692307692,99.7548076923077,PASS*,PASS (Grade A)*
