Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,lora_continue,SBP,3.691312936757728,0.930294301024011,0.0225152586216696,5.587610475356061,76.18235007313505,93.49098000975134,97.73768893222818,PASS*,PASS (Grade A)*
Overall,lora_continue,DBP,2.068883102385373,0.9257244925522422,-0.1182625804512399,3.4938012448986067,91.86860068259386,98.31911262798634,99.41491955143832,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,SBP,3.6973682051109487,0.9302077377316113,0.0197021617359326,5.5910895337380095,76.07630424183324,93.5129205265724,97.74256460263288,PASS*,PASS (Grade A)*
Overall,lora_prs_bias,DBP,2.0726377999358268,0.9256340884189208,-0.1121001017378458,3.4961322995147297,91.86128717698683,98.30570453437348,99.40882496343248,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic,SBP,3.705751782588875,0.9299662988988388,0.0297828277223346,5.600707656801868,76.06899073622623,93.45319356411508,97.74012676743052,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic,DBP,2.0816097913516085,0.9253276568418604,-0.0138281207268322,3.5051011336063103,91.81496830814235,98.31179912237933,99.40882496343248,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_shrink,SBP,3.703444321919278,0.9300217040309204,0.022280987526137,5.598526619478875,76.10555826426133,93.4592881521209,97.72915650902,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_shrink,DBP,2.079051614656267,0.9254283340018512,-0.012164737677237,3.502743591283679,91.83081423695758,98.32276938078984,99.41004388103364,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_frozen,SBP,3.727367084099571,0.9291789149337778,0.0458315743753702,5.631996988854878,75.84105314480742,93.39224768405656,97.74012676743052,PASS*,PASS (Grade A)*
Overall,lora_prs_dynamic_frozen,DBP,2.089980601171701,0.9247783430235044,-0.1267419876208368,3.515713394659659,91.68820087762067,98.29717211116528,99.3990736226231,PASS*,PASS (Grade A)*
