candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,run_id
lora_continue,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.043434143066406,2.2457029819488525,3.144568920135498,0.0468497052788734,-0.1874385774135589,lora-prs-continuation-v1_random_disjoint_lora_continue_seed20260907_job1500
lora_prs_bias,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.049209117889404,2.2497949600219727,3.149502277374268,0.04981604591012,-0.1830896884202957,lora-prs-continuation-v1_random_disjoint_lora_prs_bias_seed20260907_job1501
lora_prs_dynamic_shrink,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.061087608337402,2.25630521774292,3.158696413040161,0.0402618013322353,-0.0751639232039451,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_shrink_seed20260907_job1503
lora_prs_dynamic,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.063167572021484,2.258777379989624,3.1609723567962646,0.0462112389504909,-0.0752061083912849,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_seed20260907_job1502
lora_prs_dynamic_frozen,resnet_small,random_disjoint,20260907,MIMIC,1011,40440,4.089378356933594,2.268052577972412,3.178715229034424,0.0808637291193008,-0.1862343549728393,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_frozen_seed20260907_job1504
lora_continue,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.6913130283355713,2.068883180618286,2.8800981044769287,0.0225152540951967,-0.1182625815272331,lora-prs-continuation-v1_random_disjoint_lora_continue_seed20260907_job1500
lora_prs_bias,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.6973681449890137,2.072637796401977,2.885003089904785,0.0197021588683128,-0.112100102007389,lora-prs-continuation-v1_random_disjoint_lora_prs_bias_seed20260907_job1501
lora_prs_dynamic_shrink,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.703444480895996,2.0790514945983887,2.8912479877471924,0.0222809873521327,-0.0121647352352738,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_shrink_seed20260907_job1503
lora_prs_dynamic,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.705751895904541,2.0816099643707275,2.8936808109283447,0.0297828316688537,-0.0138281229883432,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_seed20260907_job1502
lora_prs_dynamic_frozen,resnet_small,random_disjoint,20260907,Overall,2051,82040,3.727367162704468,2.0899806022644043,2.9086740016937256,0.0458315797150135,-0.1267419904470443,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_frozen_seed20260907_job1504
lora_continue,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.3490102291107178,1.896993637084961,2.62300181388855,-0.0011406311532482,-0.0510155297815799,lora-prs-continuation-v1_random_disjoint_lora_continue_seed20260907_job1500
lora_prs_bias,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.3553380966186523,1.900420427322388,2.6278791427612305,-0.0095720076933503,-0.0430900268256664,lora-prs-continuation-v1_random_disjoint_lora_prs_bias_seed20260907_job1501
lora_prs_dynamic_shrink,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.355773448944092,1.9067407846450808,2.6312570571899414,0.0048015601933002,0.0490777380764484,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_shrink_seed20260907_job1503
lora_prs_dynamic,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.3583028316497803,1.9093824625015257,2.6338424682617188,0.0138125196099281,0.0458383597433567,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_seed20260907_job1502
lora_prs_dynamic_frozen,resnet_small,random_disjoint,20260907,VitalDB,1040,41600,3.375450611114502,1.9168739318847656,2.646162271499634,0.0117762861773371,-0.068908542394638,lora-prs-continuation-v1_random_disjoint_lora_prs_dynamic_frozen_seed20260907_job1504
