Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,lora,SBP,3.8207320330845107,0.9237305080734916,0.19783673645149902,5.7985591698920835,75.40303272146848,93.03571428571429,97.46308858739027,PASS*,PASS (Grade A)*
Overall,lora,DBP,2.0993835426324976,0.9185051185617976,0.029621945585760503,3.607619904382475,91.56225059856344,98.36791699920192,99.40941739824422,PASS*,PASS (Grade A)*
MIMIC,lora,SBP,4.192018744488915,0.9215213913304371,0.24065040208158225,6.3309170045603205,72.17642209398186,91.41384995877988,96.64880461665292,PASS*,PASS (Grade A)*
MIMIC,lora,DBP,2.2801565714139143,0.9056031088101353,-0.04233485180760232,4.0313987725724125,90.2287716405606,97.69785655399835,99.03338829348722,PASS*,PASS (Grade A)*
VitalDB,lora,SBP,3.472417430661045,0.9223315742400521,0.15767202151778603,5.25003909407266,78.43000773395204,94.55723124516628,98.22699149265274,PASS*,PASS (Grade A)*
VitalDB,lora,DBP,1.9297952333425834,0.9315121069285814,0.09712665961371807,3.157340953058984,92.81322505800465,98.99651972157773,99.76218097447796,PASS*,PASS (Grade A)*
Overall,fixed,SBP,3.4210409267853477,0.9318264711995285,-0.0450691306197212,5.4851754195884395,79.55307262569833,93.86272944932162,97.63966480446928,PASS*,PASS (Grade A)*
Overall,fixed,DBP,1.8858487287301169,0.9254908362611264,-0.05119641632869228,3.4492705353680924,92.56484437350359,98.3669193934557,99.37549880287311,PASS*,PASS (Grade A)*
MIMIC,fixed,SBP,3.8072911412459396,0.929595123217785,-0.0575444084429392,6.000478882726474,76.27576257213519,92.37427864798022,96.89818631492169,PASS*,PASS (Grade A)*
MIMIC,fixed,DBP,2.0698507535957034,0.9133834475798027,-0.0809230079023539,3.8610545567444436,91.19744435284419,97.72258862324814,99.02720527617477,PASS*,PASS (Grade A)*
VitalDB,fixed,SBP,3.0586886374267257,0.9309228272516389,-0.03336571840041459,4.95328688650711,82.6276102088167,95.25908739365816,98.33526682134571,PASS*,PASS (Grade A)*
VitalDB,fixed,DBP,1.7132312065630968,0.9377280544918338,-0.0233090570256362,3.0119876586572936,93.8476411446249,98.97138437741685,99.70224284609436,PASS*,PASS (Grade A)*
Overall,v1,SBP,3.4210409267853477,0.9318264711995285,-0.0450691306197212,5.4851754195884395,79.55307262569833,93.86272944932162,97.63966480446928,PASS*,PASS (Grade A)*
Overall,v1,DBP,1.8858487287301169,0.9254908362611264,-0.05119641632869228,3.4492705353680924,92.56484437350359,98.3669193934557,99.37549880287311,PASS*,PASS (Grade A)*
MIMIC,v1,SBP,3.8072911412459396,0.929595123217785,-0.0575444084429392,6.000478882726474,76.27576257213519,92.37427864798022,96.89818631492169,PASS*,PASS (Grade A)*
MIMIC,v1,DBP,2.0698507535957034,0.9133834475798027,-0.0809230079023539,3.8610545567444436,91.19744435284419,97.72258862324814,99.02720527617477,PASS*,PASS (Grade A)*
VitalDB,v1,SBP,3.0586886374267257,0.9309228272516389,-0.03336571840041459,4.95328688650711,82.6276102088167,95.25908739365816,98.33526682134571,PASS*,PASS (Grade A)*
VitalDB,v1,DBP,1.7132312065630968,0.9377280544918338,-0.0233090570256362,3.0119876586572936,93.8476411446249,98.97138437741685,99.70224284609436,PASS*,PASS (Grade A)*
Overall,e1,SBP,3.4210409267853477,0.9318264711995285,-0.0450691306197212,5.4851754195884395,79.55307262569833,93.86272944932162,97.63966480446928,PASS*,PASS (Grade A)*
Overall,e1,DBP,1.8858487287301169,0.9254908362611264,-0.05119641632869228,3.4492705353680924,92.56484437350359,98.3669193934557,99.37549880287311,PASS*,PASS (Grade A)*
MIMIC,e1,SBP,3.8072911412459396,0.929595123217785,-0.0575444084429392,6.000478882726474,76.27576257213519,92.37427864798022,96.89818631492169,PASS*,PASS (Grade A)*
MIMIC,e1,DBP,2.0698507535957034,0.9133834475798027,-0.0809230079023539,3.8610545567444436,91.19744435284419,97.72258862324814,99.02720527617477,PASS*,PASS (Grade A)*
VitalDB,e1,SBP,3.0586886374267257,0.9309228272516389,-0.03336571840041459,4.95328688650711,82.6276102088167,95.25908739365816,98.33526682134571,PASS*,PASS (Grade A)*
VitalDB,e1,DBP,1.7132312065630968,0.9377280544918338,-0.0233090570256362,3.0119876586572936,93.8476411446249,98.97138437741685,99.70224284609436,PASS*,PASS (Grade A)*
Overall,trust_scalar,SBP,3.421040939305653,0.9318264714070312,-0.04506953237310341,5.485175407939075,79.55307262569833,93.86272944932162,97.63966480446928,PASS*,PASS (Grade A)*
Overall,trust_scalar,DBP,1.8858487176749537,0.9254908366788996,-0.05119661024120143,3.4492705228177076,92.56484437350359,98.3669193934557,99.37549880287311,PASS*,PASS (Grade A)*
MIMIC,trust_scalar,SBP,3.807291159014315,0.9295951232491367,-0.05754481365624725,6.000478877504252,76.27576257213519,92.37427864798022,96.89818631492169,PASS*,PASS (Grade A)*
MIMIC,trust_scalar,DBP,2.069850760160568,0.9133834473970196,-0.08092318814129623,3.861054557042471,91.19744435284419,97.72258862324814,99.02720527617477,PASS*,PASS (Grade A)*
VitalDB,trust_scalar,SBP,3.0586886450236674,0.9309228277090152,-0.03336611690794217,4.953286867423474,82.6276102088167,95.25908739365816,98.33526682134571,PASS*,PASS (Grade A)*
VitalDB,trust_scalar,DBP,1.7132311789780856,0.9377280555821115,-0.023309263765706495,3.0119876306883313,93.8476411446249,98.97138437741685,99.70224284609436,PASS*,PASS (Grade A)*
Overall,trust_bp,SBP,3.421040939305653,0.9318264714070312,-0.04506953237310341,5.485175407939075,79.55307262569833,93.86272944932162,97.63966480446928,PASS*,PASS (Grade A)*
Overall,trust_bp,DBP,1.8858487176749537,0.9254908366788996,-0.05119661024120143,3.4492705228177076,92.56484437350359,98.3669193934557,99.37549880287311,PASS*,PASS (Grade A)*
MIMIC,trust_bp,SBP,3.807291159014315,0.9295951232491367,-0.05754481365624725,6.000478877504252,76.27576257213519,92.37427864798022,96.89818631492169,PASS*,PASS (Grade A)*
MIMIC,trust_bp,DBP,2.069850760160568,0.9133834473970196,-0.08092318814129623,3.861054557042471,91.19744435284419,97.72258862324814,99.02720527617477,PASS*,PASS (Grade A)*
VitalDB,trust_bp,SBP,3.0586886450236674,0.9309228277090152,-0.03336611690794217,4.953286867423474,82.6276102088167,95.25908739365816,98.33526682134571,PASS*,PASS (Grade A)*
VitalDB,trust_bp,DBP,1.7132311789780856,0.9377280555821115,-0.023309263765706495,3.0119876306883313,93.8476411446249,98.97138437741685,99.70224284609436,PASS*,PASS (Grade A)*
