Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,participant_mean_mae_p90,participant_mean_mae_p95,worst_30_n_participants,worst_30_mean_mae,retained_70_n_participants,retained_70_mean_mae,tail_definition
lora,Overall,2506,100240,3.820732033084511,2.0993835426324976,2.960057787858504,5.2625567511222675,3.0238720316025827,0.19783673645149905,0.02962194558576051,4.508156721952389,5.243848452874211,752,4.421119310476366,1754,2.3336505672150425,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
lora,MIMIC,1213,48520,4.192018744488914,2.2801565714139143,3.2360876579514146,5.77685584192014,3.3535742600740437,0.24065040208158225,-0.04233485180760233,4.918393607733909,6.122898008982964,364,4.873383269762558,849,2.534114038753233,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
lora,VitalDB,1293,51720,3.4724174306610447,1.9297952333425834,2.7011063320018147,4.780078176383039,2.7145690129360074,0.15767202151778603,0.09712665961371805,4.015076211796215,4.601794358640516,388,3.911811145117445,905,2.1820417270417436,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
fixed,Overall,2506,100240,3.4210409267853477,1.8858487287301167,2.653444827757732,4.91714593217249,2.852083993802677,-0.0450691306197212,-0.05119641632869228,4.1501305560773085,4.918571019552353,752,4.069861287139551,1754,2.046178478011365,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
fixed,MIMIC,1213,48520,3.80729114124594,2.069850753595704,2.9385709474208213,5.430702057633616,3.1766523486143092,-0.05754440844293919,-0.08092300790235389,4.654479996196129,5.7134914416360205,364,4.507696055485708,849,2.2658247291220954,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
fixed,VitalDB,1293,51720,3.0586886374267257,1.7132312065630964,2.3859599219949112,4.435364354303701,2.547597207734224,-0.03336571840041459,-0.023309057025636196,3.6416584730195805,4.287633697588436,388,3.567999209175796,905,1.8791850673803439,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
v1,Overall,2506,100240,3.4210409267853477,1.8858487287301167,2.653444827757732,4.91714593217249,2.852083993802677,-0.0450691306197212,-0.05119641632869228,4.1501305560773085,4.918571019552353,752,4.069861287139551,1754,2.046178478011365,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
v1,MIMIC,1213,48520,3.80729114124594,2.069850753595704,2.9385709474208213,5.430702057633616,3.1766523486143092,-0.05754440844293919,-0.08092300790235389,4.654479996196129,5.7134914416360205,364,4.507696055485708,849,2.2658247291220954,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
v1,VitalDB,1293,51720,3.0586886374267257,1.7132312065630964,2.3859599219949112,4.435364354303701,2.547597207734224,-0.03336571840041459,-0.023309057025636196,3.6416584730195805,4.287633697588436,388,3.567999209175796,905,1.8791850673803439,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
e1,Overall,2506,100240,3.4210409267853477,1.8858487287301167,2.653444827757732,4.91714593217249,2.852083993802677,-0.0450691306197212,-0.05119641632869228,4.1501305560773085,4.918571019552353,752,4.069861287139551,1754,2.046178478011365,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
e1,MIMIC,1213,48520,3.80729114124594,2.069850753595704,2.9385709474208213,5.430702057633616,3.1766523486143092,-0.05754440844293919,-0.08092300790235389,4.654479996196129,5.7134914416360205,364,4.507696055485708,849,2.2658247291220954,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
e1,VitalDB,1293,51720,3.0586886374267257,1.7132312065630964,2.3859599219949112,4.435364354303701,2.547597207734224,-0.03336571840041459,-0.023309057025636196,3.6416584730195805,4.287633697588436,388,3.567999209175796,905,1.8791850673803439,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
trust_scalar,Overall,2506,100240,3.421040939305652,1.8858487176749537,2.6534448284903034,4.917145949019422,2.852083974685869,-0.045069532373103405,-0.05119661024120144,4.150130413026162,4.918571257970932,752,4.0698612936389935,1754,2.0461784762714803,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
