Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,subject_lora_rank4,SBP,4.902268808402996,0.8729872340157344,0.1899519782250012,7.323216678122829,66.30667966845442,87.80716723549487,94.90858117991225,PASS*,PASS (Grade B)*
Overall,subject_lora_rank4,DBP,2.696468599617975,0.8731127890096745,0.029166078962738,4.430683196174737,85.65090199902487,96.53461725987324,98.8078985860556,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank4,SBP,4.669876009679808,0.9011935458310838,0.263887713004998,7.118447440659477,68.9589515331355,88.90949554896143,95.33135509396638,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank4,DBP,2.514026460166501,0.88950381513572,0.0068550116466367,4.296874730518541,87.57171117705242,96.53066271018793,98.69436201780417,PASS*,PASS (Grade A)*
VitalDB,subject_lora_rank4,SBP,5.128181423315636,0.8211870459984244,0.1180779129725236,7.51631940948972,63.72836538461538,86.73557692307692,94.49759615384616,PASS*,PASS (Grade B)*
VitalDB,subject_lora_rank4,DBP,2.873823410180899,0.8496668576300299,0.0508550107479095,4.556942754446793,83.78365384615385,96.53846153846152,98.91826923076924,PASS*,PASS (Grade A)*
Overall,shared_lora_rank4,SBP,8.089226287635345,0.7051893900284543,0.2678848568373689,11.157596776866155,44.38932228181375,71.11774744027304,84.75255972696246,FAIL*,FAIL (Grade D)*
Overall,shared_lora_rank4,DBP,4.41072250716806,0.738388950631153,-0.1539827699721702,6.360217692054966,68.55192588980985,89.92077035592393,96.83325207215992,PASS*,PASS (Grade A)*
MIMIC,shared_lora_rank4,SBP,7.341534010852244,0.7855109376303643,0.4296849808282597,10.4864655208793,49.569732937685465,76.00890207715133,87.68298714144412,FAIL*,FAIL (Grade C)*
MIMIC,shared_lora_rank4,DBP,3.864906506958159,0.7954096720416348,-0.0033316695253879,5.846851752679038,75.01730959446094,92.33926805143422,97.32690405539071,PASS*,PASS (Grade A)*
VitalDB,shared_lora_rank4,SBP,8.816069452854304,0.5614940692505819,0.1105964670731471,11.77139385308988,39.35336538461539,66.36298076923077,81.90384615384615,FAIL*,FAIL (Grade D)*
VitalDB,shared_lora_rank4,DBP,4.941318638141339,0.6627397143854963,-0.3004330224257249,6.819220999599587,62.26682692307692,87.56971153846153,96.3533653846154,PASS*,PASS (Grade A)*
Overall,subject_lora_rank1,SBP,5.06278272751539,0.8711538480083698,-0.2250740979834918,7.374928486056248,64.03827401267674,87.15626523647,94.77815699658704,PASS*,PASS (Grade B)*
Overall,subject_lora_rank1,DBP,2.849563129305084,0.8670142368893612,-0.2049887916391968,4.531373128483641,84.40882496343247,96.339590443686,98.81399317406144,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank1,SBP,4.8548997687538815,0.8976921809483903,-0.2766134242275702,7.24317175978407,66.43669634025717,88.00692383778437,95.12611275964392,PASS*,PASS (Grade A)*
