Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,subject_lora_rank4,SBP,4.902268808402996,0.8729872340157344,0.1899519782250012,7.323216678122829,66.30667966845442,87.80716723549487,94.90858117991225,PASS*,PASS (Grade B)*
Overall,subject_lora_rank4,DBP,2.696468599617975,0.8731127890096745,0.029166078962738,4.430683196174737,85.65090199902487,96.53461725987324,98.8078985860556,PASS*,PASS (Grade A)*
Overall,shared_lora_rank4,SBP,8.089226287635345,0.7051893900284543,0.2678848568373689,11.157596776866155,44.38932228181375,71.11774744027304,84.75255972696246,FAIL*,FAIL (Grade D)*
Overall,shared_lora_rank4,DBP,4.41072250716806,0.738388950631153,-0.1539827699721702,6.360217692054966,68.55192588980985,89.92077035592393,96.83325207215992,PASS*,PASS (Grade A)*
Overall,subject_lora_rank1,SBP,5.06278272751539,0.8711538480083698,-0.2250740979834918,7.374928486056248,64.03827401267674,87.15626523647,94.77815699658704,PASS*,PASS (Grade B)*
Overall,subject_lora_rank1,DBP,2.849563129305084,0.8670142368893612,-0.2049887916391968,4.531373128483641,84.40882496343247,96.339590443686,98.81399317406144,PASS*,PASS (Grade A)*
Overall,output_profile32,SBP,5.6556868852143865,0.8476957398984273,0.5405292759285736,8.003724219175236,58.52510970258411,84.20282788883472,93.56045831301805,FAIL*,PASS (Grade B)*
Overall,output_profile32,DBP,3.083978995133004,0.8549470112102382,-0.0129807149067789,4.737321860067604,82.38298391028766,95.97391516333496,98.6969770843491,PASS*,PASS (Grade A)*
Overall,feature_affine32,SBP,5.351439953733804,0.8622276156517072,0.5490358222466687,7.609882221696898,60.9434422233057,85.83495855680155,94.419795221843,PASS*,PASS (Grade B)*
Overall,feature_affine32,DBP,2.922939236486092,0.8654734370438381,-0.0370164619894041,4.562059120239562,83.63481228668942,96.3603120429059,98.84202827888836,PASS*,PASS (Grade A)*
Overall,shared_bilinear32,SBP,5.132674959983435,0.8689311601407713,0.179547054136398,7.439564793798855,63.456850316918576,86.76133593369089,94.69527059970746,PASS*,PASS (Grade B)*
Overall,shared_bilinear32,DBP,2.8618734076568293,0.8634098634630021,-0.0714543010129514,4.596511826117995,84.39785470502194,96.21038517796195,98.76036079960994,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,SBP,5.013598687494167,0.8749257754769829,0.0300260421068478,7.26949848986871,64.17235494880546,87.30375426621161,95.0901999024866,PASS*,PASS (Grade A)*
Overall,shared_bilinear64,DBP,2.79470488942582,0.8692310224372701,-0.08625373489272,4.497215329685087,85.06216479765968,96.46392003900536,98.81399317406144,PASS*,PASS (Grade A)*
Overall,subject_nonlinear_rank4,SBP,4.995662806012001,0.8670367984867862,-0.1737698401084241,7.493301906962316,65.53754266211604,87.28303266699172,94.61116528522672,PASS*,PASS (Grade B)*
Overall,subject_nonlinear_rank4,DBP,2.770223844557027,0.8674964786728652,-0.1835969015890537,4.52405165396707,85.24622135543638,96.31643100926377,98.70429058995612,PASS*,PASS (Grade A)*
