Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
VitalDB,subject_lora_rank4,SBP,5.128181423315636,0.8211870459984244,0.1180779129725236,7.51631940948972,63.72836538461538,86.73557692307692,94.49759615384616,PASS*,PASS (Grade B)*
VitalDB,subject_lora_rank4,DBP,2.873823410180899,0.8496668576300299,0.0508550107479095,4.556942754446793,83.78365384615385,96.53846153846152,98.91826923076924,PASS*,PASS (Grade A)*
VitalDB,shared_lora_rank4,SBP,8.816069452854304,0.5614940692505819,0.1105964670731471,11.77139385308988,39.35336538461539,66.36298076923077,81.90384615384615,FAIL*,FAIL (Grade D)*
VitalDB,shared_lora_rank4,DBP,4.941318638141339,0.6627397143854963,-0.3004330224257249,6.819220999599587,62.26682692307692,87.56971153846153,96.3533653846154,PASS*,PASS (Grade A)*
VitalDB,subject_lora_rank1,SBP,5.264868949926816,0.8218840654876025,-0.1749719260289118,7.50054065494908,61.70673076923077,86.32932692307692,94.43990384615384,PASS*,PASS (Grade B)*
VitalDB,subject_lora_rank1,DBP,2.9877335727214813,0.8486271691213305,-0.2778273314696092,4.56451040032793,82.48076923076924,96.4903846153846,99.09375,PASS*,PASS (Grade A)*
VitalDB,output_profile32,SBP,5.69749551140345,0.8030333418000949,0.5340276405444512,7.871517977725971,57.418269230769226,83.77403846153845,93.61778846153848,PASS*,PASS (Grade B)*
VitalDB,output_profile32,DBP,3.2192748064719714,0.8349360274576838,-0.044294633085911,4.775080638606026,80.41826923076924,96.0841346153846,99.0673076923077,PASS*,PASS (Grade A)*
VitalDB,feature_affine32,SBP,5.507510697566546,0.816243399910112,0.5490989240316244,7.600643987225873,58.57211538461539,84.98317307692308,94.32211538461536,PASS*,PASS (Grade B)*
VitalDB,feature_affine32,DBP,3.061531219574121,0.8467758195958197,-0.034286827307481,4.600709816067145,81.95913461538461,96.42548076923076,99.13221153846152,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear32,SBP,5.345156738574688,0.8151618244534394,0.2849101868042579,7.637534472294449,60.87019230769231,85.8076923076923,94.5985576923077,PASS*,PASS (Grade B)*
VitalDB,shared_bilinear32,DBP,3.0556908553380238,0.841261342300788,-0.0429638375685765,4.682699843444576,82.07451923076923,96.1610576923077,99.00721153846152,PASS*,PASS (Grade A)*
VitalDB,shared_bilinear64,SBP,5.196878566008348,0.8273325317045603,0.0011218347916236,7.386940118305475,61.83894230769232,86.62259615384616,94.92307692307692,PASS*,PASS (Grade B)*
VitalDB,shared_bilinear64,DBP,2.995812420615783,0.8459689687668719,-0.0830052515635123,4.612188385534202,82.9375,96.35576923076924,98.9110576923077,PASS*,PASS (Grade A)*
VitalDB,subject_nonlinear_rank4,SBP,5.269294384717941,0.8068126262143076,-0.0938637385918543,7.812991511873525,62.29567307692307,85.98557692307692,94.3533653846154,PASS*,PASS (Grade B)*
VitalDB,subject_nonlinear_rank4,DBP,2.9855784244262256,0.8385282699812464,-0.1307858194296176,4.721227439961733,83.12259615384615,96.3125,98.79807692307692,PASS*,PASS (Grade A)*
