candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,run_id
subject_lora_rank4,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,4.669876575469971,2.514026403427124,3.591951370239258,0.2638877332210541,0.0068550109863281,personal-feature-mechanisms-v1_chronological_blocked_subject_lora_rank4_seed20260906_job1489
subject_nonlinear_rank4,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,4.714181900024414,2.548691987991333,3.631437063217163,-0.2559680044651031,-0.2379228323698043,personal-feature-mechanisms-v1_chronological_blocked_subject_nonlinear_rank4_seed20260906_job1496
shared_bilinear64,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,4.825061321258545,2.5878286361694336,3.706445217132568,0.0597593635320663,-0.0895953997969627,personal-feature-mechanisms-v1_chronological_blocked_shared_bilinear64_seed20260906_job1495
subject_lora_rank1,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,4.854899883270264,2.7074291706085205,3.781164407730103,-0.2766134142875671,-0.1300609111785888,personal-feature-mechanisms-v1_chronological_blocked_subject_lora_rank1_seed20260906_job1491
shared_bilinear32,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,4.914098262786865,2.662496566772461,3.788297176361084,0.0711616203188896,-0.1007619947195053,personal-feature-mechanisms-v1_chronological_blocked_shared_bilinear32_seed20260906_job1494
feature_affine32,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,5.190892219543457,2.78037166595459,3.9856321811676025,0.5489708781242371,-0.0398243926465511,personal-feature-mechanisms-v1_chronological_blocked_feature_affine32_seed20260906_job1493
output_profile32,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,5.6126790046691895,2.9448022842407227,4.278740406036377,0.5472174286842346,0.0192314404994249,personal-feature-mechanisms-v1_chronological_blocked_output_profile32_seed20260906_job1492
shared_lora_rank4,resnet_small,chronological_blocked,20260906,MIMIC,1011,40440,7.34153413772583,3.864906549453736,5.603219985961914,0.4296850264072418,-0.0033316833432763,personal-feature-mechanisms-v1_chronological_blocked_shared_lora_rank4_seed20260906_job1490
subject_lora_rank4,resnet_small,chronological_blocked,20260906,Overall,2051,82040,4.902268409729004,2.6964685916900635,3.7993688583374015,0.1899519711732864,0.0291660819202661,personal-feature-mechanisms-v1_chronological_blocked_subject_lora_rank4_seed20260906_job1489
subject_nonlinear_rank4,resnet_small,chronological_blocked,20260906,Overall,2051,82040,4.995662689208984,2.77022385597229,3.882943153381348,-0.1737698316574096,-0.1835969090461731,personal-feature-mechanisms-v1_chronological_blocked_subject_nonlinear_rank4_seed20260906_job1496
shared_bilinear64,resnet_small,chronological_blocked,20260906,Overall,2051,82040,5.013598442077637,2.7947046756744385,3.904151678085327,0.0300260372459888,-0.086253747344017,personal-feature-mechanisms-v1_chronological_blocked_shared_bilinear64_seed20260906_job1495
subject_lora_rank1,resnet_small,chronological_blocked,20260906,Overall,2051,82040,5.062782764434815,2.8495631217956543,3.9561727046966553,-0.2250740826129913,-0.2049888223409652,personal-feature-mechanisms-v1_chronological_blocked_subject_lora_rank1_seed20260906_job1491
shared_bilinear32,resnet_small,chronological_blocked,20260906,Overall,2051,82040,5.132674694061279,2.8618733882904053,3.997274160385132,0.1795470565557479,-0.0714543014764785,personal-feature-mechanisms-v1_chronological_blocked_shared_bilinear32_seed20260906_job1494
feature_affine32,resnet_small,chronological_blocked,20260906,Overall,2051,82040,5.351439952850342,2.9229390621185303,4.137189865112305,0.5490358471870422,-0.0370164550840854,personal-feature-mechanisms-v1_chronological_blocked_feature_affine32_seed20260906_job1493
output_profile32,resnet_small,chronological_blocked,20260906,Overall,2051,82040,5.65568733215332,3.0839788913726807,4.369832992553711,0.5405293107032776,-0.0129807023331522,personal-feature-mechanisms-v1_chronological_blocked_output_profile32_seed20260906_job1492
shared_lora_rank4,resnet_small,chronological_blocked,20260906,Overall,2051,82040,8.089225769042969,4.410722732543945,6.249974250793457,0.2678848505020141,-0.153982788324356,personal-feature-mechanisms-v1_chronological_blocked_shared_lora_rank4_seed20260906_job1490
subject_lora_rank4,resnet_small,chronological_blocked,20260906,VitalDB,1040,41600,5.128181457519531,2.873823404312134,4.001002311706543,0.1180779188871383,0.0508550219237804,personal-feature-mechanisms-v1_chronological_blocked_subject_lora_rank4_seed20260906_job1489
