Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,subject_lora_rank4,SBP,3.905610938981241,0.924855965946525,0.0683485646761666,5.801130257446319,74.0565577766943,92.98756704046806,97.47074597757192,PASS*,PASS (Grade A)*
Overall,subject_lora_rank4,DBP,2.1890320830900807,0.9209009544323172,-0.0976042419686542,3.60620698684481,91.2006338371526,98.20453437347636,99.36981960019504,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank4,SBP,4.272847133998701,0.9211808253192236,0.1550963156536943,6.387747406755647,70.9322453016815,91.14737883283878,96.59742828882295,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank4,DBP,2.3738372797546234,0.9044193438823656,-0.1563693249850551,4.1076532062073,89.72551928783383,97.40356083086054,99.00098911968348,PASS*,PASS (Grade A)*
VitalDB,subject_lora_rank4,SBP,3.548614984017152,0.9256302860639928,-0.0159802586298722,5.166108308070562,77.09375,94.7764423076923,98.31971153846156,PASS*,PASS (Grade A)*
VitalDB,subject_lora_rank4,DBP,2.0093801082556064,0.9384460503259175,-0.0404778006902107,3.039440323026801,92.6346153846154,98.98317307692308,99.7283653846154,PASS*,PASS (Grade A)*
Overall,shared_lora_rank4,SBP,7.86252003125247,0.7345218476449205,-0.5334316988330768,10.891548809011992,45.02194051682106,72.31472452462214,86.28961482203803,FAIL*,FAIL (Grade C)*
Overall,shared_lora_rank4,DBP,4.282639726808977,0.767362140820468,-0.3757473403450804,6.175352833380749,69.64895173086299,91.37737688932228,97.30984885421744,PASS*,PASS (Grade A)*
MIMIC,shared_lora_rank4,SBP,7.86306678326736,0.7665526680763924,-0.5684314110866286,10.981791842572813,45.59347181008902,72.5024727992087,86.27349159248269,FAIL*,FAIL (Grade C)*
MIMIC,shared_lora_rank4,DBP,4.237140571469723,0.7686715739725739,-0.5116099138759835,6.3744601919024895,71.42433234421365,91.60979228486646,97.00049455984174,PASS*,PASS (Grade A)*
VitalDB,shared_lora_rank4,SBP,7.861988525207226,0.6740952322257721,-0.4994079400942876,10.803122938765792,44.46634615384615,72.13221153846155,86.30528846153847,FAIL*,FAIL (Grade C)*
VitalDB,shared_lora_rank4,DBP,4.32687015570127,0.7619684656837682,-0.2436732424222506,5.972556363795528,67.92307692307692,91.1514423076923,97.61057692307692,PASS*,PASS (Grade A)*
Overall,subject_lora_rank1,SBP,4.205213930966039,0.9157305941761662,0.1756288234109939,6.1411957819132885,70.94466114090687,91.78815212091662,97.13310580204778,PASS*,PASS (Grade A)*
Overall,subject_lora_rank1,DBP,2.3865742177977207,0.9089482424177304,-0.1414289892504472,3.867925332255731,89.67942467089225,97.95099951243296,99.247927840078,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank1,SBP,4.578849811629419,0.9120904450155916,0.3096160557574263,6.740935705823227,68.04401582591494,89.8293768545994,96.19436201780417,PASS*,PASS (Grade A)*
MIMIC,subject_lora_rank1,DBP,2.5862179880208243,0.8897801950221454,-0.2140444746592867,4.409017895561229,88.15529179030662,97.17853610286843,98.80563798219583,PASS*,PASS (Grade A)*
VitalDB,subject_lora_rank1,SBP,3.84199674312885,0.9159236211102696,0.0453777735049907,5.492748426139909,73.76442307692308,93.6923076923077,98.04567307692308,PASS*,PASS (Grade A)*
VitalDB,subject_lora_rank1,DBP,2.1924974373212227,0.9293688573544984,-0.0708383587232002,3.2553634465554144,91.1610576923077,98.70192307692308,99.6778846153846,PASS*,PASS (Grade A)*
Overall,output_profile32,SBP,5.249173912009281,0.8740885693906175,-0.1577833479291226,7.508137303016639,61.49683081423696,86.7357386640663,94.90370550950756,PASS*,PASS (Grade B)*
Overall,output_profile32,DBP,2.914125496907562,0.8772845454648739,-0.1905502123114308,4.489343255666197,84.37469527059972,96.86128717698683,98.9870794734276,PASS*,PASS (Grade A)*
MIMIC,output_profile32,SBP,5.607977116261226,0.874977991317178,0.0812423573992962,8.046942098127264,59.060336300692384,84.72057368941643,93.87982195845696,FAIL*,PASS (Grade B)*
MIMIC,output_profile32,DBP,3.0817325211891906,0.8608031152889215,-0.2293219550309148,4.955339589312341,83.35311572700297,96.08555885262116,98.56083086053413,PASS*,PASS (Grade A)*
VitalDB,output_profile32,SBP,4.90037579710667,0.8654973806329329,-0.3901439133974222,6.936606238647286,63.86538461538461,88.69471153846153,95.89903846153848,PASS*,PASS (Grade A)*
VitalDB,output_profile32,DBP,2.7511921300337865,0.8940992608257192,-0.1528596047254709,3.984136815923634,85.36778846153847,97.6153846153846,99.4014423076923,PASS*,PASS (Grade A)*
Overall,feature_affine32,SBP,4.802549453923204,0.8928564109494374,0.2377446565204919,6.923452147750018,65.3473915163335,88.94929302779133,95.98366650414432,PASS*,PASS (Grade A)*
Overall,feature_affine32,DBP,2.6734689240337057,0.893179826177054,-0.1354566133062994,4.190094920241762,86.79058995611896,97.38054607508532,99.1175036567528,PASS*,PASS (Grade A)*
MIMIC,feature_affine32,SBP,5.160132779329868,0.8922060702177035,0.2606418006851694,7.46779798666807,62.70029673590505,87.12166172106825,94.97279920870425,PASS*,PASS (Grade B)*
MIMIC,feature_affine32,DBP,2.8449539673670343,0.8769330309128265,-0.2477726120859178,4.657794922955148,85.5291790306627,96.6864490603363,98.65974282888229,PASS*,PASS (Grade A)*
