candidate,backbone,split_mode,seed,view,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,run_id
subject_lora_rank4,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.2728471755981445,2.3738372325897217,3.323342084884644,0.1550963371992111,-0.1563693284988403,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank4_seed20260906_job1480
subject_nonlinear_rank4,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.302206039428711,2.3643994331359863,3.3333027362823486,0.078714795410633,-0.1846910417079925,personal-feature-mechanisms-v1_random_disjoint_subject_nonlinear_rank4_seed20260906_job1487
subject_lora_rank1,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.578849792480469,2.5862178802490234,3.582534074783325,0.3096160590648651,-0.2140444815158844,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank1_seed20260906_job1482
shared_bilinear64,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.62382173538208,2.582111358642578,3.602966547012329,0.2339282482862472,-0.1807377487421035,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear64_seed20260906_job1565
shared_bilinear32,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,4.828231334686279,2.692596197128296,3.760413885116577,-0.2044832855463028,-0.2262191325426101,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear32_seed20260906_job1485
feature_affine32,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,5.160132884979248,2.844954013824463,4.002543449401856,0.2606418132781982,-0.247772604227066,personal-feature-mechanisms-v1_random_disjoint_feature_affine32_seed20260906_job1484
output_profile32,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,5.607977390289307,3.081732273101806,4.344854831695557,0.0812423676252365,-0.2293219566345214,personal-feature-mechanisms-v1_random_disjoint_output_profile32_seed20260906_job1483
shared_lora_rank4,resnet_small,random_disjoint,20260906,MIMIC,1011,40440,7.863066673278809,4.237140655517578,6.050103664398193,-0.5684314370155334,-0.5116099119186401,personal-feature-mechanisms-v1_random_disjoint_shared_lora_rank4_seed20260906_job1481
subject_lora_rank4,resnet_small,random_disjoint,20260906,Overall,2051,82040,3.905611038208008,2.1890323162078857,3.047321557998657,0.0683485642075538,-0.0976042449474334,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank4_seed20260906_job1480
subject_nonlinear_rank4,resnet_small,random_disjoint,20260906,Overall,2051,82040,3.923084974288941,2.1820051670074463,3.0525448322296143,-0.057085707783699,-0.1402127742767334,personal-feature-mechanisms-v1_random_disjoint_subject_nonlinear_rank4_seed20260906_job1487
subject_lora_rank1,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.205214023590088,2.3865742683410645,3.295894145965576,0.1756288409233093,-0.141428992152214,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank1_seed20260906_job1482
shared_bilinear64,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.254327297210693,2.393461942672729,3.323894500732422,0.1380652785301208,-0.1430795192718505,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear64_seed20260906_job1565
shared_bilinear32,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.4605488777160645,2.513695240020752,3.487122058868408,-0.2256195396184921,-0.0711791962385177,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear32_seed20260906_job1485
feature_affine32,resnet_small,random_disjoint,20260906,Overall,2051,82040,4.802549839019775,2.673469066619873,3.738009452819824,0.2377446740865707,-0.1354566216468811,personal-feature-mechanisms-v1_random_disjoint_feature_affine32_seed20260906_job1484
output_profile32,resnet_small,random_disjoint,20260906,Overall,2051,82040,5.24917459487915,2.914125442504883,4.0816497802734375,-0.1577833592891693,-0.1905502080917358,personal-feature-mechanisms-v1_random_disjoint_output_profile32_seed20260906_job1483
shared_lora_rank4,resnet_small,random_disjoint,20260906,Overall,2051,82040,7.86251974105835,4.282639503479004,6.072579860687256,-0.5334316492080688,-0.3757473230361938,personal-feature-mechanisms-v1_random_disjoint_shared_lora_rank4_seed20260906_job1481
subject_lora_rank4,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,3.548614978790283,2.0093801021575928,2.7789974212646484,-0.0159802548587322,-0.0404778011143207,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank4_seed20260906_job1480
subject_nonlinear_rank4,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,3.554535150527954,2.004696846008301,2.779616117477417,-0.1890994608402252,-0.0969747602939605,personal-feature-mechanisms-v1_random_disjoint_subject_nonlinear_rank4_seed20260906_job1487
subject_lora_rank1,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,3.841996908187866,2.192497491836548,3.017247200012207,0.045377779752016,-0.0708383619785308,personal-feature-mechanisms-v1_random_disjoint_subject_lora_rank1_seed20260906_job1482
shared_bilinear64,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,3.8951358795166016,2.2100729942321777,3.0526044368743896,0.044875394552946,-0.106471337378025,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear64_seed20260906_job1565
shared_bilinear32,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,4.103119373321533,2.33978271484375,3.2214512825012207,-0.2461663782596588,0.0795375406742096,personal-feature-mechanisms-v1_random_disjoint_shared_bilinear32_seed20260906_job1485
feature_affine32,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,4.45493745803833,2.506765604019165,3.480851411819458,0.215486004948616,-0.0262724980711936,personal-feature-mechanisms-v1_random_disjoint_feature_affine32_seed20260906_job1484
output_profile32,resnet_small,random_disjoint,20260906,VitalDB,1040,41600,4.9003753662109375,2.751192092895508,3.8257839679718018,-0.3901439309120178,-0.1528595983982086,personal-feature-mechanisms-v1_random_disjoint_output_profile32_seed20260906_job1483
