Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
personal_profile_code32_no_support:natural,SBP,5.584332296361231,0.851517292912696,0.2637385200024348,7.916282641728238,59.07118478790834,84.57703559239395,93.71647976596782,PASS*,PASS (Grade B)*
personal_profile_code32_no_support:natural,DBP,3.038110091266604,0.8597172720900392,-0.0618023618961298,4.658381641852103,82.56338371526085,96.0787420770356,98.75548512920528,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:ppg_permuted_1,SBP,7.449425281122915,0.7233426086183012,0.2637382593345549,10.808517512311967,48.7664553876158,75.45465626523648,87.71574841540712,FAIL*,FAIL (Grade C)*
personal_profile_code32_no_support:ppg_permuted_1,DBP,4.035302126180945,0.7595937839569258,-0.0618031270674878,6.098481738006213,73.22647489029741,91.7771818625061,96.97830326669916,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:ppg_permuted_2,SBP,7.422955407496489,0.7269494068773734,0.2637393021920667,10.737788486482954,48.81155533885909,75.41199414919552,87.78400780107265,FAIL*,FAIL (Grade C)*
personal_profile_code32_no_support:ppg_permuted_2,DBP,4.015483945151877,0.7627185608792851,-0.0618022087316638,6.058714277260625,73.45563139931741,91.85275475377864,97.09775719161384,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:personal_state_swapped,SBP,14.341607047824496,0.2002419987024585,1.3791956676499897,18.3306436473894,23.16552901023891,43.979765967820576,60.7557289127255,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:personal_state_swapped,DBP,7.796770353168467,0.3286508897703332,0.5177211282777531,10.178512510604858,41.689419795221845,70.79595319356412,86.64797659678206,FAIL*,FAIL (Grade C)*
personal_profile_code32_no_support:personal_state_zero,SBP,11.03613035303392,0.5279176078528595,1.2499950694433368,14.067775453081495,29.63188688444661,54.12116040955631,72.75109702584105,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:personal_state_zero,DBP,5.965143864541911,0.605267573280613,0.5671318834668424,7.794278860990108,51.69795221843003,82.36591906387129,94.50024378352023,PASS*,PASS (Grade B)*
personal_profile_code32_no_support:train_bp_mean,SBP,9.777309139061996,0.5910816153954404,0.1546560341878265,13.143544524380838,36.17503656752803,62.319600195026815,78.83105802047781,FAIL*,FAIL (Grade D)*
