Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
personal_profile_code32_no_support:natural,SBP,5.673244644495157,0.8043793932238749,0.2350908943322988,7.859092532141592,57.48798076923077,83.92788461538461,93.63942307692308,PASS*,PASS (Grade B)*
personal_profile_code32_no_support:natural,DBP,3.17876284136222,0.8385713341843712,-0.1217031211577929,4.720840244739392,80.54326923076923,96.2403846153846,99.08653846153848,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:ppg_permuted_1,SBP,8.112746237241305,0.5739510663571079,0.2350903802651625,11.601119735647936,44.92307692307692,72.05048076923077,85.32932692307692,FAIL*,FAIL (Grade C)*
personal_profile_code32_no_support:ppg_permuted_1,DBP,4.538029469389182,0.6753627152902992,-0.1217046301639997,6.6957729129540375,68.23557692307692,89.80288461538461,96.3798076923077,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:ppg_permuted_2,SBP,8.06702603486868,0.580251717003466,0.2350924369005056,11.514982754867946,45.17788461538462,71.98798076923076,85.57451923076923,FAIL*,FAIL (Grade C)*
personal_profile_code32_no_support:ppg_permuted_2,DBP,4.508470580165203,0.6808305534185759,-0.121702819099793,6.639126534819244,68.3701923076923,89.96875,96.52884615384616,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:personal_state_swapped,SBP,15.274441980582017,-0.1870851727000024,0.6573143370334918,19.35753355638508,21.14903846153846,40.65144230769231,57.16826923076923,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:personal_state_swapped,DBP,8.624559391186787,0.1065732413801656,0.0880381727218627,11.109361252287556,36.75480769230769,65.54326923076923,83.48557692307692,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:personal_state_zero,SBP,10.874108423269712,0.389228142967543,-0.4025878396401038,13.887255068022542,30.257211538461537,54.41586538461538,73.3389423076923,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:personal_state_zero,DBP,6.045295426111955,0.5521211052357873,-0.7111364985429324,7.833780455501754,50.60096153846154,81.45192307692307,94.54807692307692,PASS*,PASS (Grade B)*
