candidate,split_mode,condition,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,participant_mean_mae_p90,participant_mean_mae_p95,worst_30_n_participants,worst_30_mean_mae,retained_70_n_participants,retained_70_mean_mae,tail_definition
subject_lora_rank4,random_disjoint,natural,Overall,2051,82040,3.901790618896485,2.17708158493042,3.0394363403320312,5.3131513595581055,3.103907585144043,0.0193237755447626,-0.1215020418167114,4.576969146728516,5.233169078826904,616,4.476913928985596,1435,2.422372579574585,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,natural,MIMIC,1011,40440,4.276870250701904,2.364320516586304,3.3205955028533936,5.855810165405273,3.456843376159668,-0.0570251643657684,-0.2669357657432556,4.888978958129883,5.88375186920166,304,4.944676399230957,707,2.622263669967652,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,natural,VitalDB,1040,41600,3.537169933319092,1.99506413936615,2.7661170959472656,4.785624027252197,2.7608132362365723,0.0935437604784965,0.0198763404041528,4.045180797576904,4.576824641227722,312,3.9309351444244394,728,2.26690936088562,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,ppg_permuted_1,Overall,2051,82040,13.860164642333984,7.3858232498168945,10.62299346923828,17.56698989868164,9.466330528259276,0.0193243119865655,-0.1215028464794159,15.875788688659668,18.21611213684082,616,15.512102127075195,1435,8.524253845214844,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,ppg_permuted_1,MIMIC,1011,40440,13.044466972351074,6.781435966491699,9.91295051574707,16.505035400390625,8.762063026428223,-0.0570251643657684,-0.2669357657432556,15.58134651184082,17.98758029937744,304,15.068963050842283,707,7.695939540863037,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,ppg_permuted_1,VitalDB,1040,41600,14.653115272521973,7.9733567237854,11.313236236572266,18.59933280944824,10.150959968566896,0.0935448110103607,0.0198747515678405,16.05918312072754,18.337428474426265,312,15.813657760620115,728,9.38448429107666,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,ppg_permuted_2,Overall,2051,82040,13.787035942077637,7.345866680145264,10.566451072692873,17.49763298034668,9.422700881958008,0.0193239022046327,-0.1215014308691024,15.623369216918944,18.056845664978027,616,15.441633224487305,1435,8.4736909866333,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,ppg_permuted_2,MIMIC,1011,40440,12.99182415008545,6.75103235244751,9.871427536010742,16.44070053100586,8.714547157287598,-0.0570251643657684,-0.2669357657432556,15.39414882659912,17.991783142089844,304,15.024306297302246,707,7.655763149261475,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,ppg_permuted_2,VitalDB,1040,41600,14.560072898864746,7.9241156578063965,11.242094993591309,18.525089263916016,10.111108779907228,0.0935440063476562,0.0198775511234998,15.766988468170164,18.14424858093261,312,15.713178634643556,728,9.325915336608888,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
subject_lora_rank4,random_disjoint,personal_state_swapped,Overall,2051,82040,14.280365943908691,7.722264289855957,11.00131607055664,16.94252586364746,9.22167682647705,1.2827366590499878,0.85121750831604,17.460691452026367,20.52179527282715,616,16.71061134338379,1435,8.550496101379395,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
