Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
subject_lora_rank4:natural,SBP,4.276870432758425,0.9209312402948474,-0.057025172425071,6.399484545354657,70.95697329376854,91.15727002967358,96.73837784371908,PASS*,PASS (Grade A)*
subject_lora_rank4:natural,DBP,2.3643203915521487,0.9034374751677122,-0.2669357744098063,4.123055958922498,89.55489614243324,97.5024727992087,98.94906033630068,PASS*,PASS (Grade A)*
subject_lora_rank4:ppg_permuted_1,SBP,13.044466974332,0.3729154170755712,-0.057025172425071,18.022733520092263,30.182987141444112,52.53461918892186,67.71018793273986,FAIL*,FAIL (Grade D)*
subject_lora_rank4:ppg_permuted_1,DBP,6.781435960926241,0.44808737484285,-0.2669357744098063,9.874150650361148,52.79179030662711,77.98219584569733,89.49802176063304,FAIL*,FAIL (Grade C)*
subject_lora_rank4:ppg_permuted_2,SBP,12.991823489871152,0.3776182083837741,-0.057025172425071,17.95502533896676,30.427794263105834,52.61127596439169,67.86597428288823,FAIL*,FAIL (Grade D)*
subject_lora_rank4:ppg_permuted_2,DBP,6.751032281322837,0.4521016137400001,-0.2669357744098063,9.838149833171348,52.70771513353115,78.12314540059347,89.68842729970326,FAIL*,FAIL (Grade C)*
subject_lora_rank4:personal_state_swapped,SBP,14.443784639413233,0.3300720153991912,1.5681822845655191,18.562200278876592,23.10583580613254,43.93669634025717,60.84075173095944,FAIL*,FAIL (Grade D)*
subject_lora_rank4:personal_state_swapped,DBP,7.548985635538601,0.4259172702978914,1.241797626478382,9.997367623186584,43.63748763600396,72.91790306627102,88.32096933728981,FAIL*,FAIL (Grade C)*
subject_lora_rank4:personal_state_zero,SBP,9.886367864448404,0.6670580609073968,2.353781741073412,12.919730779789289,34.34223541048467,61.17457962413452,78.72403560830861,FAIL*,FAIL (Grade D)*
subject_lora_rank4:personal_state_zero,DBP,5.317352762467547,0.6928033452466852,1.4222671801683102,7.230836532250147,59.060336300692384,86.6839762611276,95.74431256181998,PASS*,PASS (Grade B)*
subject_lora_rank4:train_bp_mean,SBP,9.97267288487224,0.6520447455452896,0.084294355186817,13.424957269130385,35.26953511374876,61.63204747774481,78.00445103857567,FAIL*,FAIL (Grade D)*
subject_lora_rank4:train_bp_mean,DBP,5.220253948783308,0.6857787539975734,-0.0190467398197313,7.453145206303458,61.14490603363007,86.9238377843719,95.37833827893176,PASS*,PASS (Grade A)*
subject_lora_rank4:train_bp_median,SBP,9.833359068956383,0.6380172088860823,-0.1620954809745388,13.69220219389338,37.95746785361029,63.691889218595456,78.56577645895153,FAIL*,FAIL (Grade D)*
subject_lora_rank4:train_bp_median,DBP,5.101841965863071,0.6699662938253388,-0.6697115211883001,7.608983119924324,63.72156280909989,87.11424332344212,95.0049455984174,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:natural,SBP,5.590533553292325,0.8764451649396654,-0.0974422698204878,7.999400247443392,59.102373887240354,84.90850642927794,93.87487636003956,PASS*,PASS (Grade B)*
personal_profile_code32_no_support:natural,DBP,3.0812418250490485,0.8564728982505373,-0.3948468556861613,5.021712025394618,83.4248269040554,96.06330365974284,98.47922848664687,PASS*,PASS (Grade A)*
personal_profile_code32_no_support:ppg_permuted_1,SBP,12.454065876591924,0.4272842509296912,-0.0974422698204878,17.22353873576109,30.680019782393668,54.54253214638971,69.8837784371909,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:ppg_permuted_1,DBP,6.387320832281745,0.5131970321838288,-0.3948468556861613,9.268428197449392,54.70326409495549,80.12363996043521,90.96191889218596,FAIL*,PASS (Grade B)*
personal_profile_code32_no_support:ppg_permuted_2,SBP,12.391219457556538,0.4309471672791319,-0.0974422698204878,17.168370351636398,31.402077151335316,54.418892185954505,70.19287833827893,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:ppg_permuted_2,DBP,6.346098551528508,0.5206420773371301,-0.3948468556861613,9.197150960269411,55.00741839762612,80.68991097922849,91.19188921859543,FAIL*,PASS (Grade B)*
personal_profile_code32_no_support:personal_state_swapped,SBP,14.572814348732091,0.3275126975468628,0.5939163007085331,18.65442268902882,22.166172106824924,42.99208704253215,60.225024727992086,FAIL*,FAIL (Grade D)*
personal_profile_code32_no_support:personal_state_swapped,DBP,7.688012733987719,0.4157531025203591,0.109361810712503,10.162400074866293,42.119188921859546,71.87438180019782,87.58654797230466,FAIL*,FAIL (Grade C)*
