Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
subject_lora_rank4:natural,SBP,3.53717007627854,0.925770092618642,0.0935437581172356,5.160427079649087,77.05528846153847,94.6346153846154,98.39423076923076,PASS*,PASS (Grade A)*
subject_lora_rank4:natural,DBP,1.9950639800383492,0.9382417756061006,0.019876341498815,3.044684626974451,92.58653846153844,98.89903846153844,99.73317307692308,PASS*,PASS (Grade A)*
subject_lora_rank4:ppg_permuted_1,SBP,14.65311522437976,-0.0832087885634014,0.0935448185297159,19.71599632020171,25.937500000000004,46.34615384615385,61.96874999999999,FAIL*,FAIL (Grade D)*
subject_lora_rank4:ppg_permuted_1,DBP,7.973356828276928,0.2322545109563922,0.0198747543646739,10.73524747666628,43.05048076923077,70.18990384615384,85.44471153846153,FAIL*,FAIL (Grade C)*
subject_lora_rank4:ppg_permuted_2,SBP,14.560072686580511,-0.0764696808524085,0.093544007723148,19.654568403767357,26.211538461538463,46.77884615384615,62.4375,FAIL*,FAIL (Grade D)*
subject_lora_rank4:ppg_permuted_2,DBP,7.924115501412978,0.2352559708307806,0.0198775509229073,10.714242412285907,43.54086538461539,70.5673076923077,85.625,FAIL*,FAIL (Grade C)*
subject_lora_rank4:personal_state_swapped,SBP,14.121505606082769,0.1019589061971679,1.0052504945718326,17.923947639964737,22.377403846153847,43.33413461538462,61.05769230769232,FAIL*,FAIL (Grade D)*
subject_lora_rank4:personal_state_swapped,DBP,7.890710821380982,0.3280678493312468,0.4715285801429015,10.032003354587651,39.15625,69.72115384615385,87.15865384615384,FAIL*,FAIL (Grade D)*
subject_lora_rank4:personal_state_zero,SBP,9.58354192660405,0.5514722726652048,0.8845203876495361,12.656222718353789,35.08173076923077,62.27403846153846,79.70192307692308,FAIL*,FAIL (Grade D)*
subject_lora_rank4:personal_state_zero,DBP,5.215768364667892,0.6784133628763,0.3841828297651731,6.937263644026295,58.57932692307693,86.91586538461539,96.45192307692308,PASS*,PASS (Grade B)*
subject_lora_rank4:train_bp_mean,SBP,10.847590544590584,0.4194175935389052,0.141943568266355,14.433726273124442,31.588942307692307,56.81971153846154,74.82451923076923,FAIL*,FAIL (Grade D)*
subject_lora_rank4:train_bp_mean,DBP,5.855418210579799,0.5887385432259472,0.1090099760202261,7.856359884630059,54.07932692307692,82.7764423076923,94.1658653846154,PASS*,PASS (Grade B)*
subject_lora_rank4:train_bp_median,SBP,10.710615691955272,0.4029012643440159,-0.649577394081996,14.623878695636,34.09134615384615,58.74519230769231,75.33413461538461,FAIL*,FAIL (Grade D)*
subject_lora_rank4:train_bp_median,DBP,5.782753490668076,0.579182018204392,-0.3198951185666597,7.941439697241663,55.80288461538462,82.8798076923077,93.72115384615384,PASS*,PASS (Grade B)*
personal_profile_code32_no_support:natural,SBP,4.8908180809021,0.8654576784367543,-0.3587054553398719,6.939329737361464,63.887019230769226,88.50961538461539,96.06490384615384,PASS*,PASS (Grade A)*
