candidate,view,split_mode,seed,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,reference_mean_mae,reference_candidate,gain_mmhg
D0_frozen_lora,Overall,chronological_blocked,20260907,2051,82040,4.777301551608677,2.647466137326676,3.712383844467676,0.2060147501212222,0.0648715313093538,3.712383844467676,D0_frozen_lora,0.0
D0_frozen_lora,MIMIC,chronological_blocked,20260907,1011,40440,4.511091241921444,2.443512012460937,3.4773016271911907,0.16290887819435426,0.016900150712236838,3.4773016271911907,D0_frozen_lora,0.0
D0_frozen_lora,VitalDB,chronological_blocked,20260907,1040,41600,5.036088689198861,2.8457330798644285,3.9409108845316445,0.24791863138859085,0.11150524840905116,3.9409108845316445,D0_frozen_lora,0.0
lora_continued_control,Overall,chronological_blocked,20260907,2051,82040,4.77730131149292,2.6474661827087402,3.712383985519409,0.2060147523880005,0.06487153470516205,3.712383844467676,D0_frozen_lora,-1.410517329603067e-07
lora_continued_control,MIMIC,chronological_blocked,20260907,1011,40440,4.5110907554626465,2.443511962890625,3.477301597595215,0.1629088670015335,0.01690015010535717,3.4773016271911907,D0_frozen_lora,2.959597589224927e-08
lora_continued_control,VitalDB,chronological_blocked,20260907,1040,41600,5.036088466644287,2.845733165740967,3.940910816192627,0.24791863560676575,0.11150521039962769,3.9409108845316445,D0_frozen_lora,6.833901755598504e-08
pair_single,Overall,chronological_blocked,20260907,2051,82040,5.100523948669434,2.8319849967956543,3.966254472732544,0.15229566395282745,0.03334835171699524,3.712383844467676,D0_frozen_lora,-0.2538706282648677
pair_single,MIMIC,chronological_blocked,20260907,1011,40440,4.862180233001709,2.651754856109619,3.756967306137085,0.0971284955739975,-0.005095565691590309,3.4773016271911907,D0_frozen_lora,-0.2796656789458942
pair_single,VitalDB,chronological_blocked,20260907,1040,41600,5.332221031188965,3.007189989089966,4.169705867767334,0.20592448115348816,0.07072028517723083,3.9409108845316445,D0_frozen_lora,-0.22879498323568948
pair_uniform,Overall,chronological_blocked,20260907,2051,82040,4.833646297454834,2.702134132385254,3.767890453338623,0.2693827450275421,0.08848991990089417,3.712383844467676,D0_frozen_lora,-0.05550660887094683
pair_uniform,MIMIC,chronological_blocked,20260907,1011,40440,4.647802352905273,2.554840564727783,3.6013214588165283,0.32599493861198425,0.09336350113153458,3.4773016271911907,D0_frozen_lora,-0.12401983162533758
pair_uniform,VitalDB,chronological_blocked,20260907,1040,41600,5.014308929443359,2.845320224761963,3.929814577102661,0.214349165558815,0.08375225216150284,3.9409108845316445,D0_frozen_lora,0.011096307428983376
pair_retrieved,Overall,chronological_blocked,20260907,2051,82040,4.749363899230957,2.643669366836548,3.696516990661621,0.18069687485694885,0.06158093363046646,3.712383844467676,D0_frozen_lora,0.015866853806055126
pair_retrieved,MIMIC,chronological_blocked,20260907,1011,40440,4.472189426422119,2.4536190032958984,3.462904214859009,0.12115001678466797,0.03448496758937836,3.4773016271911907,D0_frozen_lora,0.014397412332181947
pair_retrieved,VitalDB,chronological_blocked,20260907,1040,41600,5.018810749053955,2.828420400619507,3.9236154556274414,0.2385832816362381,0.08792135119438171,3.9409108845316445,D0_frozen_lora,0.017295428904203103
pair_distance_blend,Overall,chronological_blocked,20260907,2051,82040,4.7000250816345215,2.6142520904541016,3.6571385860443115,0.1896321177482605,0.059094447642564774,3.712383844467676,D0_frozen_lora,0.055245258423364696
pair_distance_blend,MIMIC,chronological_blocked,20260907,1011,40440,4.428385257720947,2.4207065105438232,3.424546003341675,0.12906348705291748,0.023107968270778656,3.4773016271911907,D0_frozen_lora,0.05275562384951593
pair_distance_blend,VitalDB,chronological_blocked,20260907,1040,41600,4.964089870452881,2.802400588989258,3.8832452297210693,0.24851179122924805,0.09407747536897659,3.9409108845316445,D0_frozen_lora,0.05766565481057517
