Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,D0_frozen_lora,SBP,4.7773015516086765,0.8804092361891207,0.2060147501212222,7.1054337625458475,67.206240858118,88.13383715260848,95.17308629936616,PASS*,PASS (Grade A)*
Overall,D0_frozen_lora,DBP,2.6474661373266763,0.8762196704914974,0.06487153130935379,4.375717509192298,85.86055582642614,96.76133593369089,98.89566065333983,PASS*,PASS (Grade A)*
MIMIC,D0_frozen_lora,SBP,4.511091241921445,0.907682839001331,0.1629088781943543,6.883518285613106,70.42284866468843,89.36449060336301,95.50197823936696,PASS*,PASS (Grade A)*
MIMIC,D0_frozen_lora,DBP,2.443512012460937,0.8925116507983595,0.016900150712236807,4.237959938823157,87.97725024727993,96.92383778437191,98.80563798219585,PASS*,PASS (Grade A)*
VitalDB,D0_frozen_lora,SBP,5.036088689198861,0.8305056595801346,0.24791863138859088,7.3145498258454795,64.07932692307692,86.9375,94.85336538461539,PASS*,PASS (Grade B)*
VitalDB,D0_frozen_lora,DBP,2.8457330798644285,0.8529923861881207,0.11150524840905116,4.505159566245059,83.80288461538463,96.60336538461539,98.98317307692308,PASS*,PASS (Grade A)*
Overall,lora_continued_control,SBP,4.777301552538637,0.8804092361721448,0.20601475030721425,7.105433762220466,67.206240858118,88.13383715260848,95.17308629936616,PASS*,PASS (Grade A)*
Overall,lora_continued_control,DBP,2.64746613746617,0.8762196704472955,0.06487153084437362,4.375717509513464,85.86055582642614,96.76133593369089,98.89566065333983,PASS*,PASS (Grade A)*
MIMIC,lora_continued_control,SBP,4.511091243430721,0.9076828389639853,0.1629088781943543,6.883518285447561,70.42284866468843,89.36449060336301,95.50197823936696,PASS*,PASS (Grade A)*
MIMIC,lora_continued_control,DBP,2.443512012460937,0.8925116507288202,0.016900149768938767,4.237959939266516,87.97725024727993,96.92383778437191,98.80563798219585,PASS*,PASS (Grade A)*
VitalDB,lora_continued_control,SBP,5.036088689565658,0.8305056596178584,0.2479186317553887,7.314549825371473,64.07932692307692,86.9375,94.85336538461539,PASS*,PASS (Grade B)*
VitalDB,lora_continued_control,DBP,2.845733080139527,0.8529923861847304,0.11150524840905116,4.505159566445046,83.80288461538463,96.60336538461539,98.98317307692308,PASS*,PASS (Grade A)*
Overall,pair_single,SBP,5.100523690047466,0.860242565504634,0.1522956527308218,7.68292151118603,65.09873232569478,86.60409556313992,94.02730375426621,PASS*,PASS (Grade B)*
Overall,pair_single,DBP,2.8319851473794806,0.8534258733786878,0.033348354556280366,4.7619977963635,84.3137493905412,95.84592881521209,98.58361774744027,PASS*,PASS (Grade A)*
MIMIC,pair_single,SBP,4.862180067547233,0.8888002420852528,0.09712849333071685,7.556259926793946,67.82146389713155,87.83135509396637,94.47082096933728,PASS*,PASS (Grade B)*
MIMIC,pair_single,DBP,2.651754755271059,0.8672650892593943,-0.005095561958562019,4.709468870825173,86.50098911968348,96.01879327398615,98.38278931750742,PASS*,PASS (Grade A)*
VitalDB,pair_single,SBP,5.332221192304905,0.8071606380439349,0.20592449710919306,7.803797878164275,62.45192307692308,85.4110576923077,93.59615384615385,PASS*,PASS (Grade B)*
VitalDB,pair_single,DBP,3.0071898843233402,0.8323328066942257,0.07072027724522811,4.81227461795022,82.1875,95.67788461538461,98.77884615384616,PASS*,PASS (Grade A)*
Overall,pair_uniform,SBP,4.8336466553500665,0.8794974736221338,0.26938273766051263,7.130378854397028,66.25914188200878,88.15090199902487,95.23525109702584,PASS*,PASS (Grade A)*
Overall,pair_uniform,DBP,2.702134070705635,0.8764201952483196,0.08848992340277602,4.37175669807429,85.70575329107753,96.70648464163823,98.91882008776207,PASS*,PASS (Grade A)*
MIMIC,pair_uniform,SBP,4.64780212377818,0.9042929427873765,0.3259949359648541,7.003139698200198,68.68694362017804,89.09248269040553,95.32640949554896,PASS*,PASS (Grade A)*
MIMIC,pair_uniform,DBP,2.554840586046319,0.89158633085159,0.09336350494746992,4.255171903704487,87.3194856577646,96.7433234421365,98.85014836795251,PASS*,PASS (Grade A)*
VitalDB,pair_uniform,SBP,5.014308983637736,0.8334566710285172,0.21434914873196528,7.251590875502961,63.89903846153846,87.23557692307692,95.14663461538461,PASS*,PASS (Grade A)*
VitalDB,pair_uniform,DBP,2.845320333196567,0.8545232648605007,0.08375223980500147,4.482230815211414,84.13701923076923,96.67067307692308,98.98557692307692,PASS*,PASS (Grade A)*
Overall,pair_retrieved,SBP,4.749364338962698,0.8774121093594048,0.1806968845663159,7.194673680845616,67.86567528035104,88.0838615309605,94.93661628473915,PASS*,PASS (Grade B)*
Overall,pair_retrieved,DBP,2.643669491125746,0.873177171615538,0.06158092976313925,4.429226887342172,85.61311555338858,96.38347147732813,98.82496343247198,PASS*,PASS (Grade A)*
MIMIC,pair_retrieved,SBP,4.472189128905918,0.9048239299757845,0.12115003178310678,6.990198527308273,70.9248269040554,89.38427299703264,95.40801186943621,PASS*,PASS (Grade A)*
MIMIC,pair_retrieved,DBP,2.453619176108099,0.8877492525411201,0.03448496119558634,4.3307234935887715,87.55192878338279,96.53560830860533,98.70919881305637,PASS*,PASS (Grade A)*
VitalDB,pair_retrieved,SBP,5.018810624892895,0.8271192956513438,0.23858329626230093,7.387648455173341,64.89182692307692,86.81971153846155,94.47836538461539,PASS*,PASS (Grade B)*
