candidate,view,split_mode,seed,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,reference_mean_mae,reference_candidate,gain_mmhg
D0_frozen_lora,Overall,random_disjoint,20260907,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,0.0225152574359702,-0.1182625809510936,2.876403570175171,lora_continued_control,-0.003694448786093
D0_frozen_lora,MIMIC,random_disjoint,20260907,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,0.0468497080571809,-0.1874385746249341,3.1406712532043457,lora_continued_control,-0.0038974149880375
D0_frozen_lora,VitalDB,random_disjoint,20260907,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,-0.0011406363890721,-0.0510155332546967,2.6195056438446045,lora_continued_control,-0.0034963882198701
lora_continued_control,Overall,random_disjoint,20260907,2051,82040,3.685293674468994,2.067514181137085,2.876403570175171,0.0244920831173658,-0.1019346937537193,2.876403570175171,lora_continued_control,0.0
lora_continued_control,MIMIC,random_disjoint,20260907,1011,40440,4.0379319190979,2.243410587310791,3.1406712532043457,0.0861921310424804,-0.1640020906925201,3.1406712532043457,lora_continued_control,0.0
lora_continued_control,VitalDB,random_disjoint,20260907,1040,41600,3.3424885272979736,1.896522879600525,2.6195056438446045,-0.0354874841868877,-0.04159801825881,2.6195056438446045,lora_continued_control,0.0
pair_single,Overall,random_disjoint,20260907,2051,82040,3.88940954208374,2.1856472492218018,3.0375285148620605,-0.1003052443265914,-0.0611913092434406,2.876403570175171,lora_continued_control,-0.1611249446868896
pair_single,MIMIC,random_disjoint,20260907,1011,40440,4.4142680168151855,2.433502674102783,3.4238855838775635,-0.1027628406882286,-0.066939041018486,3.1406712532043457,lora_continued_control,-0.2832143306732178
pair_single,VitalDB,random_disjoint,20260907,1040,41600,3.3791868686676025,1.9447038173675537,2.661945343017578,-0.097916156053543,-0.0556038431823253,2.6195056438446045,lora_continued_control,-0.0424396991729736
pair_uniform,Overall,random_disjoint,20260907,2051,82040,4.057730674743652,2.321228504180908,3.18947982788086,0.096333310008049,0.0080731157213449,2.876403570175171,lora_continued_control,-0.3130762577056885
pair_uniform,MIMIC,random_disjoint,20260907,1011,40440,4.444179534912109,2.562584638595581,3.503381729125977,-0.0188230592757463,0.0011845842236652,3.1406712532043457,lora_continued_control,-0.3627104759216308
pair_uniform,VitalDB,random_disjoint,20260907,1040,41600,3.682058095932007,2.0866024494171143,2.8843302726745605,0.2082785964012146,0.0147695736959576,2.6195056438446045,lora_continued_control,-0.264824628829956
pair_retrieved,Overall,random_disjoint,20260907,2051,82040,3.4526712894439697,1.941976308822632,2.697323799133301,-0.1075009256601333,-0.0932975634932518,2.876403570175171,lora_continued_control,0.1790797710418701
pair_retrieved,MIMIC,random_disjoint,20260907,1011,40440,3.8392956256866455,2.1275463104248047,2.9834208488464355,-0.1212949827313423,-0.1219416186213493,3.1406712532043457,lora_continued_control,0.1572504043579101
pair_retrieved,VitalDB,random_disjoint,20260907,1040,41600,3.07682728767395,1.7615809440612793,2.419203996658325,-0.0940915346145629,-0.0654522404074668,2.6195056438446045,lora_continued_control,0.2003016471862793
pair_distance_blend,Overall,random_disjoint,20260907,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877,-0.0902072712779045,-0.1027898713946342,2.876403570175171,lora_continued_control,0.2288808822631836
pair_distance_blend,MIMIC,random_disjoint,20260907,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,-0.0894033536314964,-0.1385148763656616,3.1406712532043457,lora_continued_control,0.2132067680358886
pair_distance_blend,VitalDB,random_disjoint,20260907,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882,-0.0909887626767158,-0.0680610463023185,2.6195056438446045,lora_continued_control,0.2441186904907226
D0_frozen_lora,Overall,chronological_blocked,20260907,2051,82040,4.777301551608677,2.647466137326676,3.712383844467676,0.2060147501212222,0.0648715313093538,3.712383844467676,D0_frozen_lora,0.0
D0_frozen_lora,MIMIC,chronological_blocked,20260907,1011,40440,4.511091241921444,2.443512012460937,3.4773016271911907,0.1629088781943542,0.0169001507122368,3.4773016271911907,D0_frozen_lora,0.0
D0_frozen_lora,VitalDB,chronological_blocked,20260907,1040,41600,5.036088689198861,2.8457330798644285,3.940910884531645,0.2479186313885908,0.1115052484090511,3.940910884531645,D0_frozen_lora,0.0
lora_continued_control,Overall,chronological_blocked,20260907,2051,82040,4.77730131149292,2.64746618270874,3.712383985519409,0.2060147523880005,0.064871534705162,3.712383844467676,D0_frozen_lora,-1.410517329603067e-07
lora_continued_control,MIMIC,chronological_blocked,20260907,1011,40440,4.511090755462647,2.443511962890625,3.477301597595215,0.1629088670015335,0.0169001501053571,3.4773016271911907,D0_frozen_lora,2.959597589224927e-08
lora_continued_control,VitalDB,chronological_blocked,20260907,1040,41600,5.036088466644287,2.845733165740967,3.940910816192627,0.2479186356067657,0.1115052103996276,3.940910884531645,D0_frozen_lora,6.833901755598505e-08
