Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Overall,D0_frozen_lora,SBP,3.6913129355720287,0.9302943010372613,0.022515257435970222,5.587610474743394,76.18235007313505,93.49098000975134,97.73768893222818,PASS*,PASS (Grade A)*
Overall,D0_frozen_lora,DBP,2.0688831023505,0.9257244925007593,-0.11826258095109364,3.493801246364169,91.86860068259386,98.31911262798634,99.41491955143832,PASS*,PASS (Grade A)*
MIMIC,D0_frozen_lora,SBP,4.043434272251073,0.9271022276846255,0.046849708057180944,6.144750860929539,73.21216617210683,91.88674579624134,96.98071216617211,PASS*,PASS (Grade A)*
MIMIC,D0_frozen_lora,DBP,2.245703064133694,0.9104765474246959,-0.18743857462493413,3.9738278087435663,90.37833827893175,97.6706231454006,99.06528189910979,PASS*,PASS (Grade A)*
VitalDB,D0_frozen_lora,SBP,3.3490103669349964,0.9307079743449121,-0.0011406363890721248,4.986652978633064,79.06971153846155,95.05048076923077,98.4735576923077,PASS*,PASS (Grade A)*
VitalDB,D0_frozen_lora,DBP,1.8969936971939527,0.941937953505163,-0.05101553325469677,2.9517901839656187,93.3173076923077,98.94951923076924,99.7548076923077,PASS*,PASS (Grade A)*
Overall,lora_continued_control,SBP,3.68529361690445,0.930408065191467,0.024492082033199195,5.583040547955501,76.25304729400293,93.50195026816188,97.72793759141882,PASS*,PASS (Grade A)*
Overall,lora_continued_control,DBP,2.067514288942736,0.9256679630921252,-0.10193469448824269,3.495646348639914,91.85884934178449,98.30082886396879,99.41004388103364,PASS*,PASS (Grade A)*
MIMIC,lora_continued_control,SBP,4.03793208766526,0.9271783788428778,0.08619213047650165,6.141114187009805,73.32344213649851,91.88921859545005,96.96092977250247,PASS*,PASS (Grade A)*
MIMIC,lora_continued_control,DBP,2.243410586886307,0.9103197410855938,-0.16400209246709957,3.978349564730848,90.3981206726014,97.66073194856577,99.05291790306627,PASS*,PASS (Grade A)*
VitalDB,lora_continued_control,SBP,3.342488334270624,0.9308811496876429,-0.03548748429004962,4.980291427218912,79.10096153846153,95.06971153846155,98.4735576923077,PASS*,PASS (Grade A)*
VitalDB,lora_continued_control,DBP,1.8965227916148992,0.9419952816449643,-0.04159802202995007,2.9504799608700316,93.27884615384615,98.92307692307692,99.75721153846155,PASS*,PASS (Grade A)*
Overall,pair_single,SBP,3.889409736840682,0.9102966789142269,-0.10030523825133504,6.337900017016002,75.84349098000975,91.68820087762067,96.44929302779131,PASS*,PASS (Grade A)*
Overall,pair_single,DBP,2.1856475128771793,0.8984378263242551,-0.06119130450536541,4.087345718358804,90.19380789858606,97.40736226231107,98.98220380302291,PASS*,PASS (Grade A)*
MIMIC,pair_single,SBP,4.414268260893553,0.9026459965153223,-0.10276285189431451,7.1005371256007885,72.01285855588526,89.69584569732937,95.33630069238377,PASS*,PASS (Grade A)*
MIMIC,pair_single,DBP,2.4335026107839024,0.8717313064949398,-0.06693904418737787,4.761465577909308,88.61523244312562,96.50098911968348,98.49406528189911,PASS*,PASS (Grade A)*
VitalDB,pair_single,SBP,3.3791866908623622,0.9158001504122686,-0.09791615421955402,5.4960955577977195,79.5673076923077,93.625,97.53125,PASS*,PASS (Grade A)*
VitalDB,pair_single,DBP,1.9447037590467013,0.9273130486007573,-0.05560383833371676,3.302713132739389,91.72836538461539,98.28846153846153,99.45673076923077,PASS*,PASS (Grade A)*
Overall,pair_uniform,SBP,4.057730640125879,0.9211463333429056,0.09633331110511159,5.942229054056686,72.45977571916139,92.3366650414432,97.3695758166748,PASS*,PASS (Grade A)*
Overall,pair_uniform,DBP,2.3212284211238265,0.9153461571906081,0.008073116581013352,3.732040653920742,90.04753778644564,98.04973183812774,99.35763042418333,PASS*,PASS (Grade A)*
MIMIC,pair_uniform,SBP,4.444179199805482,0.9174812737226594,-0.01882306168742043,6.53783914879037,69.20623145400594,90.44510385756676,96.43669634025717,PASS*,PASS (Grade A)*
MIMIC,pair_uniform,DBP,2.5625843872774015,0.8971638903062125,0.0011845797388772936,4.2637921941135355,87.95746785361028,97.23541048466865,98.97626112759644,PASS*,PASS (Grade A)*
VitalDB,pair_uniform,SBP,3.682058049898881,0.9216901611835733,0.20827859273323646,5.297125183096953,75.62259615384616,94.17548076923077,98.2764423076923,PASS*,PASS (Grade A)*
VitalDB,pair_uniform,DBP,2.086602573257226,0.9347452892861603,0.014769569222743695,3.1297184240907256,92.07932692307692,98.84134615384616,99.72836538461539,PASS*,PASS (Grade A)*
Overall,pair_retrieved,SBP,3.452671040214602,0.9321861310616724,-0.10750093513555727,5.510260528326493,79.29546562652364,93.68966357874207,97.56704046806436,PASS*,PASS (Grade A)*
Overall,pair_retrieved,DBP,1.9419763670962709,0.92539086280483,-0.09329756129258787,3.5024022168013436,92.36226231106777,98.07411019015115,99.26255485129205,PASS*,PASS (Grade A)*
MIMIC,pair_retrieved,SBP,3.8392956357799344,0.9291896366476081,-0.12129497938410819,6.055096435264792,75.99406528189911,92.12413452027695,96.8001978239367,PASS*,PASS (Grade A)*
MIMIC,pair_retrieved,DBP,2.12754628997882,0.9108966243151102,-0.12194161351427481,3.967027595757664,91.01632047477744,97.39614243323442,98.90949554896142,PASS*,PASS (Grade A)*
