Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,split_mode
fixed_blend,Overall,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877,4.837637901306152,2.856369733810425,-0.0902072712779045,-0.1027898713946342,random_disjoint
fixed_blend,MIMIC,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,5.367011547088623,3.1844351291656494,-0.0894033536314964,-0.1385148763656616,random_disjoint
fixed_blend,VitalDB,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882,4.323024272918701,2.5374526977539062,-0.0909887626767158,-0.0680610463023185,random_disjoint
trained_blend,Overall,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877,4.837637901306152,2.856369733810425,-0.0902072712779045,-0.1027898713946342,random_disjoint
trained_blend,MIMIC,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457,5.367011547088623,3.1844351291656494,-0.0894033536314964,-0.1385148763656616,random_disjoint
trained_blend,VitalDB,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882,4.323024272918701,2.5374526977539062,-0.0909887626767158,-0.0680610463023185,random_disjoint
E3_zero_reliability,Overall,2051,82040,3.3843735343692023,1.891913380131954,2.6381434572505778,4.816412879642472,2.82992097773542,-0.0738375423279272,-0.1264973009298561,random_disjoint
E3_zero_reliability,MIMIC,1011,40440,3.760804247903016,2.072009038543822,2.916406643223419,5.351489496162243,3.162301899010002,-0.0593183007728839,-0.1777426254902663,random_disjoint
E3_zero_reliability,VitalDB,1040,41600,3.0184394465012354,1.7168396198873404,2.3676395331942883,4.296256668775657,2.506808370611764,-0.0879519204165319,-0.0766809325350726,random_disjoint
E3_trained_reliability,Overall,2051,82040,3.3843735343692023,1.891913380131954,2.6381434572505778,4.816412879642472,2.82992097773542,-0.0738375423279272,-0.1264973009298561,random_disjoint
E3_trained_reliability,MIMIC,1011,40440,3.760804247903016,2.072009038543822,2.916406643223419,5.351489496162243,3.162301899010002,-0.0593183007728839,-0.1777426254902663,random_disjoint
E3_trained_reliability,VitalDB,1040,41600,3.0184394465012354,1.7168396198873404,2.3676395331942883,4.296256668775657,2.506808370611764,-0.0879519204165319,-0.0766809325350726,random_disjoint
D0_frozen_lora,Overall,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,5.090222564139503,2.981832033817168,0.0225152574359702,-0.1182625809510936,random_disjoint
D0_frozen_lora,MIMIC,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,5.606288107290894,3.314435249209459,0.0468497080571809,-0.1874385746249341,random_disjoint
D0_frozen_lora,VitalDB,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,4.588547310172142,2.658503331161778,-0.0011406363890721,-0.0510155332546967,random_disjoint
feature_knn,Overall,2051,82040,3.452671031251781,1.941976385851529,2.697323708551655,4.974498575933078,2.952780163477726,-0.1075015049204502,-0.0932978501270704,random_disjoint
feature_knn,MIMIC,1011,40440,3.839295633276152,2.127546301949132,2.9834209676126417,5.4976123559872985,3.276875669054766,-0.1212955553078555,-0.121941892637818,random_disjoint
feature_knn,VitalDB,1040,41600,3.0768273075530894,1.761581015491264,2.4192041615221767,4.465971622438062,2.6377219364215847,-0.0940920963226936,-0.0654525357247955,random_disjoint
nearest_record_time_bp,Overall,2051,82040,2.944294771341392,1.6258639533248895,2.2850793623331405,4.371741872855906,2.477042114296436,0.0337664565361168,-0.0030252977675312,random_disjoint
nearest_record_time_bp,MIMIC,1011,40440,3.640898737072591,1.8975250085666555,2.769211872819623,5.244557548716105,2.826851994110552,0.0092944855506059,-0.0374958209538672,random_disjoint
nearest_record_time_bp,VitalDB,1040,41600,2.267115339270005,1.3617780621235187,1.814446700696762,3.523264326418732,2.136986548438674,0.0575560360229932,0.0304840281376471,random_disjoint
time_matched_feature_uniform,Overall,2051,82040,3.5355020715108094,1.9864591460992855,2.760980608805048,5.080031540133553,3.0100540658764188,-0.1163121798630169,-0.1071707324595755,random_disjoint
time_matched_feature_uniform,MIMIC,1011,40440,3.8996472055904943,2.1605744747922166,3.0301108401913552,5.556926728707185,3.307799365983266,-0.1320116798672548,-0.1435757236829733,random_disjoint
time_matched_feature_uniform,VitalDB,1040,41600,3.1815109844391163,1.817198956379524,2.49935497040932,4.616434390472069,2.7206112789456283,-0.101050454378128,-0.0717808804145225,random_disjoint
