Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS,split_mode
Overall,D0_frozen_lora,SBP,3.6913129355720287,0.9302943010372612,0.0225152574359702,5.587610474743394,76.18235007313505,93.49098000975134,97.73768893222818,PASS*,PASS (Grade A)*,random_disjoint
Overall,D0_frozen_lora,DBP,2.0688831023505,0.9257244925007592,-0.1182625809510936,3.493801246364169,91.86860068259386,98.31911262798634,99.41491955143832,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,D0_frozen_lora,SBP,4.043434272251073,0.9271022276846256,0.0468497080571809,6.144750860929539,73.21216617210683,91.88674579624134,96.98071216617213,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,D0_frozen_lora,DBP,2.245703064133694,0.910476547424696,-0.1874385746249341,3.9738278087435663,90.37833827893176,97.6706231454006,99.0652818991098,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,D0_frozen_lora,SBP,3.3490103669349964,0.930707974344912,-0.0011406363890721,4.986652978633064,79.06971153846155,95.05048076923076,98.4735576923077,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,D0_frozen_lora,DBP,1.8969936971939527,0.941937953505163,-0.0510155332546967,2.9517901839656187,93.3173076923077,98.94951923076924,99.7548076923077,PASS*,PASS (Grade A)*,random_disjoint
Overall,fixed_blend,SBP,3.3919663172823693,0.9360486632670446,-0.0902072645872758,5.351291659684209,79.5221843003413,94.00170648464164,97.80107264748904,PASS*,PASS (Grade A)*,random_disjoint
Overall,fixed_blend,DBP,1.9030787962346705,0.930238344576472,-0.1027898658141457,3.386354718406168,92.59751340809362,98.27888834714771,99.36738176499269,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,fixed_blend,SBP,3.770226009144392,0.9325387715337063,-0.089403351643201,5.910676902355563,76.30563798219585,92.46785361028684,97.08209693372898,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,fixed_blend,DBP,2.0847025508814583,0.9156906417317416,-0.1385148653290746,3.858170398674483,91.21414441147378,97.66073194856575,99.03808110781404,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,fixed_blend,SBP,3.024254251443423,0.9372438778721932,-0.0909887607281024,4.744776253775955,82.64903846153845,95.49278846153844,98.5,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,fixed_blend,DBP,1.7265195501309174,0.945725685795038,-0.0680610441703062,2.8534997307448497,93.9423076923077,98.8798076923077,99.6875,PASS*,PASS (Grade A)*,random_disjoint
Overall,trained_blend,SBP,3.3919663172823693,0.9360486632670446,-0.0902072645872758,5.351291659684209,79.5221843003413,94.00170648464164,97.80107264748904,PASS*,PASS (Grade A)*,random_disjoint
Overall,trained_blend,DBP,1.9030787962346705,0.930238344576472,-0.1027898658141457,3.386354718406168,92.59751340809362,98.27888834714771,99.36738176499269,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,trained_blend,SBP,3.770226009144392,0.9325387715337063,-0.089403351643201,5.910676902355563,76.30563798219585,92.46785361028684,97.08209693372898,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,trained_blend,DBP,2.0847025508814583,0.9156906417317416,-0.1385148653290746,3.858170398674483,91.21414441147378,97.66073194856575,99.03808110781404,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,trained_blend,SBP,3.024254251443423,0.9372438778721932,-0.0909887607281024,4.744776253775955,82.64903846153845,95.49278846153844,98.5,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,trained_blend,DBP,1.7265195501309174,0.945725685795038,-0.0680610441703062,2.8534997307448497,93.9423076923077,98.8798076923077,99.6875,PASS*,PASS (Grade A)*,random_disjoint
Overall,E3_zero_reliability,SBP,3.3843735343692027,0.9365957547125264,-0.0738375423279272,5.32859831062184,79.52462213554364,94.07240370550952,97.84373476353,PASS*,PASS (Grade A)*,random_disjoint
Overall,E3_zero_reliability,DBP,1.891913380131954,0.9314406771036756,-0.1264973009298561,3.356209360241891,92.6633349585568,98.36299366162848,99.42345197464653,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,E3_zero_reliability,SBP,3.760804247903016,0.93298605555068,-0.0593183007728839,5.891424970304813,76.29080118694363,92.58160237388724,97.148862512364,PASS*,PASS (Grade A)*,random_disjoint
MIMIC,E3_zero_reliability,DBP,2.072009038543822,0.916625705148598,-0.1777426254902663,3.83507064636338,91.27843719090008,97.76953511374876,99.09742828882295,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,E3_zero_reliability,SBP,3.0184394465012354,0.9379629200159444,-0.0879519204165319,4.717563324112753,82.66826923076923,95.52163461538464,98.51923076923076,PASS*,PASS (Grade A)*,random_disjoint
VitalDB,E3_zero_reliability,DBP,1.7168396198873406,0.9472541343490256,-0.0766809325350727,2.8127883482497755,94.0096153846154,98.93990384615384,99.7403846153846,PASS*,PASS (Grade A)*,random_disjoint
Overall,E3_trained_reliability,SBP,3.3843735343692027,0.9365957547125264,-0.0738375423279272,5.32859831062184,79.52462213554364,94.07240370550952,97.84373476353,PASS*,PASS (Grade A)*,random_disjoint
Overall,E3_trained_reliability,DBP,1.891913380131954,0.9314406771036756,-0.1264973009298561,3.356209360241891,92.6633349585568,98.36299366162848,99.42345197464653,PASS*,PASS (Grade A)*,random_disjoint
