candidate,view,split_mode,n_participants,n_events,sbp_mae,dbp_mae,mean_mae
D0_frozen_lora,Overall,random_disjoint,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264
D0_frozen_lora,MIMIC,random_disjoint,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832
D0_frozen_lora,VitalDB,random_disjoint,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747
fixed_blend,Overall,random_disjoint,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877
fixed_blend,MIMIC,random_disjoint,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457
fixed_blend,VitalDB,random_disjoint,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882
trained_blend,Overall,random_disjoint,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877
trained_blend,MIMIC,random_disjoint,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457
trained_blend,VitalDB,random_disjoint,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882
E3_zero_reliability,Overall,random_disjoint,2051,82040,3.3843735343692023,1.891913380131954,2.6381434572505778
E3_zero_reliability,MIMIC,random_disjoint,1011,40440,3.760804247903016,2.072009038543822,2.916406643223419
E3_zero_reliability,VitalDB,random_disjoint,1040,41600,3.0184394465012354,1.7168396198873404,2.3676395331942883
E3_trained_reliability,Overall,random_disjoint,2051,82040,3.3843735343692023,1.891913380131954,2.6381434572505778
E3_trained_reliability,MIMIC,random_disjoint,1011,40440,3.760804247903016,2.072009038543822,2.916406643223419
E3_trained_reliability,VitalDB,random_disjoint,1040,41600,3.0184394465012354,1.7168396198873404,2.3676395331942883
E1_matched_relation,Overall,random_disjoint,2051,82040,3.3919665813446045,1.90307879447937,2.6475226879119877
E1_matched_relation,MIMIC,random_disjoint,1011,40440,3.770226001739502,2.084702491760254,2.927464485168457
E1_matched_relation,VitalDB,random_disjoint,1040,41600,3.024254083633423,1.7265195846557615,2.375386953353882
E2_bp_state_metric,Overall,random_disjoint,2051,82040,3.4765310287475586,1.9485704898834229,2.7125508785247803
E2_bp_state_metric,MIMIC,random_disjoint,1011,40440,3.845250129699707,2.127264976501465,2.986257553100586
E2_bp_state_metric,VitalDB,random_disjoint,1040,41600,3.1180942058563232,1.7748589515686035,2.446476459503174
lora_continued_control,Overall,random_disjoint,2051,82040,3.685293674468994,2.067514181137085,2.876403570175171
lora_continued_control,MIMIC,random_disjoint,1011,40440,4.0379319190979,2.243410587310791,3.1406712532043457
lora_continued_control,VitalDB,random_disjoint,1040,41600,3.3424885272979736,1.896522879600525,2.6195056438446045
D0_frozen_lora,Overall,chronological_blocked,2051,82040,4.777301551608677,2.647466137326676,3.712383844467676
D0_frozen_lora,MIMIC,chronological_blocked,1011,40440,4.511091241921444,2.443512012460937,3.4773016271911907
D0_frozen_lora,VitalDB,chronological_blocked,1040,41600,5.036088689198861,2.8457330798644285,3.940910884531645
fixed_blend,Overall,chronological_blocked,2051,82040,4.897695541381836,2.695645332336426,3.796670198440552
fixed_blend,MIMIC,chronological_blocked,1011,40440,4.543566703796387,2.4558522701263428,3.4997096061706543
fixed_blend,VitalDB,chronological_blocked,1040,41600,5.241949081420898,2.9287517070770264,4.085350513458252
trained_blend,Overall,chronological_blocked,2051,82040,4.7000250816345215,2.6142520904541016,3.657138586044312
trained_blend,MIMIC,chronological_blocked,1011,40440,4.428385257720947,2.4207065105438232,3.424546003341675
trained_blend,VitalDB,chronological_blocked,1040,41600,4.964089870452881,2.802400588989258,3.883245229721069
E3_zero_reliability,Overall,chronological_blocked,2051,82040,4.846353993029714,2.6646808263226287,3.755517409676171
E3_zero_reliability,MIMIC,chronological_blocked,1011,40440,4.504902748422,2.428511547844091,3.466707148133045
E3_zero_reliability,VitalDB,chronological_blocked,1040,41600,5.178284001008944,2.89426461530513,4.0362743081570365
E3_trained_reliability,Overall,chronological_blocked,2051,82040,4.687383563577389,2.6021177207248747,3.644750642151132
E3_trained_reliability,MIMIC,chronological_blocked,1011,40440,4.41213484999856,2.40201844397075,3.4070766469846543
E3_trained_reliability,VitalDB,chronological_blocked,1040,41600,4.954957072642962,2.7966373061079706,3.8757971893754655
E1_matched_relation,Overall,chronological_blocked,2051,82040,4.673410415649414,2.593441963195801,3.633426189422608
E1_matched_relation,MIMIC,chronological_blocked,1011,40440,4.399313449859619,2.399910926818848,3.3996124267578125
E1_matched_relation,VitalDB,chronological_blocked,1040,41600,4.939864635467529,2.78157639503479,3.860720157623291
E2_bp_state_metric,Overall,chronological_blocked,2051,82040,4.879563331604004,2.696716785430908,3.788140296936035
E2_bp_state_metric,MIMIC,chronological_blocked,1011,40440,4.5473952293396,2.4734628200531006,3.51042914390564
E2_bp_state_metric,VitalDB,chronological_blocked,1040,41600,5.2024688720703125,2.913745164871216,4.058106899261475
lora_continued_control,Overall,chronological_blocked,2051,82040,4.77730131149292,2.64746618270874,3.712383985519409
lora_continued_control,MIMIC,chronological_blocked,1011,40440,4.511090755462647,2.443511962890625,3.477301597595215
lora_continued_control,VitalDB,chronological_blocked,1040,41600,5.036088466644287,2.845733165740967,3.940910816192627
