Setting,Scope,scoring_only_group,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,delta_mean_mae_vs_frozen_lora,delta_sbp_mae_vs_frozen_lora,delta_dbp_mae_vs_frozen_lora,split_mode
fixed_blend,Overall,SBP_train_median_deviation_0-10,2051,50195,3.052516697022905,1.7630968091382984,2.4078067530806018,-0.1821500632435904,-0.223308663490902,-0.1409914629962794,random_disjoint
fixed_blend,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.3288370430394663,1.92649394283416,2.627665492936813,-0.1575420739126856,-0.1873170976163241,-0.1277670502090473,random_disjoint
fixed_blend,VitalDB,SBP_train_median_deviation_0-10,1040,24438,2.7839014375779594,1.6042559416704945,2.194078689624227,-0.2060718682566142,-0.2582966183939765,-0.153847118119252,random_disjoint
fixed_blend,Overall,SBP_train_median_deviation_10-20,2029,20839,3.831029830466691,2.076230519004755,2.953630174735723,-0.2488740672407381,-0.3266655954927651,-0.1710825389887116,random_disjoint
fixed_blend,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.427557121612213,2.3264795762073343,3.3770183489097736,-0.2393736524394141,-0.3051129758379618,-0.1736343290408668,random_disjoint
fixed_blend,VitalDB,SBP_train_median_deviation_10-20,1038,11132,3.261512927263212,1.8373125848161664,2.549412756039689,-0.2579443091175322,-0.3472423258183039,-0.1686462924167602,random_disjoint
fixed_blend,Overall,SBP_train_median_deviation_>20,1744,11006,5.66612072221657,2.8533015359554,4.259711129085985,-0.3908822176848705,-0.5412555929066567,-0.2405088424630839,random_disjoint
fixed_blend,MIMIC,SBP_train_median_deviation_>20,805,4976,7.080927189027933,3.43176585968391,5.256346524355921,-0.458462992762616,-0.6376064832113677,-0.2793195023138639,random_disjoint
fixed_blend,VitalDB,SBP_train_median_deviation_>20,939,6030,4.453214219785105,2.357386966624781,3.405300593204943,-0.3329455574744484,-0.4586544569159274,-0.2072366580329694,random_disjoint
fixed_blend,Overall,DBP_train_median_deviation_0-10,2051,69707,3.236170563305705,1.7193558767661623,2.477763220035934,-0.197725788703921,-0.2659665805521158,-0.1294849968557259,random_disjoint
fixed_blend,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.593332229633211,1.8364693655269744,2.7149007975800927,-0.1677253421628708,-0.228643392006576,-0.1068072923191656,random_disjoint
fixed_blend,VitalDB,DBP_train_median_deviation_0-10,1040,34478,2.8889682126738703,1.6055080525957954,2.2472381326348327,-0.2268896843318075,-0.3022490263401365,-0.1515303423234788,random_disjoint
fixed_blend,Overall,DBP_train_median_deviation_10-20,1762,10460,4.732720871777651,2.982423912653323,3.857572392215487,-0.3531979598409416,-0.4242627932892802,-0.282133126392603,random_disjoint
fixed_blend,MIMIC,DBP_train_median_deviation_10-20,791,4282,5.834149512695609,3.7091758434850775,4.771662678090343,-0.4038448014366826,-0.4572425379324309,-0.3504470649409343,random_disjoint
fixed_blend,VitalDB,DBP_train_median_deviation_10-20,971,6178,3.8354705577033967,2.3903942758995465,3.112932416801472,-0.3119398221455416,-0.3973966985284805,-0.2264829457626018,random_disjoint
fixed_blend,Overall,DBP_train_median_deviation_>20,721,1873,7.901139593980054,7.28104636868415,7.591092981332101,-0.7918081309261176,-0.73210784747251,-0.8515084143797242,random_disjoint
fixed_blend,MIMIC,DBP_train_median_deviation_>20,319,929,9.586051807702235,10.341653069408247,9.963852438555245,-1.2012879062975177,-0.9318105299549356,-1.4707652826401016,random_disjoint
fixed_blend,VitalDB,DBP_train_median_deviation_>20,402,944,6.5641072651806125,4.852355976816023,5.708231620998317,-0.4668726872856279,-0.5736373108757604,-0.3601080636954936,random_disjoint
trained_blend,Overall,SBP_train_median_deviation_0-10,2051,50195,3.052516697022905,1.7630968091382984,2.4078067530806018,-0.1821500632435904,-0.223308663490902,-0.1409914629962794,random_disjoint
trained_blend,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.3288370430394663,1.92649394283416,2.627665492936813,-0.1575420739126856,-0.1873170976163241,-0.1277670502090473,random_disjoint
trained_blend,VitalDB,SBP_train_median_deviation_0-10,1040,24438,2.7839014375779594,1.6042559416704945,2.194078689624227,-0.2060718682566142,-0.2582966183939765,-0.153847118119252,random_disjoint
trained_blend,Overall,SBP_train_median_deviation_10-20,2029,20839,3.831029830466691,2.076230519004755,2.953630174735723,-0.2488740672407381,-0.3266655954927651,-0.1710825389887116,random_disjoint
trained_blend,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.427557121612213,2.3264795762073343,3.3770183489097736,-0.2393736524394141,-0.3051129758379618,-0.1736343290408668,random_disjoint
trained_blend,VitalDB,SBP_train_median_deviation_10-20,1038,11132,3.261512927263212,1.8373125848161664,2.549412756039689,-0.2579443091175322,-0.3472423258183039,-0.1686462924167602,random_disjoint
