split_mode,condition,role,gap_s,past_only,n_time_matched_validation_queries,n_queries,n_memory_fallback,n_alpha_zero,n_time_fallback,nearest_feature_distance_n_finite,nearest_feature_distance_mean,nearest_feature_distance_p05,nearest_feature_distance_p50,nearest_feature_distance_p95,selected_record_time_gaps_s_n_finite,selected_record_time_gaps_s_mean,selected_record_time_gaps_s_p05,selected_record_time_gaps_s_p50,selected_record_time_gaps_s_p95,alpha_n_finite,alpha_mean,alpha_p05,alpha_p50,alpha_p95
random_disjoint,gap0,train,0,False,80734,656320,0,32816,4491,656320,0.1137749450300772,0.019582948554307224,0.0889357142150402,0.2940680250525472,3190081,4113.083888794046,170.0,2050.0,15790.0,656320,0.628075705054895,5.66244125368813e-07,0.6975675225257874,0.9334067344665526
random_disjoint,gap0,validation,0,False,80734,82040,0,676,10,82040,0.06669891395026652,0.009918038779869675,0.048305800184607506,0.18603687137365343,407353,1637.0047944264554,0.0,340.0,8120.0,82040,0.7748589684401181,0.36736791729927065,0.8357325792312622,0.9662729740142822
random_disjoint,gap60,train,60,False,80649,656320,0,33133,4492,656320,0.11456139611691983,0.02009577313438058,0.08976254612207413,0.29497109502553936,3189972,4132.065130535315,200.0,2070.0,15800.0,656320,0.6255372787591911,0.0,0.6947558522224426,0.9316628217697143
random_disjoint,gap60,validation,60,False,80649,82040,0,1005,12,82040,0.07559327263342674,0.011969256773591041,0.05666682869195938,0.2036930158734322,407102,1901.0753302120845,70.0,540.0,8800.0,82040,0.7456860771917646,0.3073268949985504,0.8073002696037292,0.959297651052475
random_disjoint,gap300,train,300,False,80383,656320,0,35857,4501,656320,0.11920767540064509,0.021886989567428832,0.0945279411971569,0.30196910053491555,3189102,4270.702592935566,400.0,2220.0,15880.0,656320,0.6109305480489646,0.0,0.6785507798194885,0.9255716770887372
random_disjoint,gap300,validation,300,False,80383,82040,0,1987,16,82040,0.09306162415133754,0.015818560682237148,0.07219476252794266,0.2409370213747025,406344,2569.460995550568,330.0,1080.0,10320.0,82040,0.6897002912502007,0.18067594468593595,0.7544964253902435,0.9462078452110291
random_disjoint,past_gap0,train,0,True,80331,656320,105891,169226,105891,550429,0.15135253190185557,0.024299037456512452,0.11652494221925735,0.3971075415611266,2752145,4158.080020635541,240.0,2260.0,15080.000000000002,656320,0.4485713542089854,0.0,0.5148416757583618,0.9094525098800659
random_disjoint,past_gap0,validation,0,True,80331,82040,1709,3692,1709,80331,0.08475973656709032,0.011985288001596928,0.061065033078193665,0.23527248948812485,401655,1743.700808425141,10.0,420.0,8420.0,82040,0.7048011052737813,0.05552425980567927,0.7869278490543365,0.9588441848754883
random_disjoint,past_gap60,train,60,True,79961,656320,105891,169573,105891,550429,0.15199417837179854,0.024828002974390983,0.11719603836536407,0.39766252040863037,2752145,4166.849370288267,260.0,2270.0,15090.000000000002,656320,0.446939617068371,0.0,0.5126863718032837,0.9075765967369079
random_disjoint,past_gap60,validation,60,True,79961,82040,2079,5176,2079,79961,0.09921664065737526,0.014644297771155834,0.07314879447221756,0.270733118057251,399805,1967.2343569690227,80.0,610.0,8940.000000000002,82040,0.6598240078875984,0.0,0.74374058842659,0.9495744854211807
random_disjoint,past_gap300,train,300,True,78608,656320,105891,173430,105891,550429,0.15690533189516714,0.02684568539261818,0.1218743845820427,0.4059014081954956,2752145,4242.115121928532,420.0,2340.0,15130.000000000002,656320,0.4357718882847964,0.0,0.49496057629585266,0.9003362417221067
random_disjoint,past_gap300,validation,300,True,78608,82040,3432,9590,3432,78608,0.1283591994826444,0.019660035707056524,0.09506888687610626,0.3467516958713529,393040,2565.8417541013637,330.0,1110.0,10310.0,82040,0.574126133860349,0.0,0.6611854135990143,0.9317397743463517
chronological_blocked,gap0,train,0,True,81702,656320,85012,113578,85012,571308,0.09126381477450811,0.008641140209510923,0.05521269142627716,0.29653780013322834,2856540,1101.0445955680648,90.0,610.0,3510.0,656320,0.625527735915796,0.0,0.7718938589096069,0.9685908615589142
chronological_blocked,gap0,validation,0,True,81702,82040,338,1530,338,81702,0.06420215620780412,0.007267038221471012,0.04254475049674511,0.19288422763347615,408510,1519.9493397370934,100.0,780.0,4890.000000000002,82040,0.7859397395355477,0.3294289469718933,0.8557008504867554,0.9754475593566895
chronological_blocked,gap60,train,60,True,81701,656320,85012,114092,85012,571308,0.09253718865950127,0.00893743745982647,0.056452132761478424,0.2989792510867121,2856540,1112.3874128841185,110.0,620.0,3530.0,656320,0.6221729156806854,0.0,0.7674193978309631,0.9675199836492537
chronological_blocked,gap60,validation,60,True,81701,82040,339,1548,339,81701,0.06487023159297178,0.007442878093570471,0.043185923248529434,0.19396258890628815,408505,1534.3234360215909,130.0,790.0,4910.0,82040,0.783764113472009,0.3251490443944931,0.8535911440849304,0.9748538464307785
chronological_blocked,gap300,train,300,True,81652,656320,85012,124582,85012,571308,0.10820393632074382,0.010746473958715797,0.06733695417642593,0.344202108681202,2856540,1249.5645383884,320.0,730.0,3660.0,656320,0.5865725489007241,0.0,0.7236193418502808,0.9608468443155289
chronological_blocked,gap300,validation,300,True,81652,82040,388,1851,388,81652,0.07145687603373592,0.008681923197582365,0.0491492822766304,0.20907556265592572,408260,1701.8219773085782,330.0,950.0,5050.0,82040,0.7619525827500135,0.26727868914604186,0.8333006203174591,0.9706743240356446
