Setting,Method,K,SBP MAE,SBP seed SD,DBP MAE,DBP seed SD,Mean MAE,Mean MAE seed SD,N seeds,N participants,N query events per K,Split
B0 Population BP mean (K=1),population_mean,1,17.380697,0.000000,9.858857,0.000000,13.619777,0.000000,5,697,103564,meta_validation
B0 Population BP mean (K=2),population_mean,2,17.380697,0.000000,9.858857,0.000000,13.619777,0.000000,5,697,103564,meta_validation
B0 Population BP mean (K=3),population_mean,3,17.380697,0.000000,9.858857,0.000000,13.619777,0.000000,5,697,103564,meta_validation
B0 Population BP mean (K=5),population_mean,5,17.380697,0.000000,9.858857,0.000000,13.619777,0.000000,5,697,103564,meta_validation
B1 Last-cuff persistence (K=1),last_cuff,1,19.369449,0.000000,10.676897,0.000000,15.023173,0.000000,5,697,103564,meta_validation
B1 Last-cuff persistence (K=2),last_cuff,2,18.034405,0.000000,9.616320,0.000000,13.825362,0.000000,5,697,103564,meta_validation
B1 Last-cuff persistence (K=3),last_cuff,3,16.855551,0.000000,9.130924,0.000000,12.993238,0.000000,5,697,103564,meta_validation
B1 Last-cuff persistence (K=5),last_cuff,5,16.418218,0.000000,9.047688,0.000000,12.732953,0.000000,5,697,103564,meta_validation
B2 Support-BP mean (K=1),support_mean,1,19.369449,0.000000,10.676897,0.000000,15.023173,0.000000,5,697,103564,meta_validation
B2 Support-BP mean (K=2),support_mean,2,17.636259,0.000000,9.503751,0.000000,13.570005,0.000000,5,697,103564,meta_validation
B2 Support-BP mean (K=3),support_mean,3,16.603542,0.000000,8.906004,0.000000,12.754773,0.000000,5,697,103564,meta_validation
B2 Support-BP mean (K=5),support_mean,5,15.502776,0.000000,8.393494,0.000000,11.948135,0.000000,5,697,103564,meta_validation
B3 Population PPG network (K=1),population,1,14.632401,0.101541,8.787423,0.043182,11.709912,0.064758,5,697,103564,meta_validation
B3 Population PPG network (K=2),population,2,14.632401,0.101541,8.787423,0.043182,11.709912,0.064758,5,697,103564,meta_validation
B3 Population PPG network (K=3),population,3,14.632401,0.101541,8.787423,0.043182,11.709912,0.064758,5,697,103564,meta_validation
B3 Population PPG network (K=5),population,5,14.632401,0.101541,8.787423,0.043182,11.709912,0.064758,5,697,103564,meta_validation
B4 Residual-offset correction (K=1),residual_offset,1,15.902472,0.125843,8.751011,0.151026,12.326742,0.132186,5,697,103564,meta_validation
B4 Residual-offset correction (K=2),residual_offset,2,14.462608,0.147482,7.938161,0.167655,11.200385,0.153291,5,697,103564,meta_validation
B4 Residual-offset correction (K=3),residual_offset,3,13.744694,0.161962,7.504090,0.178798,10.624392,0.169061,5,697,103564,meta_validation
B4 Residual-offset correction (K=5),residual_offset,5,12.871621,0.160261,7.030778,0.173288,9.951200,0.165530,5,697,103564,meta_validation
B6 Head-only adaptation (K=1),head,1,14.100702,0.082528,7.824419,0.071204,10.962560,0.040113,5,697,103564,meta_validation
B6 Head-only adaptation (K=2),head,2,13.437863,0.087594,7.506965,0.099408,10.472414,0.086978,5,697,103564,meta_validation
B6 Head-only adaptation (K=3),head,3,12.999168,0.121159,7.210738,0.127655,10.104953,0.118280,5,697,103564,meta_validation
B6 Head-only adaptation (K=5),head,5,12.289150,0.106361,6.886198,0.127941,9.587674,0.116491,5,697,103564,meta_validation
B7 Full-network adaptation (K=1),full,1,19.348236,0.055790,10.735568,0.050604,15.041902,0.050498,5,697,103564,meta_validation
B7 Full-network adaptation (K=2),full,2,17.397357,0.194242,9.366310,0.104982,13.381833,0.147493,5,697,103564,meta_validation
B7 Full-network adaptation (K=3),full,3,16.277397,0.207150,8.762376,0.150400,12.519886,0.177949,5,697,103564,meta_validation
B7 Full-network adaptation (K=5),full,5,15.345857,0.219411,8.338601,0.122980,11.842229,0.168022,5,697,103564,meta_validation
