setting,source_scope,cohort,participants,queries,participant_macro_sbp_mae,participant_macro_dbp_mae,participant_macro_mean_mae,tail_membership_from_setting,selection_rule,oracle_only,deployable
reference,Overall,overall,697,103564,11.211810055262978,6.353101988585788,8.782456021924384,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
reference,Overall,worst_30pct_subjects,210,39305,17.690644027044762,9.737837676069086,13.714240851556923,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,Overall,oracle_retained_70pct_subjects,487,64259,8.418062346691777,4.893565039157674,6.655813692924726,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,MIMIC,overall,316,80874,12.355384525637968,6.910734873179951,9.63305969940896,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
reference,MIMIC,worst_30pct_subjects,121,33906,18.388281812695574,10.29267195946895,14.340476886082266,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,MIMIC,oracle_retained_70pct_subjects,195,46968,8.611894414181709,4.812199552969855,6.712046983575782,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,VitalDB,overall,381,22690,10.263333591644876,5.8906033231481105,8.076968457396493,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
reference,VitalDB,worst_30pct_subjects,89,5399,16.742170183631856,8.98351241436814,12.862841298999998,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,VitalDB,oracle_retained_70pct_subjects,292,17291,8.288619698881721,4.94790157959132,6.61826063923652,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,Overall,overall,697,103564,11.296914997632767,6.3048589693169035,8.800886983474834,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Age and sex,Overall,worst_30pct_subjects,210,39305,17.737582597421703,9.658994339389892,13.698288468405798,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,Overall,oracle_retained_70pct_subjects,487,64259,8.519625067538973,4.858517228628345,6.689071148083659,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,MIMIC,overall,316,80874,12.536302159773458,6.8342925558583625,9.685297357815909,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Age and sex,MIMIC,worst_30pct_subjects,121,33906,18.601596264922993,10.21798699888655,14.40979163190477,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,MIMIC,oracle_retained_70pct_subjects,195,46968,8.772709407347337,4.734666773261387,6.753688090304362,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,VitalDB,overall,381,22690,10.268971839531826,5.865748698064667,8.067360268798245,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Age and sex,VitalDB,worst_30pct_subjects,89,5399,16.562912330369393,8.899015555130394,12.730963942749893,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,VitalDB,oracle_retained_70pct_subjects,292,17291,8.35061326526969,4.941225580671348,6.645919422970518,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,Overall,overall,697,103564,11.404418187838635,6.490877372044435,8.947647779941535,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
BP-change sampling,Overall,worst_30pct_subjects,210,39305,17.96095996280459,9.803582035782005,13.882270999293297,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,Overall,oracle_retained_70pct_subjects,487,64259,8.577161980974468,5.062401028338294,6.819781504656381,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,MIMIC,overall,316,80874,12.699249862709255,7.1234950568576565,9.911372459783456,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
BP-change sampling,MIMIC,worst_30pct_subjects,121,33906,18.83592322140446,10.393511524411744,14.614717372908101,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,MIMIC,oracle_retained_70pct_subjects,195,46968,8.89136536833941,5.094407915452297,6.992886641895855,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,VitalDB,overall,381,22690,10.33048955461261,5.966186588839768,8.148338071726188,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
BP-change sampling,VitalDB,worst_30pct_subjects,89,5399,16.77140317302274,9.001543068094383,12.886473120558565,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
