candidate_setting,source_scope,participants,queries,tail_participants_routed_to_candidate,retained_participants_routed_to_reference,participant_macro_sbp_mae,participant_macro_dbp_mae,participant_macro_mean_mae,reference_mean_mae,delta_mean_mae_vs_reference,improvement_vs_reference_mean_mae,routing_policy,selection_rule,oracle_only,deployable
Age and sex,Overall,697,103564,210,487,11.22595223572088,6.329347181264941,8.77764970849291,8.782456021924384,-0.004806313431473086,0.004806313431473086,reference on oracle_retained_70pct_subjects; Age and sex on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,MIMIC,316,80874,121,195,12.437065059560492,6.8821371509316265,9.65960110524606,9.63305969940896,0.026541405837098964,-0.026541405837098964,reference on oracle_retained_70pct_subjects; Age and sex on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Age and sex,VitalDB,381,22690,89,292,10.221459709911649,5.870865211672626,8.046162460792138,8.076968457396493,-0.030805996604355457,0.030805996604355457,reference on oracle_retained_70pct_subjects; Age and sex on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,Overall,697,103564,210,487,11.293253880958192,6.37291018878624,8.833082034872215,8.782456021924384,0.050626012947830645,-0.050626012947830645,reference on oracle_retained_70pct_subjects; BP-change sampling on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,MIMIC,316,80874,121,195,12.52679152074485,6.949347491401718,9.738069506073286,9.63305969940896,0.10500980666432547,-0.10500980666432547,reference on oracle_retained_70pct_subjects; BP-change sampling on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
BP-change sampling,VitalDB,381,22690,89,292,10.270162295203377,5.8948152081392795,8.082488751671328,8.076968457396493,0.00552029427483447,-0.00552029427483447,reference on oracle_retained_70pct_subjects; BP-change sampling on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,Overall,697,103564,210,487,11.186884983504527,6.2632403569315365,8.725062670218032,8.782456021924384,-0.05739335170635229,0.05739335170635229,reference on oracle_retained_70pct_subjects; Huber on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,MIMIC,316,80874,121,195,12.254609796136615,6.723077601543528,9.488843698840071,9.63305969940896,-0.14421600056888906,0.14421600056888906,reference on oracle_retained_70pct_subjects; Huber on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,VitalDB,381,22690,89,292,10.301317947305737,5.8818530359410115,8.091585491623375,8.076968457396493,0.014617034226882097,-0.014617034226882097,reference on oracle_retained_70pct_subjects; Huber on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,Overall,697,103564,210,487,11.272519308550333,6.390195875567591,8.83135759205896,8.782456021924384,0.048901570134576744,-0.048901570134576744,reference on oracle_retained_70pct_subjects; Median anchor on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,MIMIC,316,80874,121,195,12.425226363747472,6.9362769567147105,9.680751660231092,9.63305969940896,0.04769196082213156,-0.04769196082213156,reference on oracle_retained_70pct_subjects; Median anchor on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Median anchor,VitalDB,381,22690,89,292,10.316468312638797,5.937278233461316,8.126873273050055,8.076968457396493,0.049904815653562196,-0.049904815653562196,reference on oracle_retained_70pct_subjects; Median anchor on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,Overall,697,103564,210,487,10.885886625219223,6.201138873592838,8.543512749406032,8.782456021924384,-0.2389432725183518,0.2389432725183518,reference on oracle_retained_70pct_subjects; PPG quality gate on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,MIMIC,316,80874,121,195,11.752012554686223,6.595340901211218,9.173676727948719,9.63305969940896,-0.45938297146024176,0.45938297146024176,reference on oracle_retained_70pct_subjects; PPG quality gate on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,VitalDB,381,22690,89,292,10.167524961934259,5.8741891603975445,8.0208570611659,8.076968457396493,-0.0561113962305928,0.0561113962305928,reference on oracle_retained_70pct_subjects; PPG quality gate on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
