Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Fixed-first M0 (K=1),SBP,13.098017,0.439669,-2.505264,16.737518,25.338180,47.948661,65.563716,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=1),DBP,7.722810,0.391189,-1.215656,10.464049,43.127581,72.703217,87.759972,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=2),SBP,12.838856,0.456826,-2.120428,16.527399,26.123352,49.197517,66.528180,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=2),DBP,7.600143,0.401214,-1.160835,10.382642,44.251552,73.535376,87.819324,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=3),SBP,12.743022,0.465766,-2.209931,16.376730,26.144373,49.327349,66.876870,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=3),DBP,7.546053,0.405682,-1.168871,10.342437,44.732547,74.069540,88.025818,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=5),SBP,12.594958,0.474906,-2.269437,16.225256,26.819497,49.881297,67.420926,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=5),DBP,7.387604,0.422747,-1.126949,10.195671,45.762544,74.958578,88.751638,FAIL*,FAIL (Grade C)*
Huber (K=1),SBP,12.921003,0.447984,-0.984604,16.769051,26.223508,48.998442,66.442862,FAIL*,FAIL (Grade D)*
Huber (K=1),DBP,7.366119,0.435093,-0.584639,10.130626,45.130697,74.701387,89.059525,FAIL*,FAIL (Grade C)*
Huber (K=2),SBP,12.770627,0.460108,-0.598277,16.601663,26.087494,49.652546,67.178574,FAIL*,FAIL (Grade D)*
Huber (K=2),DBP,7.302140,0.440092,-0.519958,10.089094,45.873828,75.135396,88.944531,FAIL*,FAIL (Grade C)*
Huber (K=3),SBP,12.644085,0.472625,-0.582638,16.408400,26.160447,49.861513,67.543339,FAIL*,FAIL (Grade D)*
Huber (K=3),DBP,7.248423,0.447355,-0.479206,10.025296,46.147093,75.751168,89.134951,FAIL*,FAIL (Grade C)*
Huber (K=5),SBP,12.479523,0.481813,-0.675991,16.261044,26.826916,50.489651,68.147983,FAIL*,FAIL (Grade D)*
Huber (K=5),DBP,7.129468,0.457938,-0.447897,9.930082,47.304449,76.401563,89.499716,FAIL*,FAIL (Grade C)*
BP-change sampling (K=1),SBP,13.377387,0.414579,-1.794850,17.205369,24.829982,47.161016,64.772362,FAIL*,FAIL (Grade D)*
BP-change sampling (K=1),DBP,8.009446,0.356020,-1.272385,10.759448,41.338378,70.560378,86.673096,FAIL*,FAIL (Grade C)*
BP-change sampling (K=2),SBP,13.111735,0.431905,-1.584405,16.967007,25.590425,48.327027,66.011326,FAIL*,FAIL (Grade D)*
BP-change sampling (K=2),DBP,7.842961,0.372242,-1.254699,10.623256,42.464822,71.998417,86.983456,FAIL*,FAIL (Grade C)*
BP-change sampling (K=3),SBP,12.946728,0.446093,-1.710133,16.739556,25.769716,48.947746,66.609788,FAIL*,FAIL (Grade D)*
BP-change sampling (K=3),DBP,7.747157,0.381738,-1.258391,10.541034,43.335312,72.654994,87.392734,FAIL*,FAIL (Grade C)*
BP-change sampling (K=5),SBP,12.743238,0.458794,-1.709140,16.544609,26.674828,49.595667,67.226797,FAIL*,FAIL (Grade D)*
BP-change sampling (K=5),DBP,7.558288,0.404198,-1.196077,10.352407,44.575513,73.686228,88.276826,FAIL*,FAIL (Grade C)*
Median anchor (K=1),SBP,13.053864,0.442140,-2.547619,16.693342,25.542201,48.208324,65.927245,FAIL*,FAIL (Grade D)*
Median anchor (K=1),DBP,7.676424,0.398906,-1.072565,10.412350,43.076885,72.883745,88.065386,FAIL*,FAIL (Grade C)*
Median anchor (K=2),SBP,12.808203,0.459077,-2.129886,16.491335,26.195069,49.326112,66.704998,FAIL*,FAIL (Grade D)*
Median anchor (K=2),DBP,7.564481,0.407858,-1.006829,10.340308,44.251552,73.783911,88.113609,FAIL*,FAIL (Grade C)*
Median anchor (K=3),SBP,12.870560,0.454867,-2.200757,16.547172,25.774662,48.970003,66.432970,FAIL*,FAIL (Grade D)*
