Setting,Scope,K,N participants,Worst 30% participants,Worst 30% threshold,Worst 30% mean MAE,Remaining 70% mean MAE,P90 participant mean MAE,P95 participant mean MAE,P99 participant mean MAE,Selection
Fixed-first M0,Overall,1,697,210,11.006858,15.028148,7.200302,15.462471,18.762747,23.630943,observed query error; oracle diagnostic only
Fixed-first M0,Overall,2,697,210,10.316243,14.397813,6.942512,15.097883,17.369108,22.911706,observed query error; oracle diagnostic only
Fixed-first M0,Overall,3,697,210,10.238133,14.153361,6.804121,14.844302,16.942655,22.165361,observed query error; oracle diagnostic only
Fixed-first M0,Overall,5,697,210,9.968655,13.714241,6.655814,14.428887,16.248840,22.252115,observed query error; oracle diagnostic only
Huber,Overall,1,697,210,10.891097,14.867335,7.100357,15.375243,17.862294,23.293222,observed query error; oracle diagnostic only
Huber,Overall,2,697,210,10.461625,14.330877,6.897244,14.825412,16.892250,23.051895,observed query error; oracle diagnostic only
Huber,Overall,3,697,210,10.380701,14.065888,6.787731,14.587961,16.442010,22.501141,observed query error; oracle diagnostic only
Huber,Overall,5,697,210,9.996486,13.682778,6.631095,14.360281,16.118374,22.415458,observed query error; oracle diagnostic only
BP-change sampling,Overall,1,697,210,11.061644,15.620399,7.304391,16.017502,19.376212,25.995133,observed query error; oracle diagnostic only
BP-change sampling,Overall,2,697,210,10.763870,15.017970,7.017071,15.469036,18.114114,25.030798,observed query error; oracle diagnostic only
BP-change sampling,Overall,3,697,210,10.615654,14.732901,6.839682,15.056208,17.673011,24.404236,observed query error; oracle diagnostic only
BP-change sampling,Overall,5,697,210,10.286659,14.116207,6.718905,14.384151,16.793154,23.498444,observed query error; oracle diagnostic only
Median anchor,Overall,1,697,210,10.889167,15.079263,7.200936,15.379575,19.116220,25.447114,observed query error; oracle diagnostic only
Median anchor,Overall,2,697,210,10.385268,14.534572,6.957427,15.043619,17.829196,24.021839,observed query error; oracle diagnostic only
Median anchor,Overall,3,697,210,10.380493,14.458653,6.890195,15.146253,17.912671,22.685636,observed query error; oracle diagnostic only
Median anchor,Overall,5,697,210,10.206704,14.129590,6.746968,14.874923,17.198856,22.460514,observed query error; oracle diagnostic only
PPG quality gate,Overall,1,697,210,10.686903,14.609371,7.133196,15.084970,17.461167,23.115227,observed query error; oracle diagnostic only
PPG quality gate,Overall,2,697,210,10.446144,13.928651,6.924683,14.316960,16.668188,21.466391,observed query error; oracle diagnostic only
PPG quality gate,Overall,3,697,210,10.177654,13.621582,6.778428,13.959647,16.444785,20.883346,observed query error; oracle diagnostic only
PPG quality gate,Overall,5,697,210,9.826852,13.163120,6.613906,13.429526,15.706948,19.744017,observed query error; oracle diagnostic only
Age and sex,Overall,1,697,210,10.983909,15.005390,7.179250,15.189128,17.975047,24.271119,observed query error; oracle diagnostic only
