Setting,Scope,K,N participants,N query events,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE,Paired delta vs reference
Fixed-first M0,Overall,1,697,103564,12.134562,6.982965,9.558764,0.000000
Fixed-first M0,Overall,2,697,103564,11.670938,6.706520,9.188729,0.000000
Fixed-first M0,Overall,3,697,103564,11.488616,6.548150,9.018383,0.000000
Fixed-first M0,Overall,5,697,103564,11.211810,6.353102,8.782456,0.000000
Huber,Overall,1,697,103564,12.065381,6.815578,9.440479,-0.118284
Huber,Overall,2,697,103564,11.727407,6.546459,9.136933,-0.051796
Huber,Overall,3,697,103564,11.548759,6.412393,8.980576,-0.037806
Huber,Overall,5,697,103564,11.268100,6.243311,8.755705,-0.026751
BP-change sampling,Overall,1,697,103564,12.401104,7.218759,9.809931,0.251168
BP-change sampling,Overall,2,697,103564,11.966062,6.889282,9.427672,0.238943
BP-change sampling,Overall,3,697,103564,11.734622,6.701057,9.217840,0.199457
BP-change sampling,Overall,5,697,103564,11.404418,6.490877,8.947648,0.165192
Median anchor,Overall,1,697,103564,12.164461,6.984752,9.574607,0.015843
Median anchor,Overall,2,697,103564,11.739773,6.740936,9.240355,0.051626
Median anchor,Overall,3,697,103564,11.676521,6.664489,9.170505,0.152122
Median anchor,Overall,5,697,103564,11.465080,6.477494,8.971287,0.188831
PPG quality gate,Overall,1,697,103564,11.891137,6.880268,9.385702,-0.173061
PPG quality gate,Overall,2,697,103564,11.473443,6.596391,9.034917,-0.153812
PPG quality gate,Overall,3,697,103564,11.232023,6.448399,8.840211,-0.178172
PPG quality gate,Overall,5,697,103564,10.909840,6.264414,8.587127,-0.195329
Age and sex,Overall,1,697,103564,12.212814,6.861581,9.537197,-0.021566
Age and sex,Overall,2,697,103564,11.722069,6.621308,9.171689,-0.017041
Age and sex,Overall,3,697,103564,11.540019,6.481454,9.010737,-0.007646
Age and sex,Overall,5,697,103564,11.296915,6.304859,8.800887,0.018431
Fixed-first M0,MIMIC,1,316,80874,13.038616,7.328483,10.183550,0.000000
Fixed-first M0,MIMIC,2,316,80874,12.744271,7.121042,9.932657,0.000000
Fixed-first M0,MIMIC,3,316,80874,12.590580,7.035732,9.813156,0.000000
Fixed-first M0,MIMIC,5,316,80874,12.355385,6.910735,9.633060,0.000000
Huber,MIMIC,1,316,80874,13.010951,7.106722,10.058837,-0.124713
Huber,MIMIC,2,316,80874,12.759482,6.897083,9.828282,-0.104374
Huber,MIMIC,3,316,80874,12.605258,6.812384,9.708821,-0.104335
Huber,MIMIC,5,316,80874,12.374581,6.700274,9.537428,-0.095632
BP-change sampling,MIMIC,1,316,80874,13.466299,7.627282,10.546791,0.363241
BP-change sampling,MIMIC,2,316,80874,13.211894,7.371936,10.291915,0.359258
BP-change sampling,MIMIC,3,316,80874,12.996772,7.266658,10.131715,0.318559
BP-change sampling,MIMIC,5,316,80874,12.699250,7.123495,9.911372,0.278313
Median anchor,MIMIC,1,316,80874,13.062828,7.312808,10.187818,0.004268
Median anchor,MIMIC,2,316,80874,12.783982,7.125083,9.954533,0.021876
Median anchor,MIMIC,3,316,80874,12.716186,7.044437,9.880311,0.067155
Median anchor,MIMIC,5,316,80874,12.477194,6.987348,9.732271,0.099211
PPG quality gate,MIMIC,1,316,80874,12.653196,7.211199,9.932197,-0.251353
PPG quality gate,MIMIC,2,316,80874,12.254047,6.947684,9.600865,-0.331791
PPG quality gate,MIMIC,3,316,80874,12.026181,6.848559,9.437370,-0.375786
PPG quality gate,MIMIC,5,316,80874,11.716166,6.709883,9.213024,-0.420035
Age and sex,MIMIC,1,316,80874,13.220640,7.173662,10.197151,0.013602
Age and sex,MIMIC,2,316,80874,12.906872,7.010096,9.958484,0.025827
Age and sex,MIMIC,3,316,80874,12.754157,6.950139,9.852148,0.038992
Age and sex,MIMIC,5,316,80874,12.536302,6.834293,9.685297,0.052238
Fixed-first M0,VitalDB,1,381,22690,11.384743,6.696393,9.040568,0.000000
Fixed-first M0,VitalDB,2,381,22690,10.780720,6.362716,8.571718,0.000000
Fixed-first M0,VitalDB,3,381,22690,10.574650,6.143750,8.359200,0.000000
Fixed-first M0,VitalDB,5,381,22690,10.263334,5.890603,8.076968,0.000000
Huber,VitalDB,1,381,22690,11.281128,6.574104,8.927616,-0.112952
Huber,VitalDB,2,381,22690,10.871407,6.255652,8.563530,-0.008189
Huber,VitalDB,3,381,22690,10.672502,6.080643,8.376572,0.017372
Huber,VitalDB,5,381,22690,10.350388,5.864307,8.107347,0.030379
BP-change sampling,VitalDB,1,381,22690,11.517635,6.879930,9.198783,0.158214
BP-change sampling,VitalDB,2,381,22690,10.932773,6.488970,8.710872,0.139153
BP-change sampling,VitalDB,3,381,22690,10.687800,6.231950,8.459875,0.100675
BP-change sampling,VitalDB,5,381,22690,10.330490,5.966187,8.148338,0.071370
Median anchor,VitalDB,1,381,22690,11.419359,6.712664,9.066011,0.025443
Median anchor,VitalDB,2,381,22690,10.873710,6.422326,8.648018,0.076300
Median anchor,VitalDB,3,381,22690,10.814227,6.349362,8.581794,0.222594
Median anchor,VitalDB,5,381,22690,10.625637,6.054624,8.340130,0.263162
PPG quality gate,VitalDB,1,381,22690,11.259088,6.605795,8.932441,-0.108127
PPG quality gate,VitalDB,2,381,22690,10.826014,6.305029,8.565522,-0.006197
PPG quality gate,VitalDB,3,381,22690,10.573351,6.116507,8.344929,-0.014271
PPG quality gate,VitalDB,5,381,22690,10.241076,5.894944,8.068010,-0.008958
