Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Fixed-first M0 (K=1),SBP,11.424397,0.399537,-1.152212,14.787622,28.854121,53.781401,71.815778,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=1),DBP,6.683042,0.441918,-0.875557,8.806249,47.122080,77.311591,91.908330,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=2),SBP,10.769308,0.459514,-1.053976,14.032674,30.850595,56.751873,74.411635,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=2),DBP,6.331751,0.496956,-0.771403,8.366482,49.144998,80.039665,93.406787,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=3),SBP,10.568980,0.473631,-1.029508,13.848991,31.771706,57.708242,75.332746,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=3),DBP,6.117555,0.526744,-0.751543,8.114677,50.581754,81.494050,94.173645,FAIL*,PASS (Grade B)*
Fixed-first M0 (K=5),SBP,10.303394,0.496929,-1.166895,13.526157,32.895549,58.735126,76.566770,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=5),DBP,5.907280,0.551387,-0.871067,7.886441,52.503305,82.842662,94.746584,PASS*,PASS (Grade B)*
Huber (K=1),SBP,11.338217,0.400989,-1.324739,14.755149,29.497576,54.244160,72.260908,FAIL*,FAIL (Grade D)*
Huber (K=1),DBP,6.608520,0.451184,-0.272463,8.771667,47.549581,77.928603,92.040546,FAIL*,FAIL (Grade C)*
Huber (K=2),SBP,10.842263,0.449101,-1.020695,14.170401,30.696342,56.267078,74.217717,FAIL*,FAIL (Grade D)*
Huber (K=2),DBP,6.246528,0.507565,-0.228059,8.309771,50.017629,80.458352,93.481710,FAIL*,PASS (Grade B)*
Huber (K=3),SBP,10.637391,0.464520,-0.945277,13.974944,31.599824,57.104451,75.028647,FAIL*,FAIL (Grade D)*
Huber (K=3),DBP,6.064358,0.532658,-0.226728,8.095156,51.436756,81.599824,94.094315,FAIL*,PASS (Grade B)*
Huber (K=5),SBP,10.376245,0.489074,-1.061371,13.640742,32.820626,58.417805,75.967387,FAIL*,FAIL (Grade D)*
Huber (K=5),DBP,5.884101,0.554192,-0.351116,7.901753,53.252534,82.578228,94.680476,PASS*,PASS (Grade B)*
BP-change sampling (K=1),SBP,11.434722,0.398514,-0.856296,14.820364,28.554429,53.547818,71.842221,FAIL*,FAIL (Grade D)*
BP-change sampling (K=1),DBP,6.914988,0.397051,-1.700731,9.039928,46.148083,76.196562,90.564125,FAIL*,FAIL (Grade C)*
BP-change sampling (K=2),SBP,10.869463,0.452930,-0.949083,14.125808,30.520053,55.676509,73.680035,FAIL*,FAIL (Grade D)*
BP-change sampling (K=2),DBP,6.501188,0.464972,-1.587727,8.518247,48.550022,79.092111,92.388717,FAIL*,FAIL (Grade C)*
BP-change sampling (K=3),SBP,10.657472,0.467431,-0.922855,13.938233,31.286911,56.870868,74.698105,FAIL*,FAIL (Grade D)*
BP-change sampling (K=3),DBP,6.268078,0.499257,-1.602996,8.228034,49.836933,80.683120,93.208462,FAIL*,FAIL (Grade C)*
BP-change sampling (K=5),SBP,10.356340,0.493698,-0.990152,13.583875,32.371089,58.285588,76.306743,FAIL*,FAIL (Grade D)*
