setting,source_scope,cohort,participants,queries,participant_macro_sbp_mae,participant_macro_dbp_mae,participant_macro_mean_mae,tail_membership_from_setting,selection_rule,oracle_only,deployable
reference,Overall,overall,697,103564,11.211810055262978,6.353101988585788,8.782456021924384,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
reference,Overall,worst_30pct_subjects,210,39305,17.690644027044762,9.737837676069086,13.714240851556923,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,Overall,oracle_retained_70pct_subjects,487,64259,8.418062346691777,4.893565039157674,6.655813692924726,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,MIMIC,overall,316,80874,12.355384525637968,6.910734873179951,9.63305969940896,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
reference,MIMIC,worst_30pct_subjects,121,33906,18.388281812695574,10.29267195946895,14.340476886082266,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,MIMIC,oracle_retained_70pct_subjects,195,46968,8.611894414181709,4.812199552969855,6.712046983575782,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,VitalDB,overall,381,22690,10.263333591644876,5.8906033231481105,8.076968457396493,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
reference,VitalDB,worst_30pct_subjects,89,5399,16.742170183631856,8.98351241436814,12.862841298999998,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
reference,VitalDB,oracle_retained_70pct_subjects,292,17291,8.288619698881721,4.94790157959132,6.61826063923652,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,Overall,overall,697,103564,11.268099523918536,6.24331067079116,8.755705097354848,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber,Overall,worst_30pct_subjects,210,39305,17.60791652697029,9.439582641483302,13.523749584226795,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,Overall,oracle_retained_70pct_subjects,487,64259,8.53429753081614,4.865041443182639,6.699669486999389,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,MIMIC,overall,316,80874,12.374581357317984,6.700273766287642,9.537427561802811,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber,MIMIC,worst_30pct_subjects,121,33906,18.125101527386256,9.802591812054821,13.963846669720535,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,MIMIC,oracle_retained_70pct_subjects,195,46968,8.80630986717306,4.775245645580829,6.790777756376944,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,VitalDB,overall,381,22690,10.350387557109547,5.864307158515862,8.107347357812705,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber,VitalDB,worst_30pct_subjects,89,5399,16.90477736910139,8.946053319695057,12.925415344398223,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,VitalDB,oracle_retained_70pct_subjects,292,17291,8.352645456879157,4.9250078148687795,6.638826635873968,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,Overall,overall,697,103564,11.190716663289612,6.226960176802298,8.708838420045954,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber + CVaR,Overall,worst_30pct_subjects,210,39305,17.358312156100908,9.487686608657656,13.422999382379283,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,Overall,oracle_retained_70pct_subjects,487,64259,8.531178565773446,4.820897444380069,6.676038005076758,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,MIMIC,overall,316,80874,12.300010020819366,6.661900210174381,9.480955115496874,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber + CVaR,MIMIC,worst_30pct_subjects,121,33906,18.011547037358095,9.902754740622175,13.957150888990139,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,MIMIC,oracle_retained_70pct_subjects,195,46968,8.75592807722354,4.6509084246144665,6.703418250919003,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,VitalDB,overall,381,22690,10.270672828698002,5.866222511328339,8.06844767001317,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",False,True
Huber + CVaR,VitalDB,worst_30pct_subjects,89,5399,16.47020630630181,8.923380496660945,12.69679340148138,reference,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
