Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Fixed-first M0 (K=1),SBP,13.098017,0.439669,-2.505264,16.737518,25.338180,47.948661,65.563716,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=1),DBP,7.722810,0.391189,-1.215656,10.464049,43.127581,72.703217,87.759972,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=2),SBP,12.838856,0.456826,-2.120428,16.527399,26.123352,49.197517,66.528180,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=2),DBP,7.600143,0.401214,-1.160835,10.382642,44.251552,73.535376,87.819324,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=3),SBP,12.743022,0.465766,-2.209931,16.376730,26.144373,49.327349,66.876870,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=3),DBP,7.546053,0.405682,-1.168871,10.342437,44.732547,74.069540,88.025818,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=5),SBP,12.594958,0.474906,-2.269437,16.225256,26.819497,49.881297,67.420926,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=5),DBP,7.387604,0.422747,-1.126949,10.195671,45.762544,74.958578,88.751638,FAIL*,FAIL (Grade C)*
Huber (K=1),SBP,12.921003,0.447984,-0.984604,16.769051,26.223508,48.998442,66.442862,FAIL*,FAIL (Grade D)*
Huber (K=1),DBP,7.366119,0.435093,-0.584639,10.130626,45.130697,74.701387,89.059525,FAIL*,FAIL (Grade C)*
Huber (K=2),SBP,12.770627,0.460108,-0.598277,16.601663,26.087494,49.652546,67.178574,FAIL*,FAIL (Grade D)*
Huber (K=2),DBP,7.302140,0.440092,-0.519958,10.089094,45.873828,75.135396,88.944531,FAIL*,FAIL (Grade C)*
Huber (K=3),SBP,12.644085,0.472625,-0.582638,16.408400,26.160447,49.861513,67.543339,FAIL*,FAIL (Grade D)*
Huber (K=3),DBP,7.248423,0.447355,-0.479206,10.025296,46.147093,75.751168,89.134951,FAIL*,FAIL (Grade C)*
Huber (K=5),SBP,12.479523,0.481813,-0.675991,16.261044,26.826916,50.489651,68.147983,FAIL*,FAIL (Grade D)*
Huber (K=5),DBP,7.129468,0.457938,-0.447897,9.930082,47.304449,76.401563,89.499716,FAIL*,FAIL (Grade C)*
PPG quality gate (K=1),SBP,12.731505,0.466437,-1.831301,16.412944,26.459678,49.643890,66.801444,FAIL*,FAIL (Grade D)*
PPG quality gate (K=1),DBP,7.572434,0.425234,-0.392375,10.228121,42.829587,73.485916,88.806044,FAIL*,FAIL (Grade C)*
PPG quality gate (K=2),SBP,12.402399,0.490755,-1.429038,16.070648,27.337587,50.801246,68.077503,FAIL*,FAIL (Grade D)*
PPG quality gate (K=2),DBP,7.387893,0.446881,-0.341047,10.035250,43.927591,74.761975,89.363702,FAIL*,FAIL (Grade C)*
PPG quality gate (K=3),SBP,12.327310,0.498551,-1.506143,15.939083,27.068032,50.927368,68.370552,FAIL*,FAIL (Grade D)*
PPG quality gate (K=3),DBP,7.338749,0.450985,-0.279276,9.999828,44.277518,75.150234,89.517026,FAIL*,FAIL (Grade C)*
PPG quality gate (K=5),SBP,12.162827,0.508208,-1.605784,15.773637,27.702352,51.551797,68.956649,FAIL*,FAIL (Grade D)*
PPG quality gate (K=5),DBP,7.196661,0.464473,-0.291988,9.875759,45.641368,75.882237,89.811311,FAIL*,FAIL (Grade C)*
Participant CVaR (K=1),SBP,12.979449,0.451026,-0.721327,16.736056,25.364147,48.322081,66.063259,FAIL*,FAIL (Grade D)*
Participant CVaR (K=1),DBP,7.417624,0.432167,-0.354282,10.167554,44.976136,74.157331,88.955659,FAIL*,FAIL (Grade C)*
Participant CVaR (K=2),SBP,12.828927,0.460192,-0.531048,16.602663,25.680688,48.914361,66.818755,FAIL*,FAIL (Grade D)*
Participant CVaR (K=2),DBP,7.339771,0.437064,-0.365170,10.123174,45.972748,74.708806,88.896308,FAIL*,FAIL (Grade C)*
Participant CVaR (K=3),SBP,12.751516,0.467298,-0.640937,16.488998,25.596607,49.156713,67.087074,FAIL*,FAIL (Grade D)*
