candidate_setting,source_scope,participants,queries,tail_participants_routed_to_candidate,retained_participants_routed_to_reference,participant_macro_sbp_mae,participant_macro_dbp_mae,participant_macro_mean_mae,reference_mean_mae,delta_mean_mae_vs_reference,improvement_vs_reference_mean_mae,routing_policy,selection_rule,oracle_only,deployable
Huber,Overall,697,103564,210,487,11.186884983504527,6.2632403569315365,8.725062670218032,8.782456021924384,-0.05739335170635229,0.05739335170635229,reference on oracle_retained_70pct_subjects; Huber on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,MIMIC,316,80874,121,195,12.254609796136615,6.723077601543528,9.488843698840071,9.63305969940896,-0.14421600056888906,0.14421600056888906,reference on oracle_retained_70pct_subjects; Huber on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber,VitalDB,381,22690,89,292,10.301317947305737,5.8818530359410115,8.091585491623375,8.076968457396493,0.014617034226882097,-0.014617034226882097,reference on oracle_retained_70pct_subjects; Huber on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,Overall,697,103564,210,487,11.111681371047471,6.277733661245186,8.694707516146329,8.782456021924384,-0.08774850577805537,0.08774850577805537,reference on oracle_retained_70pct_subjects; Huber + CVaR on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,MIMIC,316,80874,121,195,12.211128488246084,6.761431127988625,9.486279808117354,9.63305969940896,-0.1467798912916063,0.1467798912916063,reference on oracle_retained_70pct_subjects; Huber + CVaR on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Huber + CVaR,VitalDB,381,22690,89,292,10.199803972006098,5.876556759694198,8.038180365850147,8.076968457396493,-0.03878809154634588,0.03878809154634588,reference on oracle_retained_70pct_subjects; Huber + CVaR on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,Overall,697,103564,210,487,10.885886625219223,6.201138873592838,8.543512749406032,8.782456021924384,-0.2389432725183518,0.2389432725183518,reference on oracle_retained_70pct_subjects; PPG quality gate on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,MIMIC,316,80874,121,195,11.752012554686223,6.595340901211218,9.173676727948719,9.63305969940896,-0.45938297146024176,0.45938297146024176,reference on oracle_retained_70pct_subjects; PPG quality gate on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
PPG quality gate,VitalDB,381,22690,89,292,10.167524961934259,5.8741891603975445,8.0208570611659,8.076968457396493,-0.0561113962305928,0.0561113962305928,reference on oracle_retained_70pct_subjects; PPG quality gate on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
Participant CVaR,Overall,697,103564,210,487,11.123367534271921,6.278478813363612,8.700923173817767,8.782456021924384,-0.0815328481066171,0.0815328481066171,reference on oracle_retained_70pct_subjects; Participant CVaR on worst_30pct_subjects,"reference participant mean MAE descending, subject_uid ascending; first ceil(0.3 * N) participants",True,False
