Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Fixed-first M0 (K=1),SBP,12.731341,0.439046,-2.208821,16.339760,26.108493,49.226565,66.933490,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=1),DBP,7.495005,0.401044,-1.141143,10.125025,44.002742,73.712873,88.668842,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=2),SBP,12.385435,0.463110,-1.886777,16.020116,27.159051,50.852613,68.255378,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=2),DBP,7.322249,0.419039,-1.075513,9.977099,45.323665,74.960411,89.043490,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=3),SBP,12.266708,0.472811,-1.951311,15.864882,27.377274,51.163532,68.729481,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=3),DBP,7.233081,0.427992,-1.077438,9.898811,46.014059,75.696188,89.372755,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=5),SBP,12.092896,0.484198,-2.027880,15.680289,28.150709,51.821096,69.424704,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=5),DBP,7.063277,0.446377,-1.070888,9.737242,47.239388,76.685914,90.065081,FAIL*,FAIL (Grade C)*
Huber (K=1),SBP,12.574228,0.446135,-1.059125,16.349595,26.940829,50.147735,67.717547,FAIL*,FAIL (Grade D)*
Huber (K=1),DBP,7.200135,0.438742,-0.516244,9.849749,45.660654,75.408443,89.712641,FAIL*,FAIL (Grade C)*
Huber (K=2),SBP,12.348139,0.464089,-0.690825,16.101314,27.097254,51.101734,68.720791,FAIL*,FAIL (Grade D)*
Huber (K=2),DBP,7.070864,0.452848,-0.456006,9.727854,46.781700,76.301611,89.938589,FAIL*,FAIL (Grade C)*
Huber (K=3),SBP,12.204435,0.476952,-0.662089,15.907771,27.352169,51.448380,69.183307,FAIL*,FAIL (Grade D)*
Huber (K=3),DBP,6.989004,0.463264,-0.423890,9.636079,47.306014,77.032560,90.221506,FAIL*,FAIL (Grade C)*
Huber (K=5),SBP,12.018713,0.488586,-0.760425,15.725101,28.140087,52.226642,69.861149,FAIL*,FAIL (Grade D)*
Huber (K=5),DBP,6.856619,0.475774,-0.426693,9.522771,48.607624,77.754818,90.634777,FAIL*,FAIL (Grade C)*
