Comparison,Candidate,Reference,Scope,K,N participants,mean_delta_mmHg,ci95_low_mmHg,ci95_high_mmHg,bootstrap_standard_error_mmHg,paired_difference_sd_mmHg,paired_standardized_effect,bootstrap_fraction_improved
Huber vs M0,Huber,Fixed-first M0,Overall,1,697,-0.118284,-0.212312,-0.026863,0.047420,1.246783,-0.094871,0.994000
Huber vs M0,Huber,Fixed-first M0,Overall,2,697,-0.051796,-0.133412,0.029505,0.041708,1.112843,-0.046544,0.891500
Huber vs M0,Huber,Fixed-first M0,Overall,3,697,-0.037806,-0.123154,0.045237,0.043001,1.136176,-0.033275,0.812800
Huber vs M0,Huber,Fixed-first M0,Overall,5,697,-0.026751,-0.108800,0.054602,0.041619,1.103960,-0.024232,0.739000
Huber vs M0,Huber,Fixed-first M0,Overall,All K,697,-0.058659,-0.139323,0.020073,0.040517,1.074247,-0.054605,0.926950
Huber vs M0,Huber,Fixed-first M0,MIMIC,1,316,-0.124713,-0.285861,0.037677,0.083044,1.477202,-0.084425,0.931500
Huber vs M0,Huber,Fixed-first M0,MIMIC,2,316,-0.104374,-0.263933,0.048248,0.079522,1.405114,-0.074282,0.904650
Huber vs M0,Huber,Fixed-first M0,MIMIC,3,316,-0.104335,-0.269433,0.053740,0.082301,1.458648,-0.071529,0.900600
Huber vs M0,Huber,Fixed-first M0,MIMIC,5,316,-0.095632,-0.261380,0.063453,0.082432,1.465124,-0.065272,0.876950
Huber vs M0,Huber,Fixed-first M0,MIMIC,All K,316,-0.107264,-0.261816,0.044367,0.077653,1.387213,-0.077323,0.919400
Huber vs M0,Huber,Fixed-first M0,VitalDB,1,381,-0.112952,-0.218062,-0.013874,0.052364,1.018921,-0.110855,0.986950
Huber vs M0,Huber,Fixed-first M0,VitalDB,2,381,-0.008189,-0.089195,0.070584,0.040650,0.792104,-0.010338,0.575900
Huber vs M0,Huber,Fixed-first M0,VitalDB,3,381,0.017372,-0.060399,0.094479,0.039548,0.770669,0.022542,0.334300
Huber vs M0,Huber,Fixed-first M0,VitalDB,5,381,0.030379,-0.037952,0.096284,0.034099,0.667510,0.045511,0.187300
Huber vs M0,Huber,Fixed-first M0,VitalDB,All K,381,-0.018347,-0.090258,0.052656,0.036620,0.717542,-0.025570,0.689250
Quality gate vs M0,PPG quality gate,Fixed-first M0,Overall,1,697,-0.173061,-0.286625,-0.065771,0.056634,1.501156,-0.115285,0.998950
Quality gate vs M0,PPG quality gate,Fixed-first M0,Overall,2,697,-0.153812,-0.264510,-0.046732,0.055820,1.476052,-0.104205,0.998300
Quality gate vs M0,PPG quality gate,Fixed-first M0,Overall,3,697,-0.178172,-0.291672,-0.071288,0.056385,1.473812,-0.120892,0.999900
Quality gate vs M0,PPG quality gate,Fixed-first M0,Overall,5,697,-0.195329,-0.312154,-0.088953,0.057089,1.496532,-0.130521,0.999750
Quality gate vs M0,PPG quality gate,Fixed-first M0,Overall,All K,697,-0.175094,-0.280942,-0.075278,0.052419,1.397537,-0.125287,0.999850
Quality gate vs M0,PPG quality gate,Fixed-first M0,MIMIC,1,316,-0.251353,-0.433875,-0.076606,0.091070,1.610930,-0.156030,0.997950
Quality gate vs M0,PPG quality gate,Fixed-first M0,MIMIC,2,316,-0.331791,-0.529721,-0.147614,0.098134,1.750793,-0.189509,0.999750
Quality gate vs M0,PPG quality gate,Fixed-first M0,MIMIC,3,316,-0.375786,-0.584192,-0.179441,0.103063,1.826614,-0.205728,0.999950
