Setting,Scope,K,N participants,N query events,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE,Paired delta vs reference
Fixed-first M0,Overall,1,697,103564,12.134562,6.982965,9.558764,0.000000
Fixed-first M0,Overall,2,697,103564,11.670938,6.706520,9.188729,0.000000
Fixed-first M0,Overall,3,697,103564,11.488616,6.548150,9.018383,0.000000
Fixed-first M0,Overall,5,697,103564,11.211810,6.353102,8.782456,0.000000
Huber,Overall,1,697,103564,12.065381,6.815578,9.440479,-0.118284
Huber,Overall,2,697,103564,11.727407,6.546459,9.136933,-0.051796
Huber,Overall,3,697,103564,11.548759,6.412393,8.980576,-0.037806
Huber,Overall,5,697,103564,11.268100,6.243311,8.755705,-0.026751
PPG quality gate,Overall,1,697,103564,11.891137,6.880268,9.385702,-0.173061
PPG quality gate,Overall,2,697,103564,11.473443,6.596391,9.034917,-0.153812
PPG quality gate,Overall,3,697,103564,11.232023,6.448399,8.840211,-0.178172
PPG quality gate,Overall,5,697,103564,10.909840,6.264414,8.587127,-0.195329
Participant CVaR,Overall,1,697,103564,12.252581,6.981573,9.617077,0.058313
Participant CVaR,Overall,2,697,103564,11.765964,6.665304,9.215634,0.026905
Participant CVaR,Overall,3,697,103564,11.551303,6.482740,9.017022,-0.001361
Participant CVaR,Overall,5,697,103564,11.246870,6.278689,8.762780,-0.019676
Quality gate + Huber,Overall,1,697,103564,11.857622,6.843043,9.350333,-0.208431
Quality gate + Huber,Overall,2,697,103564,11.389884,6.528895,8.959389,-0.229340
Quality gate + Huber,Overall,3,697,103564,11.151529,6.360528,8.756028,-0.262354
Quality gate + Huber,Overall,5,697,103564,10.802518,6.167703,8.485111,-0.297345
Quality gate + CVaR,Overall,1,697,103564,11.773553,6.997837,9.385695,-0.173068
Quality gate + CVaR,Overall,2,697,103564,11.421896,6.692531,9.057213,-0.131516
Quality gate + CVaR,Overall,3,697,103564,11.205680,6.535860,8.870770,-0.147612
Quality gate + CVaR,Overall,5,697,103564,10.914351,6.345233,8.629792,-0.152664
Huber + CVaR,Overall,1,697,103564,12.191297,6.934792,9.563045,0.004281
Huber + CVaR,Overall,2,697,103564,11.733835,6.615041,9.174438,-0.014291
Huber + CVaR,Overall,3,697,103564,11.513523,6.425599,8.969561,-0.048822
Huber + CVaR,Overall,5,697,103564,11.190717,6.226960,8.708838,-0.073618
Quality gate + Huber + CVaR,Overall,1,697,103564,11.773443,6.900391,9.336917,-0.221847
Quality gate + Huber + CVaR,Overall,2,697,103564,11.412064,6.569506,8.990785,-0.197944
Quality gate + Huber + CVaR,Overall,3,697,103564,11.188805,6.391507,8.790156,-0.228226
Quality gate + Huber + CVaR,Overall,5,697,103564,10.865350,6.178519,8.521934,-0.260522
Fixed-first M0,MIMIC,1,316,80874,13.038616,7.328483,10.183550,0.000000
Fixed-first M0,MIMIC,2,316,80874,12.744271,7.121042,9.932657,0.000000
Fixed-first M0,MIMIC,3,316,80874,12.590580,7.035732,9.813156,0.000000
Fixed-first M0,MIMIC,5,316,80874,12.355385,6.910735,9.633060,0.000000
Huber,MIMIC,1,316,80874,13.010951,7.106722,10.058837,-0.124713
Huber,MIMIC,2,316,80874,12.759482,6.897083,9.828282,-0.104374
Huber,MIMIC,3,316,80874,12.605258,6.812384,9.708821,-0.104335
Huber,MIMIC,5,316,80874,12.374581,6.700274,9.537428,-0.095632
PPG quality gate,MIMIC,1,316,80874,12.653196,7.211199,9.932197,-0.251353
PPG quality gate,MIMIC,2,316,80874,12.254047,6.947684,9.600865,-0.331791
PPG quality gate,MIMIC,3,316,80874,12.026181,6.848559,9.437370,-0.375786
PPG quality gate,MIMIC,5,316,80874,11.716166,6.709883,9.213024,-0.420035
Participant CVaR,MIMIC,1,316,80874,13.034991,7.147261,10.091126,-0.092424
Participant CVaR,MIMIC,2,316,80874,12.764107,6.971905,9.868006,-0.064650
Participant CVaR,MIMIC,3,316,80874,12.627074,6.882928,9.755001,-0.058155
Participant CVaR,MIMIC,5,316,80874,12.394845,6.765312,9.580078,-0.052981
Quality gate + Huber,MIMIC,1,316,80874,12.526415,7.108401,9.817408,-0.366142
Quality gate + Huber,MIMIC,2,316,80874,12.105840,6.842629,9.474234,-0.458422
Quality gate + Huber,MIMIC,3,316,80874,11.900738,6.718805,9.309772,-0.503385
Quality gate + Huber,MIMIC,5,316,80874,11.576425,6.573291,9.074858,-0.558201
Quality gate + CVaR,MIMIC,1,316,80874,12.520716,7.333039,9.926878,-0.256672
Quality gate + CVaR,MIMIC,2,316,80874,12.160217,7.108215,9.634216,-0.298441
Quality gate + CVaR,MIMIC,3,316,80874,11.949936,7.017836,9.483886,-0.329270
Quality gate + CVaR,MIMIC,5,316,80874,11.652464,6.888186,9.270325,-0.362734
Huber + CVaR,MIMIC,1,316,80874,12.968599,7.050558,10.009578,-0.173971
Huber + CVaR,MIMIC,2,316,80874,12.711145,6.876330,9.793738,-0.138919
Huber + CVaR,MIMIC,3,316,80874,12.563331,6.776627,9.669979,-0.143177
Huber + CVaR,MIMIC,5,316,80874,12.300010,6.661900,9.480955,-0.152105
Quality gate + Huber + CVaR,MIMIC,1,316,80874,12.499911,7.108841,9.804376,-0.379174
Quality gate + Huber + CVaR,MIMIC,2,316,80874,12.120190,6.859609,9.489899,-0.442757
Quality gate + Huber + CVaR,MIMIC,3,316,80874,11.919909,6.742853,9.331381,-0.481775
Quality gate + Huber + CVaR,MIMIC,5,316,80874,11.592627,6.581221,9.086924,-0.546136
