Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Fixed-first M0 (K=1),SBP,11.424397,0.399537,-1.152212,14.787622,28.854121,53.781401,71.815778,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=1),DBP,6.683042,0.441918,-0.875557,8.806249,47.122080,77.311591,91.908330,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=2),SBP,10.769308,0.459514,-1.053976,14.032674,30.850595,56.751873,74.411635,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=2),DBP,6.331751,0.496956,-0.771403,8.366482,49.144998,80.039665,93.406787,FAIL*,FAIL (Grade C)*
Fixed-first M0 (K=3),SBP,10.568980,0.473631,-1.029508,13.848991,31.771706,57.708242,75.332746,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=3),DBP,6.117555,0.526744,-0.751543,8.114677,50.581754,81.494050,94.173645,FAIL*,PASS (Grade B)*
Fixed-first M0 (K=5),SBP,10.303394,0.496929,-1.166895,13.526157,32.895549,58.735126,76.566770,FAIL*,FAIL (Grade D)*
Fixed-first M0 (K=5),DBP,5.907280,0.551387,-0.871067,7.886441,52.503305,82.842662,94.746584,PASS*,PASS (Grade B)*
Huber (K=1),SBP,11.338217,0.400989,-1.324739,14.755149,29.497576,54.244160,72.260908,FAIL*,FAIL (Grade D)*
Huber (K=1),DBP,6.608520,0.451184,-0.272463,8.771667,47.549581,77.928603,92.040546,FAIL*,FAIL (Grade C)*
Huber (K=2),SBP,10.842263,0.449101,-1.020695,14.170401,30.696342,56.267078,74.217717,FAIL*,FAIL (Grade D)*
Huber (K=2),DBP,6.246528,0.507565,-0.228059,8.309771,50.017629,80.458352,93.481710,FAIL*,PASS (Grade B)*
Huber (K=3),SBP,10.637391,0.464520,-0.945277,13.974944,31.599824,57.104451,75.028647,FAIL*,FAIL (Grade D)*
Huber (K=3),DBP,6.064358,0.532658,-0.226728,8.095156,51.436756,81.599824,94.094315,FAIL*,PASS (Grade B)*
Huber (K=5),SBP,10.376245,0.489074,-1.061371,13.640742,32.820626,58.417805,75.967387,FAIL*,FAIL (Grade D)*
Huber (K=5),DBP,5.884101,0.554192,-0.351116,7.901753,53.252534,82.578228,94.680476,PASS*,PASS (Grade B)*
PPG quality gate (K=1),SBP,11.207262,0.421403,-0.042359,14.559819,29.228735,54.380784,72.869105,FAIL*,FAIL (Grade D)*
PPG quality gate (K=1),DBP,6.626141,0.450492,0.228142,8.778462,47.426179,78.294403,92.115469,FAIL*,FAIL (Grade C)*
PPG quality gate (K=2),SBP,10.734176,0.470445,0.020767,13.929162,30.396651,55.923314,74.548259,FAIL*,FAIL (Grade D)*
PPG quality gate (K=2),DBP,6.297954,0.504277,0.157443,8.339122,49.122962,80.295284,93.499339,FAIL*,FAIL (Grade C)*
PPG quality gate (K=3),SBP,10.530052,0.486225,0.126691,13.719482,31.370648,56.976642,75.566329,FAIL*,FAIL (Grade D)*
PPG quality gate (K=3),DBP,6.113391,0.528537,0.111231,8.133193,50.855002,81.608638,94.006170,FAIL*,PASS (Grade B)*
PPG quality gate (K=5),SBP,10.256343,0.506837,0.098078,13.441671,32.415161,58.527986,76.826796,FAIL*,FAIL (Grade D)*
