setting,scope,participants,queries,sbp_mae,dbp_mae,mean_mae,worst_30_mean_mae,retained_70_mean_mae
General QGate + Huber,Overall,697,103564,10.802518180328637,6.167703465500952,8.485110822914796,13.059623567782685,6.512528325127819
General QGate + Huber,MIMIC,316,80874,11.576425273088962,6.573291408916327,9.074858341002646,14.121839379539447,6.905341604980037
General QGate + Huber,VitalDB,381,22690,10.16064248134632,5.83131031558164,7.995976398463981,12.014983603944001,6.258435689327881
QGHuber-weight2 standalone,Overall,697,103564,10.775991877927845,6.1560733803674,8.466032629147623,13.138703773414983,6.451123100818783
QGHuber-weight2 standalone,MIMIC,316,80874,11.499630791753988,6.519879239664807,9.009755015709398,14.15265830711576,6.799004732073178
QGHuber-weight2 standalone,VitalDB,381,22690,10.17580842184107,5.854334137485561,8.015071279663317,12.140067695830814,6.231708167410451
QGHuber-weight2 | event hard route,Overall,697,103564,10.778772471637266,6.1840467877150065,8.481409629676136,13.058699439230287,6.507629629663053
QGHuber-weight2 | event hard route,MIMIC,316,80874,11.508668560595178,6.591676288565855,9.050172424580516,14.041571812969421,6.904548253101124
QGHuber-weight2 | event hard route,VitalDB,381,22690,10.173399337488448,5.845960377560495,8.009679857524471,12.043585276313253,6.265698191506765
QGHuber-weight2 | participant threshold route,Overall,697,103564,10.775930276234593,6.190514212696499,8.483222244465546,13.10832180086328,6.488826131850507
QGHuber-weight2 | participant threshold route,MIMIC,316,80874,11.551592979699532,6.613102630328849,9.08234780501419,14.185476041646973,6.888695395601908
QGHuber-weight2 | participant threshold route,VitalDB,381,22690,10.132598480184932,5.840020931930559,7.986309706057746,11.993182810757174,6.254014942747844
QGHuber-weight2 | participant top30 route,Overall,697,103564,10.758720081182306,6.193764105074568,8.476242093128436,13.074489345866802,6.493425002625242
QGHuber-weight2 | participant top30 route,MIMIC,316,80874,11.527198027208355,6.614366617779533,9.070782322493944,14.11747184090715,6.901390900551615
QGHuber-weight2 | participant top30 route,VitalDB,381,22690,10.121347296551775,5.844917926558118,7.983132611554947,12.005562870756346,6.244112010772386
QGHuber-weight2 | oracle true-tail route,Overall,697,103564,10.71920561483312,6.1485310331426675,8.433868323987895,13.04500410214618,6.445493553118818
QGHuber-weight2 | oracle true-tail route,MIMIC,316,80874,11.44394440011649,6.547764672536998,8.995854536326743,14.011756210698234,6.839697707977009
QGHuber-weight2 | oracle true-tail route,VitalDB,381,22690,10.118109929401246,5.817408119629258,7.967759024515253,12.050141695740772,6.202819147857604
QGHuber-weight2 | event soft fusion,Overall,697,103564,10.717082957324475,6.130818024617173,8.423950490970824,12.990993744731819,6.454588923640621
QGHuber-weight2 | event soft fusion,MIMIC,316,80874,11.456610414554182,6.514894339793559,8.98575237717387,13.982310502360821,6.83791064915233
QGHuber-weight2 | event soft fusion,VitalDB,381,22690,10.103721601721885,5.812266540113924,7.957994070917905,11.981875687818645,6.218346003460817
QGHuber-weight4 standalone,Overall,697,103564,11.013647853461977,6.174440388679288,8.594044121070631,13.21706681955759,6.600543573468452
QGHuber-weight4 standalone,MIMIC,316,80874,11.873020181294029,6.5439899169601485,9.208505049127089,14.224813963910686,7.052173162681653
QGHuber-weight4 standalone,VitalDB,381,22690,10.300887602556651,5.867937367847916,8.084412485202284,12.19006948318721,6.309410399607296
QGHuber-weight4 | event hard route,Overall,697,103564,10.809527178279833,6.1931380132562355,8.501332595768035,13.039102270817754,6.544594132194234
QGHuber-weight4 | event hard route,MIMIC,316,80874,11.578996186907569,6.604398943522903,9.091697565215238,14.026846942913263,6.9702532625848646
QGHuber-weight4 | event hard route,VitalDB,381,22690,10.171332409969166,5.852039708888082,8.011686059428625,11.996616185698489,6.288877922131503
QGHuber-weight4 | participant threshold route,Overall,697,103564,10.832996792448716,6.191100293168984,8.51204854280885,13.094115284011094,6.536208674939298
QGHuber-weight4 | participant threshold route,MIMIC,316,80874,11.669117404015148,6.6292881827065715,9.149202793360862,14.186685245856228,6.9837691599352505
QGHuber-weight4 | participant threshold route,VitalDB,381,22690,10.13952142957472,5.827668867725731,7.983595148650227,11.94875643820763,6.2693336888791675
QGHuber-weight4 | participant top30 route,Overall,697,103564,10.815574730061913,6.200597608895668,8.50808616947879,13.063601886459308,6.543695408563168
QGHuber-weight4 | participant top30 route,MIMIC,316,80874,11.619900688853322,6.632211262486777,9.126055975670052,14.104312857123151,6.986081298122339
QGHuber-weight4 | participant top30 route,VitalDB,381,22690,10.148469735368778,5.84261883058913,7.995544282978953,11.96795451856481,6.278148880376047
QGHuber-weight4 | oracle true-tail route,Overall,697,103564,10.748969190301914,6.14848114332733,8.448725166814622,13.04231260192205,6.467917443257001
QGHuber-weight4 | oracle true-tail route,MIMIC,316,80874,11.451795490987234,6.530070820617989,8.990933155802612,13.96931129014063,6.8509063559740495
QGHuber-weight4 | oracle true-tail route,VitalDB,381,22690,10.166047639077343,5.8319920671492484,7.999019853113296,12.10589322192312,6.223491892913562
QGHuber-weight4 | event soft fusion,Overall,697,103564,10.772742273864246,6.128511954832099,8.450627114348173,12.988206536487558,6.493970690017021
QGHuber-weight4 | event soft fusion,MIMIC,316,80874,11.530102190392576,6.516509406470887,9.023305798431732,13.970783187804347,6.896562124267033
QGHuber-weight4 | event soft fusion,VitalDB,381,22690,10.144590742045475,5.806708294155312,7.975649518100393,11.985627717202773,6.24201232675914
QGHuber-hard-only standalone,Overall,697,103564,11.76957463874384,6.499102414807436,9.134338526775638,13.882737078244022,7.08677446967428
QGHuber-hard-only standalone,MIMIC,316,80874,12.563702710426783,6.8855717193540915,9.72463721489044,14.903427615257131,7.498460345954528
QGHuber-hard-only standalone,VitalDB,381,22690,11.110927734145914,6.17856619371362,8.644746963929768,12.907562149388884,6.801800549163607
QGHuber-hard-only | event hard route,Overall,697,103564,10.944652982007167,6.237823093364932,8.59123803768605,13.23686749749339,6.587989194647975
QGHuber-hard-only | event hard route,MIMIC,316,80874,11.722693493610127,6.624788376391249,9.173740935000687,14.224927701393502,7.002416306913279
QGHuber-hard-only | event hard route,VitalDB,381,22690,10.299349040625184,5.916875509542582,8.108112275083883,12.2307786086573,6.3257565293660525
QGHuber-hard-only | participant threshold route,Overall,697,103564,11.064871043307912,6.273125606932913,8.66899832512041,13.43995866107966,6.611705367109237
QGHuber-hard-only | participant threshold route,MIMIC,316,80874,11.907526849705524,6.687616170682599,9.29757151019406,14.579660197024081,7.026990400470749
QGHuber-hard-only | participant threshold route,VitalDB,381,22690,10.365975413854773,5.929348656421361,8.147662035138067,12.296578283395377,6.353957642094492
QGHuber-hard-only | participant top30 route,Overall,697,103564,11.055564164382652,6.278343879785935,8.666954022084294,13.3788056032708,6.635149438821117
QGHuber-hard-only | participant top30 route,MIMIC,316,80874,11.83380834120475,6.67014159403749,9.251974967621122,14.465962058157844,7.010668299743342
QGHuber-hard-only | participant top30 route,VitalDB,381,22690,10.410091303816293,5.953388295262336,8.181739799539315,12.298368925438163,6.40199412480861
QGHuber-hard-only | oracle true-tail route,Overall,697,103564,10.861847480144819,6.193353178841091,8.527600329492955,13.340159946791408,6.452369283019289
QGHuber-hard-only | oracle true-tail route,MIMIC,316,80874,11.585277539860908,6.5670520069683915,9.07616477341465,14.282527939956571,6.838135357932828
QGHuber-hard-only | oracle true-tail route,VitalDB,381,22690,10.261837246889481,5.883408743963856,8.07262299542667,12.418695731688612,6.193681774862294
QGHuber-hard-only | event soft fusion,Overall,697,103564,10.880686234454545,6.1681847718679235,8.524435503161232,13.075807760400217,6.5618314497316925
QGHuber-hard-only | event soft fusion,MIMIC,316,80874,11.64956554085677,6.544685207089705,9.097125373973237,14.075917213372096,6.956920737127574
QGHuber-hard-only | event soft fusion,VitalDB,381,22690,10.24298056300283,5.855916694361142,8.049448628681986,12.075393883639356,6.308908386877109
