Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
General QGate + Huber,Overall,SBP,11.639586574752906,0.5148091992719057,-1.2528997477768313,15.283263360238626,29.622262562280326,53.746475609285085,71.21393534432815,FAIL*,Grade D*
General QGate + Huber,Overall,DBP,6.815667003576193,0.4851880562487586,-0.6340097110630863,9.425048175599795,48.253254026495696,78.12270673206906,90.97176625082075,FAIL*,Grade C*
General QGate + Huber,MIMIC,SBP,12.043377294388758,0.5097657666228362,-1.5483490763041459,15.754132137576558,28.698963820263618,52.31965773919924,69.5736577886589,FAIL*,Grade D*
General QGate + Huber,MIMIC,DBP,7.0802103716827665,0.46929593455170615,-0.7768065892916292,9.804762890924978,46.865494472883746,76.82567945198704,89.9386700299231,FAIL*,Grade C*
General QGate + Huber,VitalDB,SBP,10.200354725487593,0.5083991997342878,-0.19982927640979645,13.41924011117359,32.9131776112825,58.83208461877479,77.06037902159541,FAIL*,Grade D*
General QGate + Huber,VitalDB,DBP,5.872754691885977,0.5546802376161706,-0.12503859031142617,7.904233703187589,53.1996474217717,82.74570295284266,94.65403261348612,PASS*,Grade B*
QGHuber-weight2 standalone,Overall,SBP,11.720031566412866,0.5075351904973855,-1.3716630662727511,15.388040334779829,29.50639218261172,53.622880537638565,71.06426943725619,FAIL*,Grade D*
QGHuber-weight2 standalone,Overall,DBP,6.861444427242266,0.4770823792903306,-0.6537438764811935,9.497952160114478,48.59603723301533,77.39948244563747,90.56525433548337,FAIL*,Grade C*
QGHuber-weight2 standalone,MIMIC,SBP,12.126100860859092,0.5030377337350467,-1.556847578434968,15.862074826307568,28.48876029379034,52.13542053070208,69.53161708336425,FAIL*,Grade D*
QGHuber-weight2 standalone,MIMIC,DBP,7.132583538001365,0.4614183967384068,-0.7511480981024118,9.879701389133682,47.191928184583425,75.92675025348072,89.56401315626778,FAIL*,Grade C*
QGHuber-weight2 standalone,VitalDB,SBP,10.272678189637011,0.49793800616910955,-0.7116096402433487,13.544089820040531,33.133539003966504,58.92463640370207,76.52710445130013,FAIL*,Grade D*
QGHuber-weight2 standalone,VitalDB,DBP,5.895022900422904,0.5454539551682742,-0.30656586769342736,7.98080824710964,53.600705156456584,82.64874394006169,94.13397972675187,PASS*,Grade B*
QGHuber-weight2 | event hard route,Overall,SBP,11.654859957820797,0.5137794034405816,-1.0518485246778921,15.314718633569028,29.454250511760844,53.69819628442316,71.18303657641651,FAIL*,Grade D*
QGHuber-weight2 | event hard route,Overall,DBP,6.902198880753177,0.47561378105562513,-0.5986281271895428,9.51497118962781,47.73087173148971,77.61673940751612,90.70333320458846,FAIL*,Grade C*
QGHuber-weight2 | event hard route,MIMIC,SBP,12.050395305218558,0.5096283524643053,-1.3247615831095272,15.776733506433033,28.555530825728916,52.281326507901184,69.5786037539877,FAIL*,Grade D*
QGHuber-weight2 | event hard route,MIMIC,DBP,7.182473539200582,0.4583457846446414,-0.7592938428793362,9.907384714142143,46.24601231545367,76.23092712120088,89.6419121101961,FAIL*,Grade C*
QGHuber-weight2 | event hard route,VitalDB,SBP,10.245052743830204,0.5028648504957958,-0.07910411358930404,13.495828697976696,32.65755839576906,58.74834728955487,76.90171881886293,FAIL*,Grade D*
QGHuber-weight2 | event hard route,VitalDB,DBP,5.903215508021779,0.5514001173561036,-0.025967083086574482,7.934240782555447,53.023358307624505,82.55619215513443,94.48655795504628,PASS*,Grade B*
QGHuber-weight2 | participant threshold route,Overall,SBP,11.698984714469896,0.5116046140327908,-1.1057612711702482,15.34530206844121,29.23602796338496,53.39500212429029,70.96577961453787,FAIL*,Grade D*
QGHuber-weight2 | participant threshold route,Overall,DBP,6.921949378769412,0.47094977241008695,-0.5920506600897869,9.557768124027199,47.90178054150091,77.377273956201,90.4049669769418,FAIL*,Grade C*
QGHuber-weight2 | participant threshold route,MIMIC,SBP,12.113983459287756,0.5061794072565471,-1.3685664098098935,15.82878120867669,28.274847293320477,51.888122264262925,69.29792022157925,FAIL*,Grade D*
QGHuber-weight2 | participant threshold route,MIMIC,DBP,7.207940153886123,0.4529013705292382,-0.7519251692084881,9.957902201668144,46.45745233325914,75.9044934095012,89.28951208052031,FAIL*,Grade C*
QGHuber-weight2 | participant threshold route,VitalDB,SBP,10.21980408474757,0.5068851475792876,-0.16904453329705835,13.440315835080106,32.66196562362274,58.7659762009696,76.9105332745703,FAIL*,Grade D*
QGHuber-weight2 | participant threshold route,VitalDB,DBP,5.902592043080168,0.5503122814170525,-0.02220971471888213,7.943866555434588,53.04980167474659,82.6267078007933,94.38078448655796,PASS*,Grade B*
QGHuber-weight2 | participant top30 route,Overall,SBP,11.6659883251104,0.5133829203971824,-1.0905659786726931,15.318283613119204,29.43107643582712,53.60646556718551,71.08358116720096,FAIL*,Grade D*
QGHuber-weight2 | participant top30 route,Overall,DBP,6.939173849095595,0.4700156137999676,-0.6126276320449023,9.56493922837517,47.64203777374377,77.25464447105172,90.40110463095284,FAIL*,Grade C*
QGHuber-weight2 | participant top30 route,MIMIC,SBP,12.07300312021388,0.5083820823235188,-1.3446795206046127,15.795227068657752,28.511017137769862,52.151494918020624,69.45124514677153,FAIL*,Grade D*
QGHuber-weight2 | participant top30 route,MIMIC,DBP,7.230295587559437,0.45178312003167564,-0.7799254874080308,9.965980046082796,46.116180725573116,75.75240497564111,89.28580260652372,FAIL*,Grade C*
QGHuber-weight2 | participant top30 route,VitalDB,SBP,10.215264898966776,0.5066685326295233,-0.18482871158578,13.443060243633429,32.71044513001322,58.79241956809167,76.90171881886293,FAIL*,Grade D*
