setting,scope,participants,mean_delta_mmHg,ci95_low_mmHg,ci95_high_mmHg,bootstrap_standard_error_mmHg,paired_difference_sd_mmHg,paired_standardized_effect,bootstrap_fraction_improved
R6-1 Ridge residual,Overall,697,0.07226301174452256,0.00482476630307183,0.13975096712105656,0.034300492130647,0.9043933041885771,0.0799021967653299,0.01755
R6-1 Ridge residual,MIMIC,316,0.06279600354342701,-0.02555180577360843,0.15201736031775495,0.04526907031675812,0.8026579263091044,0.07823507559712829,0.0828
R6-1 Ridge residual,VitalDB,381,0.08011491355960443,-0.01759897984412418,0.17883604374949386,0.04994067749084694,0.9817864143018747,0.08160116334118583,0.05215
R6-2 Residual MLP,Overall,697,-0.022537356834005467,-0.0932669173916026,0.04768344544729051,0.036017756621751516,0.9529371723319896,-0.02365041210309065,0.7373
R6-2 Residual MLP,MIMIC,316,-0.051640254815599716,-0.1702087650275497,0.0713803121957529,0.061556753925943404,1.0906664239300228,-0.04734743243449563,0.79855
R6-2 Residual MLP,VitalDB,381,0.0016004798121462126,-0.0804131201765124,0.08472459792968166,0.04190424820428094,0.822114120975535,0.001946785453882066,0.48445
R6-3 Gated residual MLP,Overall,697,0.013113910499627726,-0.04390515657687133,0.07777931718621703,0.030979821925339737,0.8159051446154997,0.016072837125947693,0.34305
R6-3 Gated residual MLP,MIMIC,316,0.00925203148934578,-0.07511718582132004,0.09480219706216148,0.04339438784529482,0.774625153901236,0.011943882073477574,0.4175
R6-3 Gated residual MLP,VitalDB,381,0.016316938760124026,-0.057246606308554444,0.1132440619294684,0.04353969629331277,0.8496214580437425,0.01920495134114651,0.379
R6-4 Difficult-2x residual MLP,Overall,697,0.06274370525890004,-0.029987419081401505,0.15748254465934589,0.0477353279766671,1.2617213648735024,0.0497286540481072,0.09195
R6-4 Difficult-2x residual MLP,MIMIC,316,0.023160338478873808,-0.13342170175445986,0.1809494138986168,0.08045330615248539,1.4301000377967101,0.01619490795521961,0.38735
R6-4 Difficult-2x residual MLP,VitalDB,381,0.09557400421556221,-0.015593630658636509,0.20668879796462178,0.05689181519270225,1.103643959985514,0.08659858403684526,0.0474
R6-5 Causal GRU residual,Overall,697,-0.07750928867311231,-0.1541998799020925,-3.919861280081023e-05,0.039662237007377144,1.0382833321107867,-0.07465138491199619,0.97505
R6-5 Causal GRU residual,MIMIC,316,-0.10548549763847095,-0.22525536275223879,0.017641965287625853,0.06201897145386539,1.1159673395657512,-0.09452382153004389,0.9534
R6-5 Causal GRU residual,VitalDB,381,-0.054305923756961826,-0.15271178079995834,0.044190057694802755,0.05011124061175255,0.970027584747681,-0.05598389634567725,0.86025
R6-6 Supervised MoE,Overall,697,0.02733219080823873,-0.054104448173762316,0.1108462332089962,0.042161916796515014,1.1036184956598722,0.02476597747838246,0.2568
R6-6 Supervised MoE,MIMIC,316,0.018489848035362726,-0.1215460201002827,0.1625872121991496,0.07264683674514454,1.2960780474806703,0.014265998927536409,0.39735
R6-6 Supervised MoE,VitalDB,381,0.03466599741251384,-0.055252612551139474,0.12844002420702483,0.04688525273903603,0.9155409508705307,0.03786395068352989,0.2292
R6-7 Morphology cluster MoE,Overall,697,-0.004934956375107399,-0.07336621751576795,0.06619496543552134,0.0354117750079748,0.9349352852756547,-0.005278393545337616,0.56205
R6-7 Morphology cluster MoE,MIMIC,316,0.012751364956088414,-0.10291660016003276,0.1350563850339686,0.060916394932607434,1.0874449721425674,0.011725986401835762,0.42935
R6-7 Morphology cluster MoE,VitalDB,381,-0.01960392629809394,-0.09909569162980279,0.060025437688111534,0.04036598715921691,0.7875620725798568,-0.024891912625853566,0.69135
