setting,scope,participants,queries,sbp_mae,dbp_mae,mean_mae,worst_30_mean_mae,retained_70_mean_mae
General QGate + Huber,Overall,697,103564,10.802518180328637,6.167703465500952,8.485110822914796,13.059623567782685,6.512528325127819
General QGate + Huber,MIMIC,316,80874,11.576425273088962,6.573291408916327,9.074858341002646,14.121839379539447,6.905341604980037
General QGate + Huber,VitalDB,381,22690,10.16064248134632,5.83131031558164,7.995976398463981,12.014983603944001,6.258435689327881
R6-1 Ridge residual,Overall,697,103564,10.900887489445527,6.213860179873106,8.557373834659318,13.161128304072337,6.572181968998673
R6-1 Ridge residual,MIMIC,316,80874,11.705498530412846,6.569810158679298,9.13765434454607,14.220451765343178,6.952741426103876
R6-1 Ridge residual,VitalDB,381,22690,10.23354604864324,5.91863657540393,8.076091312023586,12.143735256844485,6.317523441142369
R6-2 Residual MLP,Overall,697,103564,10.78988397513708,6.135262957024498,8.462573466080789,13.009362146821497,6.501945903543729
R6-2 Residual MLP,MIMIC,316,80874,11.53527653734912,6.511159635024969,9.023218086187045,14.011225603722941,6.879051958739489
R6-2 Residual MLP,VitalDB,381,22690,10.17165812301371,5.823495633538542,7.997576878276126,12.01448829190561,6.260942244564132
R6-3 Gated residual MLP,Overall,697,103564,10.802039482693242,6.1944099841356035,8.498224733414423,13.079815708292431,6.522590021454707
R6-3 Gated residual MLP,MIMIC,316,80874,11.606351238155323,6.561869506828657,9.084110372491988,14.034512928064906,6.956109273942548
R6-3 Gated residual MLP,VitalDB,381,22690,10.13494626818926,5.889640406258949,8.012293337224104,12.115098561925487,6.2385241611314015
R6-4 Difficult-2x residual MLP,Overall,697,103564,10.93699374887274,6.158715307474651,8.547854528173694,13.113525265609962,6.579084805665242
R6-4 Difficult-2x residual MLP,MIMIC,316,80874,11.6623650102037,6.533672348759335,9.098018679481518,14.098771938225532,6.948373613505585
R6-4 Difficult-2x residual MLP,VitalDB,381,22690,10.335373490131047,5.8477273152280365,8.091550402679543,12.147258129552576,6.338142926775787
R6-5 Causal GRU residual,Overall,697,103564,10.673893619599523,6.14130944888384,8.407601534241683,12.898921061675653,6.4708929084488
R6-5 Causal GRU residual,MIMIC,316,80874,11.413048286089857,6.52569740063849,8.969372843364173,13.879212497798306,6.858808286028234
R6-5 Causal GRU residual,VitalDB,381,22690,10.060841455266337,5.822499494147701,7.941670474707019,11.940689218425314,6.212771393776177
R6-6 Supervised MoE,Overall,697,103564,10.842501982069672,6.182384045376395,8.512443013723033,13.1298821580731,6.521350158869824
R6-6 Supervised MoE,MIMIC,316,80874,11.620783355053183,6.565913023022831,9.093348189038007,14.165793494789082,6.91288527480112
R6-6 Supervised MoE,VitalDB,381,22690,10.196998271143714,5.864286520609274,8.030642395876495,12.111717980864873,6.266267612892797
R6-7 Morphology cluster MoE,Overall,697,103564,10.777321820293299,6.183029912786077,8.480175866539687,13.05748347561106,6.506388191170102
R6-7 Morphology cluster MoE,MIMIC,316,80874,11.580637550306085,6.594581861611383,9.087609705958732,14.083355811177709,6.940117036294468
R6-7 Morphology cluster MoE,VitalDB,381,22690,10.111054705637027,5.8416902386947465,7.976372472165886,12.010309094380391,6.232377315945329
