Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
General QGate + Huber,Overall,SBP,11.639586574752906,0.5148091992719057,-1.2528997477768313,15.283263360238626,29.622262562280326,53.746475609285085,71.21393534432815,FAIL*,Grade D*
General QGate + Huber,Overall,DBP,6.815667003576193,0.4851880562487586,-0.6340097110630863,9.425048175599795,48.253254026495696,78.12270673206906,90.97176625082075,FAIL*,Grade C*
General QGate + Huber,MIMIC,SBP,12.043377294388758,0.5097657666228362,-1.5483490763041459,15.754132137576558,28.698963820263618,52.31965773919924,69.5736577886589,FAIL*,Grade D*
General QGate + Huber,MIMIC,DBP,7.0802103716827665,0.46929593455170615,-0.7768065892916292,9.804762890924978,46.865494472883746,76.82567945198704,89.9386700299231,FAIL*,Grade C*
General QGate + Huber,VitalDB,SBP,10.200354725487593,0.5083991997342878,-0.19982927640979645,13.41924011117359,32.9131776112825,58.83208461877479,77.06037902159541,FAIL*,Grade D*
General QGate + Huber,VitalDB,DBP,5.872754691885977,0.5546802376161706,-0.12503859031142617,7.904233703187589,53.1996474217717,82.74570295284266,94.65403261348612,PASS*,Grade B*
R6-1 Ridge residual,Overall,SBP,11.699389354823722,0.5173839600254908,-1.1263685757118258,15.252256706661063,29.041945077440033,53.22602448727357,70.80452666949905,FAIL*,Grade D*
R6-1 Ridge residual,Overall,DBP,6.885760146777679,0.47076518951948254,-0.6722636711226011,9.55413576620962,47.976130701788264,77.9228303271407,90.88196670657757,FAIL*,Grade C*
R6-1 Ridge residual,MIMIC,SBP,12.096937023601686,0.5142609569342688,-1.3910967145319377,15.695768233373164,28.099265524148677,51.67915522912184,69.17674407102406,FAIL*,Grade D*
R6-1 Ridge residual,MIMIC,DBP,7.151590509742161,0.4547882330186712,-0.5283336743218595,9.95500563674898,46.618196206444594,76.72428716274699,89.96216336523482,FAIL*,Grade C*
R6-1 Ridge residual,VitalDB,SBP,10.282409620810984,0.5015909847774039,-0.18279768549861666,13.512104233839857,32.40193918025562,58.739532833847505,76.60643455266637,FAIL*,Grade D*
R6-1 Ridge residual,VitalDB,DBP,5.938260597443633,0.5405356550886724,-1.18527356804914,7.941822577104518,52.81621859850154,82.19479947113267,94.16042309387396,PASS*,Grade B*
R6-2 Residual MLP,Overall,SBP,11.643502749454052,0.5186851949789953,-1.0406589171421943,15.237664768437357,29.274651423274495,53.801514039627676,71.32304661851609,FAIL*,Grade D*
R6-2 Residual MLP,Overall,DBP,6.717002898701233,0.49191979801370744,-0.8354593996593226,9.347121391488606,48.80556950291607,79.17809277355066,91.84369085782704,FAIL*,Grade C*
R6-2 Residual MLP,MIMIC,SBP,12.051388067707354,0.5139843763076739,-1.1277579511067244,15.721381579595342,28.35769221257759,52.37159037515147,69.6874149912209,FAIL*,Grade D*
R6-2 Residual MLP,MIMIC,DBP,6.964112157228148,0.47677252219736443,-0.8975192671232542,9.72462991833343,47.41573311571086,78.08195464549793,91.0403838069095,FAIL*,Grade C*
R6-2 Residual MLP,VitalDB,SBP,10.189676516381454,0.5108229781840885,-0.7302117037068745,13.367672427077615,32.542970471573376,58.89819303658,77.1529308065227,FAIL*,Grade D*
R6-2 Residual MLP,VitalDB,DBP,5.836231009141705,0.5580168580617159,-0.614259323798678,7.851559113233432,53.75936535918907,83.08505949757603,94.70691934773028,PASS*,Grade B*
R6-3 Gated residual MLP,Overall,SBP,11.7098420580826,0.5157626100288328,-1.4872634382765562,15.247093725797756,29.270789077285542,53.11787879958286,70.84894364837201,FAIL*,Grade D*
R6-3 Gated residual MLP,Overall,DBP,6.74594302466746,0.48766108436081346,-0.9664055006722007,9.37394800526607,48.72542582364528,79.06994708585995,91.55015256266657,FAIL*,Grade C*
R6-3 Gated residual MLP,MIMIC,SBP,12.146040022291817,0.5102733052759084,-1.774705431434508,15.72199224368954,28.168509038751637,51.429383980018294,69.0493854638079,FAIL*,Grade D*
R6-3 Gated residual MLP,MIMIC,DBP,6.98961085894574,0.474157018266151,-1.0489510605938954,9.733982758030223,47.355145040433264,78.0324949922101,90.6954027252269,FAIL*,Grade C*
R6-3 Gated residual MLP,VitalDB,SBP,10.15510101985183,0.5116317630615275,-0.4627335240122884,13.368524191901425,33.19964742177171,59.13618334067871,77.2631115028647,FAIL*,Grade D*
R6-3 Gated residual MLP,VitalDB,DBP,5.877437408562493,0.5461164464139325,-0.6721882413902647,7.952512903650064,53.60951961216395,82.76773909211106,94.59673865138828,PASS*,Grade B*
R6-4 Difficult-2x residual MLP,Overall,SBP,11.865768730557557,0.5049626467817372,-1.3082619625198286,15.434004066056442,28.39210536479858,52.72391950870959,70.41153296512302,FAIL*,Grade D*
R6-4 Difficult-2x residual MLP,Overall,DBP,6.7262238092115,0.48774226517984987,-0.9917017287211292,9.370554772650683,48.79301687845197,79.02263334749526,91.93928392105364,FAIL*,Grade C*
R6-4 Difficult-2x residual MLP,MIMIC,SBP,12.27846250835923,0.500641409277015,-1.3903290844962364,15.916064151955739,27.393228973464893,51.268640106832855,68.76499245740287,FAIL*,Grade D*
R6-4 Difficult-2x residual MLP,MIMIC,DBP,6.966340464762123,0.4729132033409089,-1.1098421222572952,9.7388752049696,47.425625046368424,77.95583252961397,91.21349259341692,FAIL*,Grade C*
R6-4 Difficult-2x residual MLP,VitalDB,SBP,10.394803698123328,0.4943221770467626,-1.0157500003021114,13.573569073811429,31.95240193918026,57.91097399735566,76.28029969149405,FAIL*,Grade D*
R6-4 Difficult-2x residual MLP,VitalDB,DBP,5.870375664610302,0.552332865118669,-0.5706137522185346,7.905462825886539,53.66681357426179,82.8250330542089,94.52622300572939,PASS*,Grade B*
