Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
personal_mean,SBP,10.524196081705316,0.6134784147914847,-0.20364075353409855,14.108137256130252,34.1,59.45,75.925,FAIL*,FAIL (Grade D)*
personal_mean,DBP,5.600555890948023,0.6719412593101635,-0.2660648641808855,7.801003073996072,57.699999999999996,84.6,94.5,PASS*,PASS (Grade B)*
shared_with_anchor,SBP,10.341463019776867,0.6465207823008567,2.058721875402669,13.33502482030433,31.65,58.975,77.425,FAIL*,FAIL (Grade D)*
shared_with_anchor,DBP,5.623923791633442,0.6945584030807286,1.3819095554129255,7.403775515169238,54.400000000000006,85.225,95.15,PASS*,PASS (Grade B)*
new_person_lora,SBP,4.286796011961848,0.9233891914640051,0.1955496284696855,6.27859515030941,71.075,91.375,96.55,PASS*,PASS (Grade A)*
new_person_lora,DBP,2.3628113377965456,0.916097137990422,-0.17199796392758956,3.943690185000837,89.97500000000001,97.8,99.175,PASS*,PASS (Grade A)*
new_person_lora_memory,SBP,3.716160890084203,0.9387190356234919,-0.0539361884858809,5.61785886942232,76.125,93.175,97.375,PASS*,PASS (Grade A)*
new_person_lora_memory,DBP,2.03533726041206,0.9276679426981763,-0.142187457583748,3.662397081730459,92.10000000000001,98.02499999999999,99.225,PASS*,PASS (Grade A)*
shared_memory_only,SBP,3.886707101530327,0.9311666713590476,-0.2782395522859297,5.947748884508765,74.8,92.475,97.3,PASS*,PASS (Grade A)*
shared_memory_only,DBP,2.1360880789811665,0.923117190916037,-0.17809439565976726,3.7744941776645744,91.0,97.875,99.35000000000001,PASS*,PASS (Grade A)*
shared_memory_blend,SBP,4.769942633049974,0.906762022730441,0.08367423937056444,6.929354851407211,66.0,88.2,95.85000000000001,PASS*,PASS (Grade A)*
shared_memory_blend,DBP,2.5644670152812012,0.905253757965991,0.19330185077349077,4.190312676645019,87.05000000000001,97.32499999999999,99.175,PASS*,PASS (Grade A)*
lora_memory_only,SBP,3.7707572777486633,0.93443275779036,-0.10605082872178177,5.810308082707413,76.14999999999999,93.325,97.375,PASS*,PASS (Grade A)*
lora_memory_only,DBP,2.060152452909654,0.9260467435042247,-0.13307255508741012,3.7036128400578865,91.875,98.0,99.325,PASS*,PASS (Grade A)*
lora_memory_uniform,SBP,3.77787922380175,0.936711001961255,-0.05994181611802201,5.709107452658686,75.55,92.875,97.25,PASS*,PASS (Grade A)*
lora_memory_uniform,DBP,2.0638288464826196,0.9262034959397909,-0.1449403062089311,3.6992345271290126,91.925,97.975,99.25,PASS*,PASS (Grade A)*
lora_memory_fixed_half,SBP,3.784203530881024,0.9368272406687561,0.04474939987395187,5.704001152298879,75.425,93.125,97.5,PASS*,PASS (Grade A)*
lora_memory_fixed_half,DBP,2.063738342108436,0.9292456583270862,-0.15253525950749983,3.62175254354954,92.0,98.15,99.375,PASS*,PASS (Grade A)*
