Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
personal_mean,SBP,10.571100110673825,0.5579939823170122,-0.11043868597931314,14.083719690920937,32.7875,58.825,75.9625,FAIL*,FAIL (Grade D)*
personal_mean,DBP,5.635601027894418,0.6456598460764809,-0.16814286295461017,7.653591698941937,56.775,84.2375,94.5875,PASS*,PASS (Grade B)*
shared_with_anchor,SBP,9.982053824685732,0.6210415969215708,1.4192855772119102,12.963573629900848,32.5375,60.75000000000001,78.7,FAIL*,FAIL (Grade D)*
shared_with_anchor,DBP,5.349894432227675,0.6948860334821072,0.820018451532847,7.056309959738025,57.037499999999994,86.4375,95.96249999999999,PASS*,PASS (Grade B)*
new_person_lora,SBP,3.9048814528848412,0.9259726882445019,0.07051908627563068,5.763417936794985,74.0125,93.05,97.475,PASS*,PASS (Grade A)*
new_person_lora,DBP,2.1857902872370647,0.9268660152502511,-0.11607283274220785,3.4759817220511966,91.3125,98.4,99.45,PASS*,PASS (Grade A)*
new_person_lora_memory,SBP,3.3312479564562354,0.9413871640200526,-0.11537746867126872,5.12746929522023,79.5875,94.66250000000001,98.02499999999999,PASS*,PASS (Grade A)*
new_person_lora_memory,DBP,1.8442249993047797,0.9388145888175148,-0.1379416314749654,3.17815523006085,93.475,98.575,99.4875,PASS*,PASS (Grade A)*
shared_memory_only,SBP,3.4845831101307505,0.9348610307052322,-0.29555154856628824,5.39867483388669,78.7,93.925,97.8125,PASS*,PASS (Grade A)*
shared_memory_only,DBP,1.9178295846600815,0.9352198686644186,-0.191987708011144,3.2676263949588322,92.75,98.52499999999999,99.5625,PASS*,PASS (Grade A)*
shared_memory_blend,SBP,4.371360168333125,0.9052593693707032,-0.07242908057159832,6.520155804236501,70.0625,89.9625,96.22500000000001,PASS*,PASS (Grade A)*
shared_memory_blend,DBP,2.3520694419245993,0.9145868283278069,0.01451177128267924,3.7585392045231907,88.8625,97.89999999999999,99.38749999999999,PASS*,PASS (Grade A)*
lora_memory_only,SBP,3.369632803195324,0.9381744080415213,-0.17181787690109662,5.264650967604429,79.80000000000001,94.5875,97.89999999999999,PASS*,PASS (Grade A)*
lora_memory_only,DBP,1.8518947219952748,0.9377113867949882,-0.15243707696484884,3.2060761041354304,93.175,98.625,99.55000000000001,PASS*,PASS (Grade A)*
lora_memory_uniform,SBP,3.3918778703995485,0.9395306859044549,-0.12081295212692668,5.207956146501173,78.9625,94.39999999999999,97.875,PASS*,PASS (Grade A)*
lora_memory_uniform,DBP,1.874036765012656,0.9373759901729422,-0.1426359321265157,3.215165469299692,93.25,98.575,99.5,PASS*,PASS (Grade A)*
lora_memory_fixed_half,SBP,3.407795714112894,0.9402288943263191,-0.05064939531273296,5.178947510997795,79.025,94.625,98.0625,PASS*,PASS (Grade A)*
lora_memory_fixed_half,DBP,1.8800957744640219,0.9399788612617408,-0.1342549548535283,3.1478739803468607,93.4125,98.675,99.5625,PASS*,PASS (Grade A)*
