Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
personal_mean,SBP,10.618004139642336,0.4321221473750393,-0.01723661842452763,14.060405627932528,31.474999999999998,58.199999999999996,76.0,FAIL*,FAIL (Grade D)*
personal_mean,DBP,5.670646164840811,0.6109664336977595,-0.07022086172833494,7.502982648520783,55.85,83.875,94.675,PASS*,PASS (Grade B)*
shared_with_anchor,SBP,9.622644629594596,0.545807643297592,0.779849279021151,12.550285159091793,33.425,62.525,79.975,FAIL*,FAIL (Grade D)*
shared_with_anchor,DBP,5.075865072821908,0.6944747653329174,0.25812734765276857,6.64439451579793,59.675,87.64999999999999,96.775,PASS*,PASS (Grade B)*
new_person_lora,SBP,3.522966893807834,0.9224622329358608,-0.05451145591842412,5.195214028197043,76.95,94.72500000000001,98.4,PASS*,PASS (Grade A)*
new_person_lora,DBP,2.008769236677584,0.9404865873546125,-0.060147701556826166,2.9341046592740287,92.65,99.0,99.725,PASS*,PASS (Grade A)*
new_person_lora_memory,SBP,2.946335022828268,0.9395287938502423,-0.17681874885665655,4.584819178466525,83.05,96.15,98.675,PASS*,PASS (Grade A)*
new_person_lora_memory,DBP,1.6531127381974988,0.9529525309323437,-0.13369580536618286,2.6058930685046136,94.85,99.125,99.75,PASS*,PASS (Grade A)*
shared_memory_only,SBP,3.0824591187311734,0.9338745255185941,-0.3128635448466468,4.787729296351126,82.6,95.375,98.32499999999999,PASS*,PASS (Grade A)*
shared_memory_only,DBP,1.699571090338997,0.9505749076731798,-0.20588102036252076,2.666503719313865,94.5,99.175,99.775,PASS*,PASS (Grade A)*
shared_memory_blend,SBP,3.9727777036162757,0.8936517121511337,-0.22853240051376103,6.080360750134201,74.125,91.725,96.6,PASS*,PASS (Grade A)*
shared_memory_blend,DBP,2.139671868567997,0.9263313262792451,-0.16427830820813227,3.260996525788454,90.675,98.475,99.6,PASS*,PASS (Grade A)*
lora_memory_only,SBP,2.968508328641985,0.9375860745417087,-0.23758492508041143,4.655287069896556,83.45,95.85000000000001,98.425,PASS*,PASS (Grade A)*
lora_memory_only,DBP,1.6436369910808957,0.952511078524946,-0.17180159884228757,2.6158975741818042,94.475,99.25,99.775,PASS*,PASS (Grade A)*
lora_memory_uniform,SBP,3.0058765169973465,0.9377126495568624,-0.18168408813583137,4.653071726897421,82.375,95.92500000000001,98.5,PASS*,PASS (Grade A)*
lora_memory_uniform,DBP,1.6842446835426923,0.9515431821888028,-0.14033155804410036,2.644393361208978,94.575,99.175,99.75,PASS*,PASS (Grade A)*
lora_memory_fixed_half,SBP,3.0313878973447625,0.9393410422575027,-0.14604819049941775,4.593023637774756,82.625,96.125,98.625,PASS*,PASS (Grade A)*
lora_memory_fixed_half,DBP,1.6964532068196077,0.9535893966097534,-0.11597465019955686,2.5890034948802785,94.825,99.2,99.75,PASS*,PASS (Grade A)*
