Setting,Reference,Scope,BP,primary_contrast,gain_mmHg,ci95_low_mmHg,ci95_high_mmHg,participants,improved_participants,bootstrap_replicates
personal_mean,new_person_lora,Overall,Mean,False,-5.058014699223169,-5.432964854832642,-4.693240026428308,200,0,2000
personal_mean,new_person_lora,Overall,SBP,False,-6.666218657788986,-7.203469494867944,-6.149376355259697,200,0,2000
personal_mean,new_person_lora,Overall,DBP,False,-3.4498107406573526,-3.7204702721653122,-3.1911135716204706,200,1,2000
personal_mean,new_person_lora,MIMIC,Mean,False,-4.737572311447472,-5.35313591888346,-4.132563648069124,100,0,2000
personal_mean,new_person_lora,MIMIC,SBP,False,-6.23740006974347,-7.133271349630596,-5.348659205613095,100,0,2000
personal_mean,new_person_lora,MIMIC,DBP,False,-3.237744553151478,-3.6986391364195126,-2.809567641161883,100,0,2000
personal_mean,new_person_lora,VitalDB,Mean,False,-5.378457086998865,-5.8128633876889655,-4.929049856424168,100,0,2000
personal_mean,new_person_lora,VitalDB,SBP,False,-7.0950372458345035,-7.74603230685929,-6.450975357052823,100,0,2000
personal_mean,new_person_lora,VitalDB,DBP,False,-3.6618769281632266,-3.974217520701558,-3.3577485190226413,100,1,2000
shared_with_anchor,new_person_lora,Overall,Mean,False,-4.620638258395752,-4.924457537733197,-4.335948188623412,200,0,2000
shared_with_anchor,new_person_lora,Overall,SBP,False,-6.077172371800892,-6.525460918795822,-5.663014350444129,200,1,2000
shared_with_anchor,new_person_lora,Overall,DBP,False,-3.164104144990611,-3.3964217659402505,-2.943723876717284,200,2,2000
shared_with_anchor,new_person_lora,MIMIC,Mean,False,-4.657889730825959,-5.144199067641652,-4.1820469172223715,100,0,2000
shared_with_anchor,new_person_lora,MIMIC,SBP,False,-6.05466700781502,-6.7720970003569025,-5.373843139908565,100,1,2000
shared_with_anchor,new_person_lora,MIMIC,DBP,False,-3.2611124538368976,-3.6446651431525527,-2.904721307673027,100,2,2000
shared_with_anchor,new_person_lora,VitalDB,Mean,False,-4.583386785965544,-4.930618319922592,-4.234399203482706,100,0,2000
shared_with_anchor,new_person_lora,VitalDB,SBP,False,-6.0996777357867655,-6.617356526822281,-5.584906259080452,100,0,2000
shared_with_anchor,new_person_lora,VitalDB,DBP,False,-3.0670958361443246,-3.3051510682432834,-2.8294438740565226,100,0,2000
