Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,participant_mean_mae_p90,participant_mean_mae_p95,worst_30_n_participants,worst_30_mean_mae,retained_70_n_participants,retained_70_mean_mae,tail_definition
personal_mean,Overall,30,1200,11.585355095709463,6.040176018420232,8.812765557064846,14.65661624080373,7.687548514649082,0.13978224543281867,0.09309495488006239,11.65406922222602,14.39651142870419,9,12.411881759840952,21,7.270287184446518,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_mean,MIMIC,15,600,10.52779012093299,5.2594222538902535,7.893606187411622,12.895729460516772,6.713004644161187,0.6734849822731196,0.6231099115594215,11.28561114179077,12.894400773446051,5,11.54519908124944,10,6.067809740492715,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_mean,VitalDB,15,600,12.642920070485935,6.82092978295021,9.73192492671807,16.417503021090692,8.662092385136978,-0.3939204914074826,-0.4369200017992968,11.8912536367975,14.204447976871341,5,12.62916315037072,10,8.283305814891749,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
shared_with_anchor,Overall,30,1200,10.846373941809569,5.725545815778852,8.28595987879421,13.815036264111871,7.282910624996119,1.4024710602318096,0.7995557200829025,11.048317341992684,13.301039183157688,9,11.374298108203678,21,6.96238635190444,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
shared_with_anchor,MIMIC,15,600,10.779905644993883,5.536081870900846,8.157993757947365,13.295954497447735,6.971677141916651,3.001444220961271,1.8171910336399066,11.342937309592463,12.608974755730383,5,11.389294154327164,10,6.542343559757465,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
shared_with_anchor,VitalDB,15,600,10.912842238625258,5.915009760656858,8.413925999641057,14.33411803077601,7.59414410807559,-0.19650210049765182,-0.21807959347410164,10.402503604729562,11.80346643955913,5,10.936370168215584,10,7.152703915353795,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
new_person_lora,Overall,30,1200,4.074861518707539,2.2775094492779155,3.176185483992728,5.625401035515426,3.230638566539326,0.17227331904121707,-0.059862004526472425,4.01105918039816,5.318594490320939,9,4.503479299554934,21,2.6073452773232106,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
new_person_lora,MIMIC,15,600,3.848610843071173,2.2589263526792687,3.0537685978752203,5.4078821120961,3.3258670184090087,0.5098208511085689,0.09503466156959416,3.9016004031944824,4.539777868359205,5,4.1697092522184604,10,2.495798270703601,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
new_person_lora,VitalDB,15,600,4.301112194343907,2.2960925458765624,3.2986023701102343,5.842919958934752,3.1354101146696434,-0.16527421302613482,-0.2147586706225391,4.289988211917766,5.401178108241853,5,4.603517114775849,10,2.646144997777427,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
new_person_lora_memory,Overall,30,1200,3.151478577734468,1.7465994683034218,2.4490390230189454,4.506964650934146,2.5743852800924185,0.010817179158811396,-0.08490095576446886,3.525147652748462,3.843238053885606,9,3.3643188621520372,21,2.056776234819048,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
new_person_lora_memory,MIMIC,15,600,3.0665725853503534,1.7583241774633014,2.4124483814068274,4.434891693981043,2.646723990442172,0.18167309008155066,-0.0419221064662945,3.6209105254596974,3.941179462209313,5,3.4459937685221482,10,1.8956756878491674,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
new_person_lora_memory,VitalDB,15,600,3.2363845701185823,1.734874759143542,2.4856296646310625,4.579037607887249,2.502046569742663,-0.16003873176392786,-0.12787980506264324,3.130924025292677,3.4288053161208705,5,3.160315710076465,10,2.148286641908361,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
