Backbone,Scope,Reference mean participant-macro MAE,Candidate mean participant-macro MAE,Candidate minus reference
resnet_small,Overall,8.64533370448592,8.64533370448592,0.0
resnet_small,MIMIC,9.363100435615234,9.363100435615234,0.0
resnet_small,VitalDB,8.04893860719188,8.04893860719188,0.0
resnet_deep,Overall,8.64533370448592,8.903638180382401,0.2583044758964821
resnet_deep,MIMIC,9.363100435615234,9.594356988396271,0.23125655278103707
resnet_deep,VitalDB,8.04893860719188,8.329717304918983,0.2807786977271025
inception_time,Overall,8.64533370448592,8.722701500631475,0.07736779614555545
inception_time,MIMIC,9.363100435615234,9.437174420697291,0.07407398508205709
inception_time,VitalDB,8.04893860719188,8.129043243433928,0.08010463624204789
patch_transformer,Overall,8.64533370448592,8.913191040154695,0.2678573356687757
patch_transformer,MIMIC,9.363100435615234,9.473371976238314,0.11027154062307964
patch_transformer,VitalDB,8.04893860719188,8.44773457722807,0.39879597003618983
conformer,Overall,8.64533370448592,8.97890589631691,0.3335721918309904
conformer,MIMIC,9.363100435615234,9.682304068135387,0.3192036325201535
conformer,VitalDB,8.04893860719188,8.394449689412347,0.345511082220467
