Backbone,Model,Setting,Scope,N participants,N queries,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
resnet_small,Population,resnet_small | Population,Overall,628,96332,14.0884816915936,8.887742754552932,11.488112223073264
resnet_small,Population,resnet_small | Population,MIMIC,285,74373,15.845119024085946,9.617045333164258,12.731082178625101
resnet_small,Population,resnet_small | Population,VitalDB,343,21959,12.628885074216573,8.28176247786422,10.455323776040396
resnet_small,QGH,resnet_small | QGH,Overall,628,96332,11.013555627820116,6.277111781151723,8.64533370448592
resnet_small,QGH,resnet_small | QGH,MIMIC,285,74373,12.01262595473447,6.713574916496001,9.363100435615234
resnet_small,QGH,resnet_small | QGH,VitalDB,343,21959,10.183424306623058,5.9144529077607055,8.04893860719188
resnet_deep,Population,resnet_deep | Population,Overall,628,96332,14.367365677308324,8.86596615400728,11.616665915657801
resnet_deep,Population,resnet_deep | Population,MIMIC,285,74373,16.269348034979217,9.500913164133769,12.885130599556492
resnet_deep,Population,resnet_deep | Population,VitalDB,343,21959,12.78700132764009,8.338386276788476,10.562693802214284
resnet_deep,QGH,resnet_deep | QGH,Overall,628,96332,11.310111331126466,6.497165029638337,8.903638180382401
resnet_deep,QGH,resnet_deep | QGH,MIMIC,285,74373,12.299009129786945,6.889704847005597,9.594356988396271
resnet_deep,QGH,resnet_deep | QGH,VitalDB,343,21959,10.488432402210327,6.17100220762764,8.329717304918983
inception_time,Population,inception_time | Population,Overall,628,96332,14.184294022641216,8.972879506622236,11.578586764631726
inception_time,Population,inception_time | Population,MIMIC,285,74373,16.108937796935642,9.512330307939731,12.810634052437688
inception_time,Population,inception_time | Population,VitalDB,343,21959,12.585100216011732,8.524647791241811,10.554874003626773
inception_time,QGH,inception_time | QGH,Overall,628,96332,11.109434504121273,6.335968497141673,8.722701500631475
inception_time,QGH,inception_time | QGH,MIMIC,285,74373,12.059090381852062,6.815258459542519,9.437174420697291
inception_time,QGH,inception_time | QGH,VitalDB,343,21959,10.320361836035923,5.9377246508319335,8.129043243433928
patch_transformer,Population,patch_transformer | Population,Overall,628,96332,14.366548251377383,8.9453077498293,11.655928000603343
patch_transformer,Population,patch_transformer | Population,MIMIC,285,74373,16.360792225616247,9.547819285673937,12.954305755645093
patch_transformer,Population,patch_transformer | Population,VitalDB,343,21959,12.709523374823222,8.444678631124576,10.5771010029739
patch_transformer,QGH,patch_transformer | QGH,Overall,628,96332,11.337608638299528,6.488773442009862,8.913191040154695
patch_transformer,QGH,patch_transformer | QGH,MIMIC,285,74373,12.164019336098223,6.782724616378407,9.473371976238314
patch_transformer,QGH,patch_transformer | QGH,VitalDB,343,21959,10.650940857329765,6.244528297126375,8.44773457722807
conformer,Population,conformer | Population,Overall,628,96332,14.472926552403457,9.072072819175217,11.772499685789338
conformer,Population,conformer | Population,MIMIC,285,74373,16.597417142798204,9.717607674075593,13.1575124084369
conformer,Population,conformer | Population,VitalDB,343,21959,12.707679268839316,8.535695461604934,10.621687365222124
conformer,QGH,conformer | QGH,Overall,628,96332,11.408209596410789,6.549602196223032,8.97890589631691
conformer,QGH,conformer | QGH,MIMIC,285,74373,12.491189767210848,6.873418369059925,9.682304068135387
conformer,QGH,conformer | QGH,VitalDB,343,21959,10.508357267903452,6.280542110921241,8.394449689412347
