Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.137723416612012,0.242296830190887,-1.142556178874003,19.39398296289158,21.844246979196942,41.54901797948761,58.17900593779844,FAIL*,FAIL (Grade D)*
resnet_small | Population,Overall,DBP,8.984237872663124,0.18641861068681287,0.7080126127922193,11.803187056399803,35.719179504214594,64.09396669850102,82.9900759872109,FAIL*,FAIL (Grade D)*
resnet_small | QGH,Overall,SBP,12.332905804286666,0.46605978299613393,-0.5680576940965305,16.298683238702544,28.085163808495615,51.44292654569613,68.91894697504463,FAIL*,FAIL (Grade D)*
resnet_small | QGH,Overall,DBP,6.834018450214577,0.473274595462051,-0.6316276307196799,9.493179344859508,48.228003155753015,77.52564049329402,91.31545073288211,FAIL*,FAIL (Grade C)*
resnet_deep | Population,Overall,SBP,15.322296599210704,0.23234001617407762,-1.023288291515067,19.528047685231627,21.00548104472034,40.464227878586556,57.07449238051737,FAIL*,FAIL (Grade D)*
resnet_deep | Population,Overall,DBP,8.947814117856776,0.17499067797941115,-0.7408949771924643,11.884086281268221,36.06278287588756,65.18706141261471,83.12294979861313,FAIL*,FAIL (Grade D)*
resnet_deep | QGH,Overall,SBP,12.686956113418526,0.43349394185894174,-1.1942053528096814,16.756059657456834,27.51006934352033,50.723539426151234,67.72827305568244,FAIL*,FAIL (Grade D)*
resnet_deep | QGH,Overall,DBP,7.05979383166796,0.4375082854170209,-0.9037243850330368,9.790262403013209,47.128679981729846,76.53116306108043,90.15903334302205,FAIL*,FAIL (Grade C)*
inception_time | Population,Overall,SBP,15.50558075677057,0.2042292048727551,-1.9093138642311553,19.81789592239761,21.408254785533366,40.55038824066769,57.22916580160279,FAIL*,FAIL (Grade D)*
inception_time | Population,Overall,DBP,9.041029716667254,0.15798381723011612,-0.23827351918774123,12.026900900524524,35.889424075073705,64.95764647261554,82.38176306938504,FAIL*,FAIL (Grade D)*
inception_time | QGH,Overall,SBP,12.495245573445695,0.4544338876199312,0.24058346574927494,16.483417537200456,27.65955238134784,51.025619731761,68.52551592409584,FAIL*,FAIL (Grade D)*
inception_time | QGH,Overall,DBP,6.895403251805562,0.45470623171061375,-0.7740379478474845,9.649419786913517,48.28509737158992,77.84952040858697,90.71959473487522,FAIL*,FAIL (Grade C)*
patch_transformer | Population,Overall,SBP,15.537759407755418,0.20719050374496717,-2.9793635658351856,19.64796974849144,20.880911846530747,40.2182037121621,56.896981273097204,FAIL*,FAIL (Grade D)*
patch_transformer | Population,Overall,DBP,9.088645854278559,0.17771425902860827,0.2912044735058289,11.8839211096633,34.44649752937757,63.64759373832164,82.68280529834323,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,Overall,SBP,12.627348159274348,0.4433615802569387,-1.2157292490427487,16.60717710527415,27.136361748951543,50.335298758460326,67.76356766183615,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,Overall,DBP,7.019678115698491,0.4431505290554185,-1.376811332597807,9.685076034026407,47.183698044263586,76.68998878877217,90.58360669351825,FAIL*,FAIL (Grade C)*
conformer | Population,Overall,SBP,15.689972424947902,0.19097193182187222,-2.2600406243781874,19.94719224256468,20.785408794585393,40.06145413777353,56.55233982477266,FAIL*,FAIL (Grade D)*
conformer | Population,Overall,DBP,9.20471571289401,0.1512701957163134,-0.8639185692812376,12.04618254833257,34.80671012747582,63.0901465764232,81.60631981065481,FAIL*,FAIL (Grade D)*
conformer | QGH,Overall,SBP,12.857984281283267,0.42565284058255604,-1.2536455612919428,16.867895341497274,26.77199684424698,49.76331852343977,67.02238093260806,FAIL*,FAIL (Grade D)*
conformer | QGH,Overall,DBP,7.10440066796705,0.43783662911061894,-1.2723326066643952,9.746316750571896,46.16845907901839,76.28098658804966,90.34484906365486,FAIL*,FAIL (Grade C)*
resnet_small | Population,MIMIC,SBP,15.899082828457914,0.21352636973563444,-1.7099240028823417,20.205911772301377,20.68761512914633,39.492826697860785,55.65326126416845,FAIL*,FAIL (Grade D)*
resnet_small | Population,MIMIC,DBP,9.199814999013451,0.15321248995718384,0.8420018934146574,12.10000914815517,35.33002568136286,63.1627068963199,82.09834214029284,FAIL*,FAIL (Grade D)*
resnet_small | QGH,MIMIC,SBP,12.93559714507416,0.4478116604001243,-1.1793581383929055,16.950435604886756,26.852486789560725,49.14148951904589,66.54296586126685,FAIL*,FAIL (Grade D)*
resnet_small | QGH,MIMIC,DBP,7.092911717159975,0.4434728154829065,-0.765597461615596,9.80325416073959,46.76024901509956,75.98859801271966,90.42259959931695,FAIL*,FAIL (Grade C)*
resnet_deep | Population,MIMIC,SBP,16.083456224386303,0.20466739192129857,-1.7799226896248634,20.314193140480157,19.72086644346739,38.282710123297434,54.53188657173974,FAIL*,FAIL (Grade D)*
resnet_deep | Population,MIMIC,DBP,9.133487122446958,0.14226273322981198,-0.7896301360449843,12.181874370939573,35.94584056041843,64.64711656111761,82.29868366208167,FAIL*,FAIL (Grade D)*
resnet_deep | QGH,MIMIC,SBP,13.320799499022643,0.41316780899242134,-1.6213008130068447,17.441124902108946,26.260874241996422,48.58349132077501,65.26158686620145,FAIL*,FAIL (Grade D)*
resnet_deep | QGH,MIMIC,DBP,7.322072378346083,0.40579371796246455,-1.0790699194422504,10.103060145969499,45.86745189786616,75.2020222392535,89.11298455084507,FAIL*,FAIL (Grade C)*
inception_time | Population,MIMIC,SBP,16.373383348465108,0.16780201629778146,-2.459854871784745,20.71372662829332,20.07045567611902,38.12673954257593,54.3960846005943,FAIL*,FAIL (Grade D)*
inception_time | Population,MIMIC,DBP,9.218519213010879,0.12540926765425986,-0.33470763456739755,12.32224186627142,35.912226211125,64.40105952428972,81.49866214889812,FAIL*,FAIL (Grade D)*
