Backbone,Scope,Reference mean participant-macro MAE,Candidate mean participant-macro MAE,Candidate minus reference
resnet_small,Overall,8.64431915674012,8.64431915674012,0.0
resnet_small,MIMIC,9.315262675949828,9.315262675949828,0.0
resnet_small,VitalDB,8.08682964369415,8.08682964369415,0.0
tcn_bp,Overall,8.64431915674012,8.822158658847648,0.17783950210752764
tcn_bp,MIMIC,9.315262675949828,9.487626570842622,0.17236389489279347
tcn_bp,VitalDB,8.08682964369415,8.269218848589434,0.18238920489528354
fewshot_resnet_attention,Overall,8.64431915674012,9.058433442643334,0.41411428590321364
fewshot_resnet_attention,MIMIC,9.315262675949828,9.793023402725096,0.4777607267752675
fewshot_resnet_attention,VitalDB,8.08682964369415,8.448059860651203,0.36123021695705226
bp_crnn,Overall,8.64431915674012,9.068859774965718,0.4245406182255973
bp_crnn,MIMIC,9.315262675949828,9.648197897188549,0.33293522123872066
bp_crnn,VitalDB,8.08682964369415,8.587485533468612,0.5006558897744622
resunet_encoder,Overall,8.64431915674012,8.756272883116766,0.11195372637664569
resunet_encoder,MIMIC,9.315262675949828,9.445099970152965,0.12983729420313672
resunet_encoder,VitalDB,8.08682964369415,8.183923845783484,0.09709420208933395
