Backbone,Model,Setting,Scope,N participants,N queries,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
resnet_small,Population,resnet_small | Population,Overall,628,96332,14.112991720897584,8.781254341929658,11.447123031413621
resnet_small,Population,resnet_small | Population,MIMIC,285,74373,16.13145550548749,9.32900836012207,12.73023193280478
resnet_small,Population,resnet_small | Population,VitalDB,343,21959,12.435842512127545,8.326123452177946,10.380982982152746
resnet_small,QGH,resnet_small | QGH,Overall,628,96332,11.029441271656573,6.259197041823665,8.64431915674012
resnet_small,QGH,resnet_small | QGH,MIMIC,285,74373,12.06104977530408,6.5694755765955755,9.315262675949828
resnet_small,QGH,resnet_small | QGH,VitalDB,343,21959,10.172273856089403,6.0013854312989,8.08682964369415
tcn_bp,Population,tcn_bp | Population,Overall,628,96332,14.487104420931663,8.894016189240826,11.690560305086246
tcn_bp,Population,tcn_bp | Population,MIMIC,285,74373,16.573207311804115,9.50004653897678,13.036626925390449
tcn_bp,Population,tcn_bp | Population,VitalDB,343,21959,12.753753622393328,8.39046327473719,10.572108448565258
tcn_bp,QGH,tcn_bp | QGH,Overall,628,96332,11.19057589500635,6.453741422688945,8.822158658847648
tcn_bp,QGH,tcn_bp | QGH,MIMIC,285,74373,12.172692906065688,6.802560235619553,9.487626570842622
tcn_bp,QGH,tcn_bp | QGH,VitalDB,343,21959,10.374531148207774,6.1639065489710925,8.269218848589434
fewshot_resnet_attention,Population,fewshot_resnet_attention | Population,Overall,628,96332,14.526653893662083,9.144054209840819,11.835354051751452
fewshot_resnet_attention,Population,fewshot_resnet_attention | Population,MIMIC,285,74373,16.564082447149843,9.98864935560897,13.276365901379407
fewshot_resnet_attention,Population,fewshot_resnet_attention | Population,VitalDB,343,21959,12.833746786536688,8.44227690213259,10.638011844334638
fewshot_resnet_attention,QGH,fewshot_resnet_attention | QGH,Overall,628,96332,11.4456011900395,6.671265695247169,9.058433442643334
fewshot_resnet_attention,QGH,fewshot_resnet_attention | QGH,MIMIC,285,74373,12.51981796320569,7.0662288422445,9.793023402725096
fewshot_resnet_attention,QGH,fewshot_resnet_attention | QGH,VitalDB,343,21959,10.55303040184019,6.343089319462216,8.448059860651203
bp_crnn,Population,bp_crnn | Population,Overall,628,96332,14.396575573906928,8.953252507490355,11.674914040698642
bp_crnn,Population,bp_crnn | Population,MIMIC,285,74373,16.350533509744466,9.60966654604145,12.980100027892957
bp_crnn,Population,bp_crnn | Population,VitalDB,343,21959,12.773024519348041,8.407835594991631,10.590430057169838
bp_crnn,QGH,bp_crnn | QGH,Overall,628,96332,11.601011190396214,6.536708359535221,9.068859774965718
bp_crnn,QGH,bp_crnn | QGH,MIMIC,285,74373,12.51704262672776,6.779353167649338,9.648197897188549
bp_crnn,QGH,bp_crnn | QGH,VitalDB,343,21959,10.839877198109068,6.335093868828156,8.587485533468612
resunet_encoder,Population,resunet_encoder | Population,Overall,628,96332,14.068497112047249,8.877716575829549,11.4731068439384
resunet_encoder,Population,resunet_encoder | Population,MIMIC,285,74373,16.062110911511894,9.507072395841154,12.784591653676522
resunet_encoder,Population,resunet_encoder | Population,VitalDB,343,21959,12.411995850101409,8.354782439668302,10.383389144884855
resunet_encoder,QGH,resunet_encoder | QGH,Overall,628,96332,11.081697803974835,6.430847962258699,8.756272883116766
resunet_encoder,QGH,resunet_encoder | QGH,MIMIC,285,74373,12.014758246680609,6.875441693625322,9.445099970152965
resunet_encoder,QGH,resunet_encoder | QGH,VitalDB,343,21959,10.306414345749923,6.0614333458170435,8.183923845783484
