Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | Population,Overall,SBP,15.260987654639056,0.22013740687988448,-2.6863229691492583,19.525721834828296,21.943902337748618,41.62998795831084,58.30461321263962,FAIL*,FAIL (Grade D)*
resnet_small | Population,Overall,DBP,8.934418740887153,0.18071542193456747,-0.8377883097566511,11.836161796642608,35.754474110368314,65.46941826184445,83.5132666196072,FAIL*,FAIL (Grade D)*
resnet_small | QGH,Overall,SBP,12.496649441330591,0.43980968231519535,-1.4620824948419495,16.640550814537757,28.158867250757798,51.61213303990366,68.9262135116057,FAIL*,FAIL (Grade D)*
resnet_small | QGH,Overall,DBP,7.019109351482158,0.4430489857907023,-0.9886550904869741,9.733258878824556,47.52730141593655,76.50936345139725,90.4465805755097,FAIL*,FAIL (Grade C)*
resnet_depth2 | Population,Overall,SBP,15.57416023964728,0.18726032973581463,-4.801260848099191,19.53957055080889,21.32417057675539,41.104721172611384,57.66619607191795,FAIL*,FAIL (Grade D)*
resnet_depth2 | Population,Overall,DBP,8.969723871489485,0.17081906824901694,-0.8896540490598897,11.90402660741604,35.99738404683802,65.43931403894864,82.81567910974546,FAIL*,FAIL (Grade D)*
resnet_depth2 | QGH,Overall,SBP,12.691777034686844,0.43053112609623023,-1.4203869624235355,16.782431690153764,27.842253872025914,50.658140597101685,67.88087032346468,FAIL*,FAIL (Grade D)*
resnet_depth2 | QGH,Overall,DBP,6.980622487546657,0.45112303917951146,-0.8353999372510396,9.676173094548135,47.75360212598098,76.73670223809326,90.54000747415189,FAIL*,FAIL (Grade C)*
resnet_wide1p5 | Population,Overall,SBP,15.464641812062078,0.2145816207748792,-2.258555691573553,19.6503581815927,20.953577212141344,40.28256446456006,56.939542415811985,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | Population,Overall,DBP,8.957899323797951,0.18714586043588988,-0.1539179903241441,11.81811493468884,35.49910725407964,64.76456421542167,83.10530249553626,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | QGH,Overall,SBP,12.64468613891313,0.4340217340212037,-2.4333575318312235,16.613472811813367,27.12701905908732,50.800357098368146,68.2628825312461,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | QGH,Overall,DBP,6.916647232398409,0.45300682313535245,-1.4512490656325199,9.586258194129615,48.362953120458414,77.1591994352863,90.79537433044055,FAIL*,FAIL (Grade C)*
inception_time | Population,Overall,SBP,15.56408419556138,0.19974378905169954,-3.814205586329409,19.59797196766133,20.735581115309554,40.04276875804509,57.15027197608271,FAIL*,FAIL (Grade D)*
inception_time | Population,Overall,DBP,8.969055841185842,0.17726146354561045,-0.5267776758024544,11.879086605836852,35.628866835527134,65.31474484075905,83.09180749906572,FAIL*,FAIL (Grade D)*
inception_time | QGH,Overall,SBP,12.595346242913534,0.4433885383039281,-2.733005203782956,16.425392563237263,27.504878960262424,50.67682597683013,68.24108292156292,FAIL*,FAIL (Grade D)*
