Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
resnet_small | 5-seed equal-weight QGH ensemble,Overall,SBP,12.083940288364554,0.4802788073017117,-1.1715561619558374,16.047253266443757,29.020470871569152,52.72079890379106,70.10443051114893,FAIL*,FAIL (Grade D)*
resnet_small | 5-seed equal-weight QGH ensemble,Overall,DBP,6.719440575290919,0.4849821399652716,-0.8795831930769622,9.366630068304497,49.235975584437156,78.31561682514638,91.44624839098118,FAIL*,FAIL (Grade C)*
inception_time_wide | 5-seed equal-weight QGH ensemble,Overall,SBP,11.97432509016729,0.49353891704503705,-0.3644828285254295,15.879195017400804,29.386911929576883,52.98550844994394,70.17190549350164,FAIL*,FAIL (Grade D)*
inception_time_wide | 5-seed equal-weight QGH ensemble,Overall,DBP,6.653047409548053,0.492388191792846,-0.8109632078929087,9.304676893391859,49.71868122742183,78.96337665573226,91.59884565876344,FAIL*,FAIL (Grade C)*
resnet_small | 5-seed equal-weight QGH ensemble,MIMIC,SBP,12.697095158302396,0.46148674779480714,-1.3879870495274904,16.722191986763562,27.555698976779208,50.424213088083036,67.61190216879783,FAIL*,FAIL (Grade D)*
resnet_small | 5-seed equal-weight QGH ensemble,MIMIC,DBP,6.94304808940624,0.45892323492363263,-0.8899898584118623,9.654714981897257,48.06851948959972,76.99165019563551,90.61621825124709,FAIL*,FAIL (Grade C)*
inception_time_wide | 5-seed equal-weight QGH ensemble,MIMIC,SBP,12.554943607025931,0.47668897505976027,-0.6194846835500021,16.529551846486264,28.10562973121966,50.89750312613448,67.80955454264317,FAIL*,FAIL (Grade D)*
inception_time_wide | 5-seed equal-weight QGH ensemble,MIMIC,DBP,6.884683263443255,0.46561629499363655,-0.868239650960405,9.596297444710403,48.44231105374262,77.70158525271268,90.7694996840251,FAIL*,FAIL (Grade C)*
resnet_small | 5-seed equal-weight QGH ensemble,VitalDB,SBP,10.007244303033385,0.503084105816461,-0.43852576888845907,13.487708105259614,33.981510997768574,60.499111981419915,78.54638189352885,FAIL*,FAIL (Grade D)*
resnet_small | 5-seed equal-weight QGH ensemble,VitalDB,DBP,5.962103645225855,0.5611749050222026,-0.8443368284450333,8.31721864915327,53.19003597613735,82.79976319504532,94.25747984880914,FAIL*,PASS (Grade B)*
inception_time_wide | 5-seed equal-weight QGH ensemble,VitalDB,SBP,10.007826572278141,0.5086946441663489,0.4991836846920462,13.40914718345583,33.72649027733504,60.057379662097546,78.17295869575118,FAIL*,FAIL (Grade D)*
inception_time_wide | 5-seed equal-weight QGH ensemble,VitalDB,DBP,5.868519272485906,0.5715042387735814,-0.6169734588032914,8.237918308735717,54.041623024727905,83.23694157293137,94.40775991620748,FAIL*,PASS (Grade B)*
