Seed,Setting,Scope,N participants,N queries,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
20260827,resnet_small | QGH,Overall,628,96332,11.025481951487082,6.392239472577018,8.70886071203205
20260827,resnet_small | QGH,MIMIC,285,74373,12.119919067442657,6.777482391879422,9.44870072966104
20260827,resnet_small | QGH,VitalDB,343,21959,10.1161100038272,6.072139670824292,8.094124837325746
20260827,inception_time_wide | QGH,Overall,628,96332,10.875861838787829,6.1635655696675276,8.519713704227678
20260827,inception_time_wide | QGH,MIMIC,285,74373,11.731040024360851,6.466965059222345,9.099002541791599
20260827,inception_time_wide | QGH,VitalDB,343,21959,10.165291043195085,5.911469783885827,8.038380413540457
20260828,resnet_small | QGH,Overall,628,96332,10.968337049053135,6.333257311233302,8.65079718014322
20260828,resnet_small | QGH,MIMIC,285,74373,11.79703701011376,6.611387796787928,9.204212403450843
20260828,resnet_small | QGH,VitalDB,343,21959,10.279767110562528,6.102157636647099,8.190962373604812
20260828,inception_time_wide | QGH,Overall,628,96332,10.810642117531746,6.2106652202616095,8.510653668896676
20260828,inception_time_wide | QGH,MIMIC,285,74373,11.70063148156282,6.493759916830127,9.097195699196472
20260828,inception_time_wide | QGH,VitalDB,343,21959,10.071146581820795,5.975440763929166,8.02329367287498
20260829,resnet_small | QGH,Overall,628,96332,11.090654244352221,6.328311692465303,8.709482968408762
20260829,resnet_small | QGH,MIMIC,285,74373,12.129279348558507,6.704734402351619,9.417006875455062
20260829,resnet_small | QGH,VitalDB,343,21959,10.227656708787231,6.015540636145769,8.1215986724665
20260829,inception_time_wide | QGH,Overall,628,96332,11.067694015730462,6.323944366866499,8.69581919129848
20260829,inception_time_wide | QGH,MIMIC,285,74373,12.02853352873603,6.7658736290189285,9.397203578877479
20260829,inception_time_wide | QGH,VitalDB,343,21959,10.269328822708342,5.95674366799349,8.113036245350916
20260830,resnet_small | QGH,Overall,628,96332,11.138659424705768,6.33673175182279,8.73769558826428
20260830,resnet_small | QGH,MIMIC,285,74373,12.049372978300559,6.734233967747427,9.391803473023993
20260830,resnet_small | QGH,VitalDB,343,21959,10.381944081339837,6.006445654042844,8.19419486769134
20260830,inception_time_wide | QGH,Overall,628,96332,11.140127353635298,6.32702489828435,8.733576125959823
20260830,inception_time_wide | QGH,MIMIC,285,74373,12.132414819247153,6.701869450494861,9.417142134871007
20260830,inception_time_wide | QGH,VitalDB,343,21959,10.315631937602124,6.015565139158997,8.16559853838056
20260831,resnet_small | QGH,Overall,628,96332,10.92192781848868,6.2916445162199235,8.606786167354304
20260831,resnet_small | QGH,MIMIC,285,74373,11.784834713282635,6.612861442998316,9.198848078140474
20260831,resnet_small | QGH,VitalDB,343,21959,10.204935209111783,6.024744154319511,8.114839681715647
20260831,inception_time_wide | QGH,Overall,628,96332,10.904458590707263,6.177598414167644,8.541028502437454
20260831,inception_time_wide | QGH,MIMIC,285,74373,11.742525405698855,6.516666289537969,9.129595847618413
20260831,inception_time_wide | QGH,VitalDB,343,21959,10.20810569778422,5.8958656314255355,8.051985664604878
