Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
Quality Gate + Huber (256-D),Overall,SBP,11.639586574752906,0.5148091992719058,-1.2528997477768313,15.283263360238626,29.622262562280326,53.746475609285085,71.21393534432815,FAIL*,FAIL (Grade D)*
Quality Gate + Huber (256-D),Overall,DBP,6.815667003576193,0.4851880562487586,-0.6340097110630863,9.425048175599795,48.253254026495696,78.12270673206906,90.97176625082075,FAIL*,FAIL (Grade C)*
R8-1 Pairwise delta,Overall,SBP,11.703876563651939,0.5020078111429847,-0.40726428889974114,15.530172048272526,29.882970916534703,54.1790583600479,71.50264570700243,FAIL*,FAIL (Grade D)*
R8-1 Pairwise delta,Overall,DBP,6.7128920172959905,0.4876676632478466,-0.5407959846810999,9.40804157946869,50.12456065814376,78.42107295971573,90.8375497277046,FAIL*,PASS (Grade B)*
R8-2 Pairwise delta + causal time,Overall,SBP,11.55998065891467,0.5238440358703359,-0.46789452654936653,15.183881169547378,29.473562241705615,54.050635355915176,71.63879340311306,FAIL*,FAIL (Grade D)*
R8-2 Pairwise delta + causal time,Overall,DBP,6.74638337596516,0.49035013726211274,0.17480345882153364,9.397243942720104,49.36947201730331,78.15167432698621,91.13108802286509,FAIL*,FAIL (Grade C)*
R8-3 Pairwise delta + range auxiliary,Overall,SBP,11.865115206780585,0.4975240186223103,-1.2643099733246357,15.553992616425148,29.086362056313003,52.89096597273184,70.49843574987447,FAIL*,FAIL (Grade D)*
R8-3 Pairwise delta + range auxiliary,Overall,DBP,6.740588564690596,0.494771251661122,-0.32686398880289536,9.352303861628783,48.98516859140242,78.23085241975977,91.01521764319648,FAIL*,FAIL (Grade C)*
R8-4 Pairwise delta + causal time + range,Overall,SBP,11.600607681023941,0.507326436332041,-1.699463005842383,15.358588264266839,30.560812637596076,54.83372600517554,71.75756054227338,FAIL*,FAIL (Grade D)*
R8-4 Pairwise delta + causal time + range,Overall,DBP,6.815574040662823,0.4679896827152372,-1.9102381375503497,9.410924124124614,49.30188096249662,78.27237263914103,90.65795063921827,FAIL*,FAIL (Grade C)*
R8-5 R8-4 + generic PPG change features,Overall,SBP,11.565456972508583,0.5241483972012918,-0.583388791447659,15.1750229049613,29.500598663628285,53.812135491097294,71.56444324282569,FAIL*,FAIL (Grade D)*
R8-5 R8-4 + generic PPG change features,Overall,DBP,6.622639204461165,0.5065793267230713,-0.1370157409822083,9.246996002577028,49.76053454868487,79.13753814066663,91.62450272295392,FAIL*,FAIL (Grade C)*
R8-7 Direct demographics + 256-D,Overall,SBP,11.697280325014223,0.5110068103965175,-1.2901266512112557,15.340348701575603,29.40404001390445,53.61708701865513,71.06909736974238,FAIL*,FAIL (Grade D)*
R8-7 Direct demographics + 256-D,Overall,DBP,6.680735040404403,0.49735414088313334,-0.6905672691921008,9.308482308998268,49.66301031246379,78.75516588776023,91.42172955853385,FAIL*,FAIL (Grade C)*
R8-8 Quality Gate + Huber 128-D,Overall,SBP,11.849857674648383,0.49945027423609256,-1.134529730963415,15.533977300659188,29.27272025028002,53.08408327217952,70.4742960874435,FAIL*,FAIL (Grade D)*
R8-8 Quality Gate + Huber 128-D,Overall,DBP,6.795470845809352,0.48529152869336667,-0.7448734651826117,9.415982601974886,48.9494418910046,77.96531613301919,90.9128654744892,FAIL*,FAIL (Grade C)*
Quality Gate + Huber (256-D),MIMIC,SBP,12.043377294388758,0.5097657666228362,-1.5483490763041459,15.754132137576558,28.698963820263618,52.31965773919924,69.5736577886589,FAIL*,FAIL (Grade D)*
Quality Gate + Huber (256-D),MIMIC,DBP,7.0802103716827665,0.46929593455170615,-0.7768065892916292,9.804762890924978,46.865494472883746,76.82567945198704,89.9386700299231,FAIL*,FAIL (Grade C)*
R8-1 Pairwise delta,MIMIC,SBP,12.153091519340656,0.494109257744072,-0.266458699412954,16.07862359077718,28.76820733486658,52.638672502905756,69.81848307243365,FAIL*,FAIL (Grade D)*
R8-1 Pairwise delta,MIMIC,DBP,6.992840037942685,0.4692616419629432,-0.5165621773568165,9.822231027684582,48.75361673714667,76.9542745505354,89.75443282142592,FAIL*,FAIL (Grade C)*
R8-2 Pairwise delta + causal time,MIMIC,SBP,12.007247244353334,0.5166016577136789,-0.5783462736671867,15.708639148605409,28.355219229913196,52.25288720726068,69.88030763904345,FAIL*,FAIL (Grade D)*
R8-2 Pairwise delta + causal time,MIMIC,DBP,7.032603009122031,0.4726326896685459,0.15854861075527268,9.803236665694076,47.789153498033976,76.64020575215767,90.1055963597695,FAIL*,FAIL (Grade C)*
R8-3 Pairwise delta + range auxiliary,MIMIC,SBP,12.327642005007041,0.48956067194321107,-1.2578129367793935,16.10391561319253,27.968197442935928,51.12891658629473,68.65494472883745,FAIL*,FAIL (Grade D)*
R8-3 Pairwise delta + range auxiliary,MIMIC,DBP,7.009597948786914,0.4793548161173494,-0.3502365299280229,9.735533359983569,47.47755768232065,76.78116576402799,90.03140687983777,FAIL*,FAIL (Grade C)*
R8-4 Pairwise delta + causal time + range,MIMIC,SBP,12.054526717543062,0.4977472290011048,-1.803220888472666,15.921114658059789,29.544723891485518,53.312560278952446,70.05959888221184,FAIL*,FAIL (Grade D)*
R8-4 Pairwise delta + causal time + range,MIMIC,DBP,7.077461686483266,0.45035119090843867,-1.957759008429526,9.816170031077228,48.06118159111705,77.00744367781982,89.69631772881273,FAIL*,FAIL (Grade C)*
