Setting,Scope,N participants,N query events,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
Quality Gate + Huber (256-D),Overall,697,103564,10.802518180328637,6.167703465500952,8.485110822914796
R8-1 Pairwise delta,Overall,697,103564,10.743456363057442,5.987272823943692,8.365364593500567
R8-2 Pairwise delta + causal time,Overall,697,103564,10.605324707882891,5.970388553004261,8.287856630443576
R8-3 Pairwise delta + range auxiliary,Overall,697,103564,10.845105224609027,6.097298971314635,8.47120209796183
R8-4 Pairwise delta + causal time + range,Overall,697,103564,10.48661232029393,6.021363027644202,8.253987673969066
R8-5 R8-4 + generic PPG change features,Overall,697,103564,10.605761907703583,5.9484811399740245,8.277121523838805
R8-7 Direct demographics + 256-D,Overall,697,103564,10.80330941933317,6.106219260513863,8.454764339923514
R8-8 Quality Gate + Huber 128-D,Overall,697,103564,10.890440437799358,6.1256563468932095,8.508048392346282
Quality Gate + Huber (256-D),MIMIC,316,80874,11.576425273088962,6.573291408916327,9.074858341002646
R8-1 Pairwise delta,MIMIC,316,80874,11.681631405704472,6.373385868409098,9.027508637056785
R8-2 Pairwise delta + causal time,MIMIC,316,80874,11.482320056903086,6.326614843046076,8.90446744997458
R8-3 Pairwise delta + range auxiliary,MIMIC,316,80874,11.765671426363857,6.513093774024362,9.139382600194109
R8-4 Pairwise delta + causal time + range,MIMIC,316,80874,11.355412757174184,6.348293866803993,8.851853311989089
R8-5 R8-4 + generic PPG change features,MIMIC,316,80874,11.443410472469878,6.286952681979066,8.865181577224472
R8-7 Direct demographics + 256-D,MIMIC,316,80874,11.605871545496813,6.492705991951369,9.04928876872409
R8-8 Quality Gate + Huber 128-D,MIMIC,316,80874,11.735624551719535,6.558753442299919,9.147188997009726
Quality Gate + Huber (256-D),VitalDB,381,22690,10.16064248134632,5.83131031558164,7.995976398463981
R8-1 Pairwise delta,VitalDB,381,22690,9.965337430048358,5.667032083652173,7.816184756850265
R8-2 Pairwise delta + causal time,VitalDB,381,22690,9.877947987960628,5.674935777011576,7.776441882486102
R8-3 Pairwise delta + range auxiliary,VitalDB,381,22690,10.081590999531528,5.7524402898021085,7.917015644666819
R8-4 Pairwise delta + causal time + range,VitalDB,381,22690,9.766032430387998,5.750207790965739,7.7581201106768685
R8-5 R8-4 + generic PPG change features,VitalDB,381,22690,9.91101926606015,5.667754086762493,7.789386676411321
R8-7 Direct demographics + 256-D,VitalDB,381,22690,10.137667340940228,5.7856685856208125,7.96166796328052
R8-8 Quality Gate + Huber 128-D,VitalDB,381,22690,10.189447839377374,5.766447207395779,7.977947523386577
