Setting,Scope,Reference mean participant-macro MAE,Candidate mean participant-macro MAE,Candidate minus reference
R9-0 R8 architecture reference,Overall,8.238113657092347,8.238113657092347,0.0
R9-0 R8 architecture reference,MIMIC,8.90653917203959,8.90653917203959,0.0
R9-0 R8 architecture reference,VitalDB,7.682716363331517,7.682716363331517,0.0
R9-1 Adaptive base-personal fusion,Overall,8.238113657092347,8.201852892266244,-0.0362607648261033
R9-1 Adaptive base-personal fusion,MIMIC,8.90653917203959,8.823126407122652,-0.08341276491693783
R9-1 Adaptive base-personal fusion,VitalDB,7.682716363331517,7.685634374091093,0.002918010759575651
R9-2 Soft BP-range experts,Overall,8.238113657092347,8.244394056601044,0.0062803995086966324
R9-2 Soft BP-range experts,MIMIC,8.90653917203959,8.900428993358803,-0.006110178680787115
R9-2 Soft BP-range experts,VitalDB,7.682716363331517,7.699292141219231,0.016575777887713805
R9-3 DBP-specific physiology,Overall,8.238113657092347,8.261571458918294,0.02345780182594659
R9-3 DBP-specific physiology,MIMIC,8.90653917203959,8.923061221486224,0.016522049446633602
R9-3 DBP-specific physiology,VitalDB,7.682716363331517,7.711937108096545,0.029220744765027895
R9-4 Bias regularization,Overall,8.238113657092347,8.285012608396807,0.04689895130445976
R9-4 Bias regularization,MIMIC,8.90653917203959,8.952642213611707,0.046103041572116865
R9-4 Bias regularization,VitalDB,7.682716363331517,7.7302766390491495,0.04756027571763255
R9-5 Short causal attention,Overall,8.238113657092347,8.333464662500248,0.09535100540790076
R9-5 Short causal attention,MIMIC,8.90653917203959,9.039283734767995,0.13274456272840496
R9-5 Short causal attention,VitalDB,7.682716363331517,7.746996920236961,0.06428055690544365
R9-6 Personal BP direction,Overall,8.238113657092347,8.234136952110756,-0.003976704981591084
R9-6 Personal BP direction,MIMIC,8.90653917203959,8.911075552872576,0.004536380832986353
R9-6 Personal BP direction,VitalDB,7.682716363331517,7.671666103081254,-0.011050260250263122
R9-7 Temporal delta consistency,Overall,8.238113657092347,8.228436099740907,-0.009677557351439603
R9-7 Temporal delta consistency,MIMIC,8.90653917203959,8.900280836773998,-0.006258335265592052
R9-7 Temporal delta consistency,VitalDB,7.682716363331517,7.670197761389799,-0.012518601941717833
R9-8 Support dropout consistency,Overall,8.238113657092347,8.31127296317498,0.07315930608263344
R9-8 Support dropout consistency,MIMIC,8.90653917203959,9.012935232164866,0.10639606012527558
R9-8 Support dropout consistency,VitalDB,7.682716363331517,7.728259124509916,0.04554276117839873
