Setting,Scope,N participants,N queries,SBP participant-macro MAE,DBP participant-macro MAE,Mean participant-macro MAE
R9-0 R8 architecture reference,Overall,628,96332,10.531434103011122,5.94479321117357,8.238113657092347
R9-0 R8 architecture reference,MIMIC,285,74373,11.539249270574471,6.27382907350471,8.90653917203959
R9-0 R8 architecture reference,VitalDB,343,21959,9.694036660575104,5.6713960660879295,7.682716363331517
R9-1 Adaptive base-personal fusion,Overall,628,96332,10.509098658212727,5.89460712631976,8.201852892266244
R9-1 Adaptive base-personal fusion,MIMIC,285,74373,11.46731735348403,6.178935460761277,8.823126407122652
R9-1 Adaptive base-personal fusion,VitalDB,343,21959,9.712911112579137,5.658357635603045,7.685634374091093
R9-2 Soft BP-range experts,Overall,628,96332,10.543449236805394,5.945338876396693,8.244394056601044
R9-2 Soft BP-range experts,MIMIC,285,74373,11.557777476914426,6.24308050980318,8.900428993358803
R9-2 Soft BP-range experts,VitalDB,343,21959,9.700640057706051,5.697944224732409,7.699292141219231
R9-3 DBP-specific physiology,Overall,628,96332,10.538429340878954,5.984713576957634,8.261571458918294
R9-3 DBP-specific physiology,MIMIC,285,74373,11.561965709120622,6.284156733851825,8.923061221486224
R9-3 DBP-specific physiology,VitalDB,343,21959,9.687969093214594,5.7359051229784965,7.711937108096545
R9-4 Bias regularization,Overall,628,96332,10.568020561955379,6.002004654838238,8.285012608396807
R9-4 Bias regularization,MIMIC,285,74373,11.595365802291004,6.309918624932411,8.952642213611707
R9-4 Bias regularization,VitalDB,343,21959,9.71439550803219,5.7461577700661115,7.7302766390491495
R9-5 Short causal attention,Overall,628,96332,10.641277171271549,6.025652153728948,8.333464662500248
R9-5 Short causal attention,MIMIC,285,74373,11.713687732135869,6.364879737400121,9.039283734767995
R9-5 Short causal attention,VitalDB,343,21959,9.750207171719563,5.743786668754358,7.746996920236961
R9-6 Personal BP direction,Overall,628,96332,10.496420323534737,5.9718535806867745,8.234136952110756
R9-6 Personal BP direction,MIMIC,285,74373,11.526856939714165,6.295294166030987,8.911075552872576
R9-6 Personal BP direction,VitalDB,343,21959,9.64022663370635,5.70310557245616,7.671666103081254
R9-7 Temporal delta consistency,Overall,628,96332,10.510898996233813,5.945973203248002,8.228436099740907
R9-7 Temporal delta consistency,MIMIC,285,74373,11.519563345469221,6.280998328078775,8.900280836773998
R9-7 Temporal delta consistency,VitalDB,343,21959,9.672795965528007,5.667599557251589,7.670197761389799
R9-8 Support dropout consistency,Overall,628,96332,10.605294875191914,6.017251051158049,8.31127296317498
R9-8 Support dropout consistency,MIMIC,285,74373,11.696813554458117,6.329056909871617,9.012935232164866
R9-8 Support dropout consistency,VitalDB,343,21959,9.698347867638361,5.758170381381469,7.728259124509916
